frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
0,1787209520.52,-0.000,0.000,0.000,0.000,1,0,0
1,1787209521.52,-0.000,0.000,0.000,0.000,1,0,0
2,1787209522.52,-0.000,0.000,0.000,0.000,1,0,0
3,1787209523.52,-0.000,0.000,0.000,0.000,1,0,0
4,1787209524.52,-0.000,0.000,0.000,0.000,1,0,0
5,1787209525.52,-0.000,0.000,0.000,0.000,1,0,0
6,1787209526.52,0.069,-0.000,-0.000,0.120,0,0,0
7,1787209527.52,0.189,-0.000,-0.000,0.120,0,0,0
8,1787209528.52,0.309,-0.000,-0.000,0.120,0,0,0
9,1787209529.52,0.427,-0.000,-0.000,0.120,0,0,0
10,1787209530.52,0.547,-0.000,-0.000,0.120,0,0,0
11,1787209531.52,0.667,-0.000,-0.000,0.120,0,0,0
12,1787209532.52,0.787,-0.000,-0.000,0.120,0,0,0
13,1787209533.52,0.907,-0.000,-0.000,0.120,0,0,0
14,1787209534.52,1.027,-0.000,-0.000,0.120,0,0,0
15,1787209535.52,1.145,-0.000,-0.000,0.120,0,0,0
16,1787209536.52,1.218,-0.000,-0.000,0.000,1,0,0
17,1787209537.52,1.218,-0.000,-0.000,0.000,1,0,0
18,1787209538.52,1.218,-0.000,-0.000,0.000,1,0,0
19,1787209539.52,1.218,-0.000,-0.000,0.000,1,0,0
20,1787209540.52,1.218,-0.000,-0.000,0.000,1,0,0
21,1787209541.52,1.218,-0.000,-0.000,0.000,1,0,0
22,1787209542.52,1.218,-0.000,-0.000,0.000,1,0,0
23,1787209543.52,1.218,-0.000,-0.000,0.000,1,0,0
24,1787209544.52,1.218,0.000,0.003,0.002,1,0,0
25,1787209545.52,1.218,0.013,0.106,0.014,1,0,0
26,1787209546.52,1.218,0.026,0.202,0.012,1,0,0
27,1787209547.52,1.218,0.038,0.293,0.010,1,0,0
28,1787209548.52,1.219,0.043,0.339,0.000,1,0,0
29,1787209549.52,1.186,0.031,0.339,0.080,0,0,0
30,1787209550.52,1.111,0.005,0.339,0.080,0,0,0
31,1787209551.52,1.035,-0.022,0.339,0.080,0,0,0
32,1787209552.52,0.970,-0.045,0.339,0.008,1,0,0
33,1787209553.52,0.969,-0.045,0.339,0.000,1,0,0
34,1787209554.52,0.969,-0.045,0.339,0.000,1,0,0
35,1787209555.52,0.970,-0.038,0.415,0.008,1,0,0
36,1787209556.52,0.970,-0.031,0.493,0.006,1,0,0
37,1787209557.52,0.970,-0.026,0.568,0.004,1,0,0
38,1787209558.52,0.970,-0.023,0.638,0.002,1,0,0
39,1787209559.52,0.970,-0.022,0.705,0.000,1,0,0
40,1787209560.52,0.970,-0.022,0.771,0.000,1,0,0
41,1787209561.52,0.970,-0.023,0.839,0.000,1,0,0
42,1787209562.52,0.969,-0.023,0.904,0.001,1,0,0
43,1787209563.52,0.967,-0.023,0.974,0.003,1,0,0
