t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0134,0.0000,0.0000,-0.0134
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0143,0.0000,0.0000,-0.0143
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0149,0.0000,0.0000,-0.0149
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0146,0.0000,0.0000,-0.0146
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0148,0.0000,0.0000,-0.0148
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0150,0.0000,0.0000,-0.0150
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0153,0.0000,0.0000,-0.0153
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0152,0.0000,0.0000,-0.0152
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0156,0.0000,0.0000,-0.0156
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0158,0.0000,0.0000,-0.0158
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0159,0.0000,0.0000,-0.0159
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0162,0.0000,0.0000,-0.0162
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0166,0.0000,0.0000,-0.0166
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0164,0.0000,0.0000,-0.0164
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0168,0.0000,0.0000,-0.0168
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0173,0.0000,0.0000,-0.0173
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0172,0.0000,0.0000,-0.0172
62.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0173,0.0000,0.0000,-0.0173
62.50,0.0001,-0.0000,-0.0000,0.0000,-0.0000,-0.0175,0.0000,-0.0000,-0.0175
63.00,0.0598,-0.0000,-0.0000,0.0608,-0.0011,-0.0181,0.0608,-0.0011,-0.0181
63.50,0.1198,-0.0000,-0.0000,0.1201,-0.0022,-0.0184,0.1201,-0.0035,-0.0079
64.00,0.1798,-0.0000,-0.0000,0.1855,-0.0034,-0.0180,0.1855,0.0040,-0.0075
64.50,0.2398,-0.0000,-0.0000,0.2444,-0.0044,-0.0183,0.2444,0.0060,-0.0113
65.00,0.2998,-0.0000,-0.0000,0.3067,-0.0056,-0.0189,0.3067,0.0053,-0.0119
65.50,0.3598,-0.0000,-0.0000,0.3686,-0.0068,-0.0188,0.3686,-0.0063,-0.0049
66.00,0.4198,-0.0000,-0.0000,0.4240,-0.0078,-0.0194,0.4240,-0.0062,-0.0089
66.50,0.4798,-0.0000,-0.0000,0.4906,-0.0091,-0.0197,0.4906,0.0032,-0.0092
67.00,0.5398,-0.0000,-0.0000,0.5562,-0.0104,-0.0196,0.5562,-0.0069,-0.0126
67.50,0.5998,-0.0000,-0.0000,0.6169,-0.0116,-0.0200,0.6069,-0.0072,-0.0165
68.00,0.6598,-0.0000,-0.0000,0.6816,-0.0129,-0.0203,0.6716,-0.0092,-0.0112
68.50,0.7198,-0.0000,-0.0000,0.7417,-0.0141,-0.0210,0.7318,-0.0100,-0.0105
69.00,0.7798,-0.0000,-0.0000,0.8008,-0.0154,-0.0214,0.7908,-0.0107,-0.0110
69.50,0.8398,-0.0000,-0.0000,0.8599,-0.0167,-0.0216,0.8499,-0.0113,-0.0111
70.00,0.8998,-0.0000,-0.0000,0.9227,-0.0180,-0.0217,0.9128,-0.0116,-0.0147
70.50,0.9598,-0.0000,-0.0000,0.9829,-0.0193,-0.0225,0.9730,-0.0131,-0.0121
71.00,1.0198,-0.0000,-0.0000,1.0452,-0.0208,-0.0231,1.0353,-0.0138,-0.0126
71.50,1.0798,-0.0000,-0.0000,1.1064,-0.0222,-0.0237,1.0966,-0.0146,-0.0132
72.00,1.1398,-0.0000,-0.0000,1.1688,-0.0237,-0.0240,1.1590,-0.0154,-0.0136
72.50,1.1998,-0.0000,-0.0000,1.2297,-0.0252,-0.0245,1.2099,-0.0170,-0.0106
73.00,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0252,1.2288,-0.0172,-0.0112
73.50,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0253,1.2288,-0.0172,-0.0114
74.00,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0258,1.2288,-0.0172,-0.0119
74.50,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0262,1.2288,-0.0172,-0.0123
75.00,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0268,1.2288,-0.0172,-0.0128
75.50,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0275,1.2288,-0.0172,-0.0135
76.00,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0276,1.2288,-0.0172,-0.0136
76.50,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0276,1.2288,-0.0172,-0.0136
77.00,1.2184,-0.0000,-0.0000,1.2487,-0.0256,-0.0277,1.2288,-0.0172,-0.0137
