x,y
0.0000,0.0000
0.9128,-0.0116
1.2288,-0.0172
0.9841,-0.0592
1.0017,-0.0521
1.4536,1.8699
2.6619,2.7001
2.6642,2.6717
2.5788,2.6286
2.5247,2.6546
0.7351,1.6004
-1.2680,-0.0744
-1.6516,-0.3743
-1.6036,-0.4413
0.1778,-2.2713
0.5107,-2.6314
1.9514,-3.8314
2.5895,-3.7711
3.5776,-4.8084
5.0659,-5.3667
5.0472,-5.4193
4.9656,-5.3538
3.3904,-5.0223
1.1649,-3.6547
-1.0662,-2.3110
-3.2572,-0.8945
-4.3668,0.3378
-4.2750,0.3759
-4.3204,0.3606
-4.2506,0.2254
-4.2588,-0.0658
-2.3251,-1.2037
-0.1042,-2.5679
2.0222,-3.8714
3.1611,-1.6981
4.2577,0.0611
3.7107,1.3423
3.6585,1.4080
3.6571,1.4070
3.7218,1.4328
3.7970,1.4208
4.1907,1.3427
5.2495,1.6055
4.6571,3.9897
3.7794,5.6105
3.8044,5.5530
3.7780,5.4768
3.7844,5.4864
2.4236,4.5913
1.7217,5.1170
1.7094,5.1319
0.0298,5.0934
-2.4563,5.6555
-2.8886,5.8601
-3.8795,3.9008
-3.9743,1.2994
-4.3342,-0.0780
-4.3374,-0.0620
-4.3348,-0.0695
-4.3328,-0.0752
-4.1971,-0.1266
-2.0247,-0.5989
0.2744,-0.3711
