t,robot,x,y
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.000,0.000
63.0,leo1,0.061,-0.001
64.0,leo1,0.186,0.004
65.0,leo1,0.307,0.005
66.0,leo1,0.424,-0.006
67.0,leo1,0.556,-0.007
68.0,leo1,0.672,-0.009
69.0,leo1,0.791,-0.011
70.0,leo1,0.913,-0.012
71.0,leo1,1.035,-0.014
72.0,leo1,1.159,-0.015
73.0,leo1,1.229,-0.017
74.0,leo1,1.229,-0.017
75.0,leo1,1.229,-0.017
76.0,leo1,1.229,-0.017
77.0,leo1,1.229,-0.017
78.0,leo1,1.229,-0.017
79.0,leo1,1.229,-0.017
80.0,leo1,1.229,-0.017
81.0,leo1,1.229,-0.017
82.0,leo1,1.240,-0.017
83.0,leo1,1.255,-0.015
84.0,leo1,1.237,0.007
85.0,leo1,1.243,0.009
86.0,leo1,1.212,-0.002
87.0,leo1,1.124,-0.008
88.0,leo1,1.046,-0.035
89.0,leo1,0.975,-0.059
90.0,leo1,0.984,-0.059
91.0,leo1,0.984,-0.059
92.0,leo1,0.990,-0.057
93.0,leo1,0.996,-0.054
94.0,leo1,1.001,-0.052
95.0,leo1,1.003,-0.050
96.0,leo1,1.004,-0.049
97.0,leo1,1.004,-0.050
98.0,leo1,1.003,-0.050
99.0,leo1,1.003,-0.050
100.0,leo1,1.002,-0.052
101.0,leo1,1.037,0.016
102.0,leo1,1.014,0.278
103.0,leo1,1.022,0.390
104.0,leo1,1.087,0.596
105.0,leo1,1.124,0.821
106.0,leo1,1.121,0.920
107.0,leo1,1.202,1.127
108.0,leo1,1.311,1.364
109.0,leo1,1.390,1.608
110.0,leo1,1.454,1.870
111.0,leo1,1.515,2.124
112.0,leo1,1.625,2.344
113.0,leo1,1.742,2.442
114.0,leo1,1.975,2.486
115.0,leo1,2.183,2.536
116.0,leo1,2.377,2.626
117.0,leo1,2.534,2.686
118.0,leo1,2.642,2.705
119.0,leo1,2.652,2.703
120.0,leo1,2.662,2.700
121.0,leo1,2.671,2.697
122.0,leo1,2.658,2.673
123.0,leo1,2.663,2.670
124.0,leo1,2.665,2.669
125.0,leo1,2.667,2.668
126.0,leo1,2.667,2.667
127.0,leo1,2.667,2.667
128.0,leo1,2.667,2.667
129.0,leo1,2.666,2.668
130.0,leo1,2.664,2.672
131.0,leo1,2.662,2.676
132.0,leo1,2.660,2.682
133.0,leo1,2.657,2.690
134.0,leo1,2.654,2.702
135.0,leo1,2.652,2.715
136.0,leo1,2.588,2.677
137.0,leo1,2.587,2.665
138.0,leo1,2.585,2.650
139.0,leo1,2.582,2.638
140.0,leo1,2.579,2.629
141.0,leo1,2.525,2.662
142.0,leo1,2.522,2.657
143.0,leo1,2.520,2.653
144.0,leo1,2.519,2.651
145.0,leo1,2.519,2.651
146.0,leo1,2.518,2.651
147.0,leo1,2.517,2.650
148.0,leo1,2.518,2.651
149.0,leo1,2.521,2.652
150.0,leo1,2.525,2.655
151.0,leo1,2.531,2.658
152.0,leo1,2.414,2.668
153.0,leo1,2.166,2.656
154.0,leo1,1.956,2.575
155.0,leo1,1.719,2.447
156.0,leo1,1.524,2.285
157.0,leo1,1.330,2.109
158.0,leo1,1.135,1.942
159.0,leo1,0.939,1.779
160.0,leo1,0.735,1.600
161.0,leo1,0.539,1.428
162.0,leo1,0.340,1.256
163.0,leo1,0.141,1.093
164.0,leo1,-0.056,0.928
165.0,leo1,-0.253,0.747
166.0,leo1,-0.458,0.582
167.0,leo1,-0.657,0.416
168.0,leo1,-0.872,0.269
169.0,leo1,-1.076,0.098
170.0,leo1,-1.268,-0.074
171.0,leo1,-1.459,-0.244
172.0,leo1,-1.643,-0.381
173.0,leo1,-1.665,-0.399
174.0,leo1,-1.664,-0.399
175.0,leo1,-1.664,-0.398
176.0,leo1,-1.663,-0.397
177.0,leo1,-1.661,-0.394
178.0,leo1,-1.658,-0.390
179.0,leo1,-1.655,-0.383
180.0,leo1,-1.652,-0.374
181.0,leo1,-1.648,-0.362
182.0,leo1,-1.624,-0.390
183.0,leo1,-1.623,-0.378
184.0,leo1,-1.622,-0.382
185.0,leo1,-1.621,-0.394
186.0,leo1,-1.619,-0.406
187.0,leo1,-1.616,-0.417
188.0,leo1,-1.613,-0.425
189.0,leo1,-1.610,-0.431
190.0,leo1,-1.604,-0.441
191.0,leo1,-1.405,-0.550
192.0,leo1,-1.227,-0.735
193.0,leo1,-1.053,-0.921
194.0,leo1,-0.878,-1.116
195.0,leo1,-0.696,-1.317
196.0,leo1,-0.515,-1.497
197.0,leo1,-0.355,-1.688
198.0,leo1,-0.180,-1.888
199.0,leo1,-0.003,-2.089
200.0,leo1,0.178,-2.271
201.0,leo1,0.363,-2.461
202.0,leo1,0.491,-2.629
203.0,leo1,0.512,-2.634
204.0,leo1,0.510,-2.631
205.0,leo1,0.507,-2.626
206.0,leo1,0.504,-2.618
207.0,leo1,0.503,-2.615
208.0,leo1,0.506,-2.623
209.0,leo1,0.509,-2.628
210.0,leo1,0.511,-2.631
211.0,leo1,0.512,-2.634
212.0,leo1,0.555,-2.680
213.0,leo1,0.756,-2.838
214.0,leo1,0.942,-3.025
215.0,leo1,1.113,-3.204
216.0,leo1,1.332,-3.362
217.0,leo1,1.508,-3.527
218.0,leo1,1.633,-3.690
219.0,leo1,1.757,-3.792
220.0,leo1,1.951,-3.831
221.0,leo1,2.210,-3.807
222.0,leo1,2.454,-3.783
223.0,leo1,2.581,-3.788
224.0,leo1,2.575,-3.788
225.0,leo1,2.587,-3.787
226.0,leo1,2.589,-3.767
227.0,leo1,2.583,-3.767
228.0,leo1,2.568,-3.768
229.0,leo1,2.575,-3.769
230.0,leo1,2.589,-3.771
231.0,leo1,2.602,-3.774
232.0,leo1,2.612,-3.778
233.0,leo1,2.619,-3.781
234.0,leo1,2.624,-3.783
235.0,leo1,2.690,-3.925
236.0,leo1,2.891,-4.064
237.0,leo1,3.040,-4.234
238.0,leo1,3.227,-4.425
239.0,leo1,3.398,-4.624
240.0,leo1,3.578,-4.808
241.0,leo1,3.742,-5.030
242.0,leo1,3.895,-5.226
243.0,leo1,4.071,-5.399
244.0,leo1,4.280,-5.498
245.0,leo1,4.527,-5.531
246.0,leo1,4.783,-5.491
247.0,leo1,5.010,-5.394
248.0,leo1,5.063,-5.369
249.0,leo1,5.065,-5.367
250.0,leo1,5.066,-5.367
251.0,leo1,5.066,-5.367
252.0,leo1,5.065,-5.367
253.0,leo1,5.065,-5.368
254.0,leo1,5.064,-5.369
255.0,leo1,5.061,-5.373
256.0,leo1,5.058,-5.379
257.0,leo1,5.055,-5.386
258.0,leo1,5.053,-5.393
259.0,leo1,5.049,-5.405
260.0,leo1,5.047,-5.419
261.0,leo1,5.001,-5.377
262.0,leo1,4.989,-5.350
263.0,leo1,4.987,-5.337
264.0,leo1,4.984,-5.325
265.0,leo1,4.951,-5.356
266.0,leo1,4.949,-5.351
267.0,leo1,4.947,-5.346
268.0,leo1,4.945,-5.343
269.0,leo1,4.951,-5.347
270.0,leo1,4.966,-5.354
271.0,leo1,4.976,-5.357
272.0,leo1,4.989,-5.360
273.0,leo1,4.937,-5.420
274.0,leo1,4.799,-5.447
275.0,leo1,4.546,-5.492
276.0,leo1,4.286,-5.481
277.0,leo1,4.045,-5.425
278.0,leo1,3.815,-5.304
279.0,leo1,3.600,-5.161
280.0,leo1,3.390,-5.022
281.0,leo1,3.165,-4.882
282.0,leo1,2.948,-4.722
283.0,leo1,2.731,-4.569
284.0,leo1,2.519,-4.439
285.0,leo1,2.294,-4.295
286.0,leo1,2.072,-4.160
287.0,leo1,1.844,-4.046
288.0,leo1,1.609,-3.920
289.0,leo1,1.394,-3.778
290.0,leo1,1.165,-3.655
291.0,leo1,0.945,-3.511
292.0,leo1,0.724,-3.383
293.0,leo1,0.495,-3.246
294.0,leo1,0.272,-3.126
295.0,leo1,0.043,-2.992
296.0,leo1,-0.181,-2.856
297.0,leo1,-0.404,-2.731
298.0,leo1,-0.639,-2.598
299.0,leo1,-0.857,-2.452
300.0,leo1,-1.066,-2.311
301.0,leo1,-1.304,-2.194
302.0,leo1,-1.521,-2.056
303.0,leo1,-1.739,-1.904
304.0,leo1,-1.954,-1.766
305.0,leo1,-2.168,-1.628
306.0,leo1,-2.385,-1.477
307.0,leo1,-2.603,-1.332
308.0,leo1,-2.820,-1.179
309.0,leo1,-3.041,-1.047
310.0,leo1,-3.257,-0.895
311.0,leo1,-3.471,-0.749
312.0,leo1,-3.690,-0.606
313.0,leo1,-3.872,-0.474
314.0,leo1,-4.031,-0.329
315.0,leo1,-4.180,-0.155
316.0,leo1,-4.264,0.009
