frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
0,1787210252.55,-0.000,0.000,0.000,0.000,1,0,0
1,1787210253.55,-0.000,0.000,0.000,0.000,1,0,0
2,1787210254.55,-0.000,0.000,0.000,0.000,1,0,0
3,1787210255.55,-0.000,0.000,0.000,0.000,1,0,0
4,1787210256.55,-0.000,0.000,0.000,0.000,1,0,0
5,1787210257.55,-0.000,0.000,0.000,0.000,1,0,0
6,1787210258.55,0.094,-0.000,-0.000,0.120,0,0,0
7,1787210259.55,0.214,-0.000,-0.000,0.120,0,0,0
8,1787210260.55,0.334,-0.000,-0.000,0.120,0,0,0
9,1787210261.55,0.454,-0.000,-0.000,0.120,0,0,0
10,1787210262.55,0.574,-0.000,-0.000,0.120,0,0,0
11,1787210263.55,0.694,-0.000,-0.000,0.120,0,0,0
12,1787210264.55,0.814,-0.000,-0.000,0.120,0,0,0
13,1787210265.55,0.934,-0.000,-0.000,0.120,0,0,0
14,1787210266.55,1.054,-0.000,-0.000,0.120,0,0,0
15,1787210267.55,1.172,-0.000,-0.000,0.120,0,0,0
16,1787210268.55,1.226,-0.000,-0.000,0.000,1,0,0
17,1787210269.55,1.226,-0.000,-0.000,0.000,1,0,0
18,1787210270.55,1.226,-0.000,-0.000,0.000,1,0,0
19,1787210271.55,1.226,-0.000,-0.000,0.000,1,0,0
20,1787210272.55,1.226,-0.000,-0.000,0.000,1,0,0
21,1787210273.55,1.226,-0.000,-0.000,0.000,1,0,0
22,1787210274.55,1.226,-0.000,-0.000,0.000,1,0,0
23,1787210275.55,1.226,-0.000,-0.000,0.000,1,0,0
24,1787210276.55,1.226,-0.000,-0.000,0.000,1,0,0
25,1787210277.55,1.217,-0.000,-0.000,0.062,0,0,0
26,1787210278.55,1.136,-0.000,-0.000,0.080,0,0,0
27,1787210279.55,1.056,-0.000,-0.000,0.080,0,0,0
28,1787210280.55,0.976,-0.000,-0.000,0.080,0,0,0
29,1787210281.55,0.946,-0.000,-0.000,0.000,1,0,0
30,1787210282.55,0.946,-0.000,-0.000,0.000,1,0,0
31,1787210283.55,0.946,-0.000,-0.000,0.000,1,0,0
32,1787210284.55,0.946,0.010,0.221,0.026,0,0,0
33,1787210285.55,0.946,0.038,0.602,0.008,1,0,0
34,1787210286.55,0.946,0.039,0.642,0.000,1,0,0
35,1787210287.55,0.908,0.011,0.642,0.080,0,0,0
36,1787210288.55,0.844,-0.037,0.642,0.080,0,0,0
37,1787210289.55,0.778,-0.086,0.642,0.080,0,0,0
38,1787210290.55,0.735,-0.118,0.662,0.001,1,0,0
39,1787210291.55,0.735,-0.118,0.728,0.000,1,0,0
