t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0740,,,
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0751,0.0000,0.0000,0.0751
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0761,0.0000,0.0000,0.0761
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0770,0.0000,0.0000,0.0770
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0780,0.0000,0.0000,0.0780
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0792,0.0000,0.0000,0.0792
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0801,0.0000,0.0000,0.0801
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0811,0.0000,0.0000,0.0811
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0823,0.0000,0.0000,0.0823
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0834,0.0000,0.0000,0.0834
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0847,0.0000,0.0000,0.0847
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0858,0.0000,0.0000,0.0858
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0869,0.0000,0.0000,0.0869
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0882,0.0000,0.0000,0.0882
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0890,0.0000,0.0000,0.0890
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0910,0.0000,0.0000,0.0910
62.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0919,0.0000,0.0000,0.0919
62.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0924,0.0000,0.0000,0.0924
63.00,0.0417,-0.0000,-0.0000,0.0380,0.0035,0.0935,0.0380,0.0035,0.0935
63.50,0.1017,-0.0000,-0.0000,0.0992,0.0093,0.0945,0.0586,0.0006,0.0212
64.00,0.1617,-0.0000,-0.0000,0.1622,0.0153,0.0959,0.0718,0.0020,0.0226
64.50,0.2217,-0.0000,-0.0000,0.2216,0.0211,0.0967,0.0914,0.0034,0.0234
65.00,0.2817,-0.0000,-0.0000,0.2801,0.0267,0.0973,0.1068,0.0047,0.0240
65.50,0.3417,-0.0000,-0.0000,0.3432,0.0329,0.0981,0.1436,0.0063,0.0248
66.00,0.4017,-0.0000,-0.0000,0.4040,0.0389,0.0990,0.1248,0.0078,0.0257
66.50,0.4617,-0.0000,-0.0000,0.4638,0.0449,0.1003,0.1448,-0.0006,0.0270
67.00,0.5217,-0.0000,-0.0000,0.5302,0.0516,0.1013,0.1619,0.0016,0.0258
67.50,0.5817,-0.0000,-0.0000,0.5921,0.0580,0.1021,0.1537,0.0034,0.0253
68.00,0.6417,-0.0000,-0.0000,0.6564,0.0646,0.1032,0.1784,0.0050,0.0264
68.50,0.7017,-0.0000,-0.0000,0.7147,0.0706,0.1041,0.1969,0.0066,0.0274
69.00,0.7617,-0.0000,-0.0000,0.7769,0.0771,0.1051,0.2470,0.0087,0.0261
69.50,0.8217,-0.0000,-0.0000,0.8419,0.0840,0.1064,0.2748,0.0111,0.0227
70.00,0.8817,-0.0000,-0.0000,0.8985,0.0901,0.1073,0.3016,0.0124,0.0235
70.50,0.9417,-0.0000,-0.0000,0.9562,0.0964,0.1086,0.3596,0.0138,0.0249
71.00,1.0017,-0.0000,-0.0000,1.0137,0.1026,0.1090,0.3975,0.0157,0.0217
