x,y
0.0000,0.0000
0.3016,0.0124
0.5845,0.0214
0.3574,0.0155
0.1689,-0.1071
-0.1411,0.6324
-0.2672,1.5766
-0.2157,1.5793
-0.2352,1.5239
-0.2093,1.4507
-0.3152,1.2686
0.4082,0.6057
0.4131,0.6060
1.2278,0.5189
1.0240,0.7002
1.0006,0.6986
0.9858,0.6560
0.3355,0.5857
-2.0419,0.3748
-4.5435,-0.3021
-6.2646,-1.6376
-6.2421,-2.2389
-6.2371,-2.1573
-6.2382,-2.0756
-6.2540,-2.1276
-6.9204,-0.8319
-6.9036,-0.8825
-6.9134,-0.9722
-6.7843,-1.1456
-6.6730,-1.5084
-6.6528,-1.4656
-5.9014,-0.8117
-3.6154,-0.7235
-1.3472,-0.6758
0.9257,-0.1872
3.4431,-0.2387
5.2203,-1.3749
5.2723,-1.9000
5.2725,-1.8500
5.2877,-1.7576
5.9414,-0.4232
7.1619,1.1996
7.7908,2.5609
8.7543,4.7793
8.7069,5.3098
8.7199,5.3035
8.6371,5.2054
8.6659,5.1460
8.7080,4.2618
7.7422,1.8949
6.2078,-0.2064
6.2430,-2.4522
7.3354,-4.6960
7.1565,-4.9582
7.0934,-4.9441
7.1010,-4.9576
7.1574,-4.8123
6.8499,-3.1293
5.3435,-1.0113
3.1047,-0.1028
0.6618,-0.0673
0.1288,-0.0759
0.0980,-0.0736
0.1113,-0.0040
0.0749,-0.0209
0.1248,0.1125
0.1278,0.0946
0.0278,0.2204
0.2678,0.2634
0.1073,0.2752
0.2922,0.3415
-0.0476,0.3909
-0.3884,0.5065
-2.9243,0.5236
-5.5284,0.5079
-8.1012,0.5515
-8.4738,0.8164
-8.2499,1.7955
-8.2491,4.3959
-8.8387,5.9490
-8.8326,5.9243
-8.8467,5.9156
-8.8390,5.9259
-10.9840,4.9600
-11.0810,4.7081
-11.0906,4.7405
-11.0683,4.7321
-9.9881,2.8592
-8.4384,0.7483
-6.6776,-0.8797
-7.0873,-2.7584
-8.4311,-4.9720
-8.5285,-5.3445
-8.5177,-5.2881
-6.6483,-6.2856
-5.8787,-5.0338
-5.8879,-2.4302
-5.2438,-0.6870
-2.9464,0.0446
-0.6450,0.0408
1.0774,0.3094
3.1855,0.4567
5.5850,0.7265
7.2405,1.8009
6.9990,4.3745
7.0807,5.0065
7.0354,4.9600
7.0987,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0986,5.0532
7.0973,5.0509
7.0948,5.0471
7.0898,5.0406
7.0881,5.0386
7.0880,5.0386
7.0880,5.0386
7.0880,5.0385
7.0880,5.0385
7.0880,5.0385
7.0831,5.0319
7.0831,5.0319
7.0831,5.0319
7.0831,5.0319
7.0831,5.0319
7.0709,5.0160
7.0751,5.0183
7.0943,5.0632
