t,robot,x,y
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.000,0.000
63.0,leo1,0.038,0.004
64.0,leo1,0.072,0.002
65.0,leo1,0.107,0.005
66.0,leo1,0.125,0.008
67.0,leo1,0.162,0.002
68.0,leo1,0.178,0.005
69.0,leo1,0.247,0.009
70.0,leo1,0.302,0.012
71.0,leo1,0.397,0.016
72.0,leo1,0.508,0.018
73.0,leo1,0.592,0.021
74.0,leo1,0.585,0.021
75.0,leo1,0.585,0.021
76.0,leo1,0.585,0.021
77.0,leo1,0.585,0.021
78.0,leo1,0.585,0.021
79.0,leo1,0.585,0.021
80.0,leo1,0.585,0.021
81.0,leo1,0.585,0.021
82.0,leo1,0.585,0.021
83.0,leo1,0.536,0.019
84.0,leo1,0.470,0.019
85.0,leo1,0.402,0.019
86.0,leo1,0.334,0.008
87.0,leo1,0.333,0.008
88.0,leo1,0.333,0.008
89.0,leo1,0.335,0.008
90.0,leo1,0.357,0.015
91.0,leo1,0.367,0.021
92.0,leo1,0.357,0.013
93.0,leo1,0.329,-0.006
94.0,leo1,0.245,-0.056
95.0,leo1,0.180,-0.098
96.0,leo1,0.170,-0.105
97.0,leo1,0.171,-0.105
98.0,leo1,0.170,-0.106
99.0,leo1,0.170,-0.106
100.0,leo1,0.169,-0.107
101.0,leo1,0.167,-0.110
102.0,leo1,0.165,-0.115
103.0,leo1,0.162,-0.122
104.0,leo1,0.159,-0.131
105.0,leo1,0.130,-0.124
106.0,leo1,0.112,-0.126
107.0,leo1,0.109,-0.092
108.0,leo1,0.046,0.159
109.0,leo1,-0.083,0.398
110.0,leo1,-0.141,0.632
111.0,leo1,-0.239,0.876
112.0,leo1,-0.333,1.112
113.0,leo1,-0.380,1.233
114.0,leo1,-0.382,1.225
115.0,leo1,-0.380,1.210
116.0,leo1,-0.379,1.196
117.0,leo1,-0.329,1.361
118.0,leo1,-0.270,1.574
119.0,leo1,-0.267,1.577
120.0,leo1,-0.267,1.577
121.0,leo1,-0.267,1.577
122.0,leo1,-0.265,1.583
123.0,leo1,-0.262,1.593
124.0,leo1,-0.259,1.598
125.0,leo1,-0.257,1.603
126.0,leo1,-0.255,1.606
127.0,leo1,-0.254,1.607
128.0,leo1,-0.253,1.608
129.0,leo1,-0.215,1.580
130.0,leo1,-0.216,1.579
131.0,leo1,-0.218,1.577
132.0,leo1,-0.221,1.576
133.0,leo1,-0.225,1.573
134.0,leo1,-0.233,1.570
135.0,leo1,-0.242,1.566
136.0,leo1,-0.250,1.564
137.0,leo1,-0.247,1.540
138.0,leo1,-0.250,1.525
139.0,leo1,-0.249,1.525
140.0,leo1,-0.235,1.524
141.0,leo1,-0.224,1.522
142.0,leo1,-0.215,1.520
143.0,leo1,-0.206,1.516
144.0,leo1,-0.199,1.513
145.0,leo1,-0.195,1.511
146.0,leo1,-0.211,1.452
147.0,leo1,-0.210,1.451
148.0,leo1,-0.209,1.451
149.0,leo1,-0.209,1.450
150.0,leo1,-0.209,1.451
151.0,leo1,-0.210,1.452
152.0,leo1,-0.212,1.455
153.0,leo1,-0.214,1.457
154.0,leo1,-0.216,1.461
155.0,leo1,-0.219,1.467
156.0,leo1,-0.221,1.473
157.0,leo1,-0.224,1.481
158.0,leo1,-0.227,1.490
159.0,leo1,-0.272,1.449
160.0,leo1,-0.315,1.269
161.0,leo1,-0.355,1.083
162.0,leo1,-0.357,1.060
163.0,leo1,-0.354,1.050
164.0,leo1,-0.350,1.039
165.0,leo1,-0.320,1.006
166.0,leo1,-0.174,0.807
167.0,leo1,-0.009,0.669
168.0,leo1,0.210,0.601
169.0,leo1,0.395,0.603
170.0,leo1,0.408,0.606
171.0,leo1,0.409,0.606
172.0,leo1,0.431,0.616
173.0,leo1,0.433,0.617
174.0,leo1,0.433,0.617
175.0,leo1,0.433,0.617
176.0,leo1,0.432,0.617
177.0,leo1,0.430,0.615
178.0,leo1,0.427,0.613
179.0,leo1,0.421,0.610
180.0,leo1,0.413,0.606
181.0,leo1,0.405,0.603
182.0,leo1,0.393,0.600
183.0,leo1,0.460,0.603
184.0,leo1,0.726,0.539
185.0,leo1,0.978,0.558
186.0,leo1,1.200,0.543
187.0,leo1,1.215,0.536
188.0,leo1,1.225,0.533
189.0,leo1,1.224,0.521
190.0,leo1,1.228,0.519
191.0,leo1,1.230,0.518
192.0,leo1,1.230,0.517
193.0,leo1,1.231,0.517
194.0,leo1,1.231,0.516
195.0,leo1,1.207,0.542
196.0,leo1,1.160,0.592
197.0,leo1,1.083,0.652
198.0,leo1,1.025,0.699
199.0,leo1,1.024,0.700
200.0,leo1,1.024,0.700
201.0,leo1,1.022,0.702
202.0,leo1,1.021,0.705
203.0,leo1,1.019,0.708
204.0,leo1,1.016,0.713
205.0,leo1,1.014,0.719
206.0,leo1,1.010,0.730
207.0,leo1,1.004,0.702
208.0,leo1,1.002,0.716
209.0,leo1,1.002,0.713
210.0,leo1,1.001,0.699
211.0,leo1,0.998,0.687
212.0,leo1,0.996,0.678
213.0,leo1,0.993,0.670
214.0,leo1,0.991,0.665
215.0,leo1,0.990,0.662
216.0,leo1,0.988,0.659
217.0,leo1,0.987,0.657
218.0,leo1,0.986,0.656
219.0,leo1,0.986,0.656
220.0,leo1,0.986,0.656
221.0,leo1,0.986,0.656
222.0,leo1,0.986,0.656
223.0,leo1,0.987,0.657
224.0,leo1,0.988,0.658
225.0,leo1,0.991,0.660
226.0,leo1,0.996,0.663
227.0,leo1,0.999,0.664
228.0,leo1,0.766,0.684
229.0,leo1,0.515,0.621
230.0,leo1,0.335,0.586
231.0,leo1,0.133,0.593
232.0,leo1,-0.102,0.588
233.0,leo1,-0.294,0.558
234.0,leo1,-0.547,0.565
235.0,leo1,-0.801,0.551
236.0,leo1,-1.053,0.529
237.0,leo1,-1.310,0.489
238.0,leo1,-1.557,0.442
239.0,leo1,-1.767,0.384
240.0,leo1,-2.042,0.375
241.0,leo1,-2.283,0.340
242.0,leo1,-2.525,0.269
243.0,leo1,-2.783,0.206
244.0,leo1,-3.033,0.124
245.0,leo1,-3.285,0.075
246.0,leo1,-3.535,-0.003
247.0,leo1,-3.785,-0.080
248.0,leo1,-4.040,-0.160
249.0,leo1,-4.293,-0.226
250.0,leo1,-4.543,-0.302
251.0,leo1,-4.794,-0.375
252.0,leo1,-5.039,-0.444
253.0,leo1,-5.289,-0.525
254.0,leo1,-5.520,-0.628
255.0,leo1,-5.766,-0.712
256.0,leo1,-6.005,-0.836
257.0,leo1,-6.189,-0.982
258.0,leo1,-6.262,-1.122
259.0,leo1,-6.288,-1.386
260.0,leo1,-6.265,-1.638
261.0,leo1,-6.281,-1.891
262.0,leo1,-6.276,-2.139
263.0,leo1,-6.266,-2.221
264.0,leo1,-6.252,-2.221
265.0,leo1,-6.249,-2.228
266.0,leo1,-6.247,-2.232
267.0,leo1,-6.244,-2.237
268.0,leo1,-6.242,-2.239
269.0,leo1,-6.242,-2.239
270.0,leo1,-6.242,-2.239
271.0,leo1,-6.243,-2.238
272.0,leo1,-6.244,-2.238
273.0,leo1,-6.246,-2.236
274.0,leo1,-6.250,-2.234
275.0,leo1,-6.255,-2.232
276.0,leo1,-6.262,-2.229
277.0,leo1,-6.273,-2.226
278.0,leo1,-6.286,-2.224
279.0,leo1,-6.300,-2.223
280.0,leo1,-6.237,-2.157
281.0,leo1,-6.222,-2.156
282.0,leo1,-6.208,-2.152
283.0,leo1,-6.201,-2.150
284.0,leo1,-6.201,-2.150
285.0,leo1,-6.199,-2.150
286.0,leo1,-6.191,-2.146
287.0,leo1,-6.223,-2.105
288.0,leo1,-6.241,-2.078
289.0,leo1,-6.239,-2.076
290.0,leo1,-6.238,-2.076
291.0,leo1,-6.238,-2.076
292.0,leo1,-6.239,-2.076
293.0,leo1,-6.239,-2.076
294.0,leo1,-6.240,-2.078
295.0,leo1,-6.242,-2.082
296.0,leo1,-6.244,-2.086
297.0,leo1,-6.247,-2.094
298.0,leo1,-6.250,-2.104
299.0,leo1,-6.252,-2.114
300.0,leo1,-6.254,-2.128
301.0,leo1,-6.280,-2.094
302.0,leo1,-6.334,-1.963
303.0,leo1,-6.430,-1.712
304.0,leo1,-6.523,-1.479
305.0,leo1,-6.647,-1.237
306.0,leo1,-6.775,-1.016
307.0,leo1,-6.909,-0.847
308.0,leo1,-6.921,-0.832
309.0,leo1,-6.920,-0.832
310.0,leo1,-6.920,-0.832
311.0,leo1,-6.920,-0.832
312.0,leo1,-6.918,-0.833
313.0,leo1,-6.916,-0.835
314.0,leo1,-6.912,-0.837
315.0,leo1,-6.903,-0.840
316.0,leo1,-6.894,-0.843
