frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
0,1787211959.91,0.000,0.000,-0.086,0.000,1,0,0
1,1787211960.91,0.000,0.000,-0.088,0.000,1,0,0
2,1787211961.91,0.000,0.000,-0.089,0.000,1,0,0
3,1787211962.91,0.000,0.000,-0.092,0.000,1,0,0
4,1787211963.91,0.000,0.000,-0.093,0.000,1,0,0
5,1787211964.91,0.000,0.000,-0.096,0.000,1,0,0
6,1787211965.91,0.090,-0.009,-0.098,0.120,0,0,0
7,1787211966.91,0.210,-0.021,-0.100,0.120,0,0,0
8,1787211967.91,0.327,-0.033,-0.103,0.120,0,0,0
9,1787211968.91,0.453,-0.046,-0.106,0.120,0,0,0
10,1787211969.91,0.574,-0.059,-0.108,0.120,0,0,0
11,1787211970.91,0.693,-0.072,-0.110,0.120,0,0,0
12,1787211971.91,0.814,-0.085,-0.113,0.120,0,0,0
13,1787211972.91,0.932,-0.099,-0.115,0.120,0,0,0
14,1787211973.91,1.056,-0.113,-0.117,0.120,0,0,0
15,1787211974.91,1.177,-0.128,-0.118,0.120,0,0,0
16,1787211975.91,1.238,-0.135,-0.121,0.000,1,0,0
17,1787211976.91,1.238,-0.135,-0.123,0.000,1,0,0
18,1787211977.91,1.238,-0.135,-0.125,0.000,1,0,0
19,1787211978.91,1.238,-0.135,-0.127,0.000,1,0,0
20,1787211979.91,1.238,-0.135,-0.130,0.000,1,0,0
21,1787211980.91,1.238,-0.135,-0.132,0.000,1,0,0
22,1787211981.91,1.238,-0.135,-0.134,0.000,1,0,0
23,1787211982.91,1.238,-0.135,-0.136,0.000,1,0,0
24,1787211983.91,1.238,-0.135,-0.139,0.000,1,0,0
25,1787211984.91,1.238,-0.135,-0.141,0.000,1,0,0
26,1787211985.91,1.212,-0.131,-0.143,0.040,0,0,0
27,1787211986.91,1.170,-0.125,-0.144,0.040,0,0,0
28,1787211987.91,1.134,-0.120,-0.146,0.040,0,0,0
29,1787211988.91,1.092,-0.114,-0.149,0.040,0,0,0
30,1787211989.91,1.048,-0.107,-0.150,0.040,0,0,0
31,1787211990.91,1.010,-0.101,-0.153,0.040,0,0,0
32,1787211991.91,0.981,-0.097,-0.155,0.000,1,0,0
33,1787211992.91,0.981,-0.097,-0.158,0.000,1,0,0
34,1787211993.91,0.981,-0.097,-0.160,0.000,1,0,0
35,1787211994.91,0.989,-0.097,0.036,0.026,0,0,0
36,1787211995.91,1.016,-0.091,0.433,0.010,1,0,0
37,1787211996.91,1.018,-0.090,0.519,0.000,1,0,0
38,1787211997.91,0.995,-0.103,0.517,0.040,0,0,0
39,1787211998.91,0.961,-0.123,0.515,0.040,0,0,0
40,1787211999.91,0.921,-0.145,0.512,0.040,0,0,0
41,1787212000.91,0.885,-0.165,0.509,0.040,0,0,0
42,1787212001.91,0.849,-0.185,0.507,0.040,0,0,0
43,1787212002.91,0.812,-0.206,0.504,0.040,0,0,0
44,1787212003.91,0.790,-0.218,0.501,0.000,1,0,0
45,1787212004.91,0.790,-0.218,0.499,0.000,1,0,0
46,1787212005.91,0.790,-0.218,0.498,0.000,1,0,0
47,1787212006.91,0.790,-0.218,0.504,0.001,1,0,0
48,1787212007.91,0.787,-0.220,0.779,0.014,1,0,0
49,1787212008.91,0.771,-0.245,1.158,0.029,0,0,0
50,1787212009.91,0.769,-0.250,1.205,0.000,1,0,0
51,1787212010.91,0.758,-0.278,1.202,0.040,0,0,0
52,1787212011.91,0.745,-0.313,1.200,0.040,0,0,0
53,1787212012.91,0.730,-0.351,1.197,0.040,0,0,0
54,1787212013.91,0.716,-0.387,1.196,0.040,0,0,0
55,1787212014.91,0.701,-0.423,1.193,0.040,0,0,0
56,1787212015.91,0.686,-0.462,1.190,0.040,0,0,0
57,1787212016.91,0.672,-0.496,1.188,0.000,1,0,0
58,1787212017.91,0.672,-0.496,1.186,0.000,1,0,0
59,1787212018.91,0.672,-0.496,1.184,0.000,1,0,0
60,1787212019.91,0.672,-0.496,1.194,0.008,1,0,0
61,1787212020.91,0.672,-0.484,1.601,0.042,0,0,0
62,1787212021.91,0.667,-0.459,1.886,0.000,1,0,0
63,1787212022.91,0.667,-0.459,1.885,0.000,1,0,0
64,1787212023.91,0.667,-0.459,1.883,0.000,1,0,0
65,1787212024.91,0.667,-0.459,1.881,0.000,1,0,0
66,1787212025.91,0.675,-0.482,1.879,0.040,0,0,0
67,1787212026.91,0.687,-0.521,1.876,0.040,0,0,0
68,1787212027.91,0.700,-0.560,1.873,0.040,0,171,0
69,1787212028.91,0.712,-0.600,1.870,0.040,0,201,0
70,1787212029.91,0.724,-0.639,1.868,0.040,0,201,0
71,1787212030.91,0.736,-0.678,1.865,0.040,0,241,0
72,1787212031.91,0.745,-0.707,1.863,0.000,1,253,1
73,1787212032.91,0.745,-0.707,1.862,0.000,1,253,1
74,1787212033.91,0.745,-0.707,1.860,0.000,1,253,1
75,1787212034.91,0.743,-0.703,1.990,0.003,1,253,1
76,1787212035.91,0.746,-0.706,2.326,0.018,1,253,1
77,1787212036.91,0.762,-0.719,2.568,0.000,1,253,1
78,1787212037.91,0.765,-0.722,2.565,0.040,0,253,1
79,1787212038.91,0.798,-0.743,2.563,0.040,0,253,1
80,1787212039.91,0.832,-0.765,2.561,0.040,0,253,1
81,1787212040.91,0.867,-0.788,2.558,0.040,0,253,1
82,1787212041.91,0.901,-0.811,2.556,0.040,0,253,1
83,1787212042.91,0.932,-0.831,2.554,0.040,0,253,1
84,1787212043.91,0.961,-0.850,2.551,0.030,0,253,1
85,1787212044.91,0.979,-0.863,2.549,0.000,1,253,1
86,1787212045.91,0.979,-0.863,2.547,0.000,1,253,1
87,1787212046.91,0.979,-0.863,2.545,0.000,1,253,1
88,1787212047.91,0.979,-0.863,2.543,0.000,1,253,1
89,1787212048.91,0.978,-0.862,2.544,0.032,0,253,1
90,1787212049.91,0.841,-0.803,2.934,0.259,0,253,1
91,1787212050.91,0.666,-0.789,3.103,0.116,0,253,1
92,1787212051.91,0.478,-0.746,2.691,0.193,0,253,1
93,1787212052.91,0.301,-0.641,2.609,0.259,0,253,1
94,1787212053.91,0.057,-0.539,2.873,0.260,0,253,1
95,1787212054.91,-0.093,-0.494,2.781,0.018,1,245,0
96,1787212055.91,-0.097,-0.492,2.738,0.000,1,241,0
97,1787212056.91,-0.097,-0.492,2.736,0.000,1,248,0
98,1787212057.91,-0.097,-0.492,2.751,0.008,1,241,0
99,1787212058.91,-0.116,-0.491,-3.126,0.043,0,253,1
