t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0791,,,
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0804,0.0000,0.0000,-0.0804
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0815,0.0000,0.0000,-0.0815
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0830,0.0000,0.0000,-0.0830
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0838,0.0000,0.0000,-0.0838
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0844,0.0000,0.0000,-0.0844
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0855,0.0000,0.0000,-0.0855
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0866,0.0000,0.0000,-0.0866
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0875,0.0000,0.0000,-0.0875
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0883,0.0000,0.0000,-0.0883
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0893,0.0000,0.0000,-0.0893
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0900,0.0000,0.0000,-0.0900
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0916,0.0000,0.0000,-0.0916
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0927,0.0000,0.0000,-0.0927
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0932,0.0000,0.0000,-0.0932
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0945,0.0000,0.0000,-0.0945
62.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0958,0.0000,0.0000,-0.0958
62.50,0.0048,-0.0000,-0.0000,0.0033,-0.0003,-0.0964,0.0033,-0.0003,-0.0964
63.00,0.0648,-0.0000,-0.0000,0.0642,-0.0062,-0.0971,0.0642,-0.0062,-0.0971
63.50,0.1248,-0.0000,-0.0000,0.1266,-0.0123,-0.0984,0.0761,-0.0016,-0.0251
64.00,0.1848,-0.0000,-0.0000,0.1847,-0.0181,-0.0998,0.0844,-0.0031,-0.0265
64.50,0.2448,-0.0000,-0.0000,0.2466,-0.0244,-0.1014,0.0551,-0.0052,-0.0246
65.00,0.3048,-0.0000,-0.0000,0.3046,-0.0303,-0.1024,0.1049,-0.0067,-0.0256
65.50,0.3648,-0.0000,-0.0000,0.3642,-0.0364,-0.1039,0.0747,0.0018,-0.0271
66.00,0.4248,-0.0000,-0.0000,0.4280,-0.0431,-0.1051,0.1389,-0.0000,-0.0284
66.50,0.4848,-0.0000,-0.0000,0.4897,-0.0497,-0.1068,0.0695,-0.0018,-0.0300
67.00,0.5448,-0.0000,-0.0000,0.5514,-0.0563,-0.1080,0.1230,-0.0037,-0.0313
67.50,0.6048,-0.0000,-0.0000,0.6094,-0.0627,-0.1090,0.1213,0.0044,-0.0323
68.00,0.6648,-0.0000,-0.0000,0.6672,-0.0690,-0.1100,0.1793,0.0025,-0.0332
68.50,0.7248,-0.0000,-0.0000,0.7287,-0.0758,-0.1112,0.1813,0.0004,-0.0345
69.00,0.7848,-0.0000,-0.0000,0.7895,-0.0827,-0.1124,0.2124,-0.0017,-0.0356
69.50,0.8448,-0.0000,-0.0000,0.8516,-0.0897,-0.1134,0.2749,-0.0039,-0.0366
70.00,0.9048,-0.0000,-0.0000,0.9083,-0.0962,-0.1149,0.3118,-0.0065,-0.0347
70.50,0.9648,-0.0000,-0.0000,0.9689,-0.1032,-0.1159,0.3562,-0.0087,-0.0356
71.00,1.0248,-0.0000,-0.0000,1.0298,-0.1103,-0.1167,0.4140,-0.0109,-0.0364
71.50,1.0848,-0.0000,-0.0000,1.0935,-0.1178,-0.1173,0.4681,-0.0132,-0.0371
