x,y
0.0000,0.0000
0.3118,-0.0065
0.5632,-0.0187
0.3433,-0.0031
0.1603,-0.0954
0.0409,-0.2205
0.0174,-0.3438
0.1294,-0.5982
0.3064,-0.6808
-0.3235,-0.6787
-0.7557,-0.6232
-0.5400,-0.6016
-0.5082,-0.6179
-1.5095,-0.5976
-2.0282,-0.5090
-2.0158,-0.5517
-1.9038,-0.4870
-1.9259,-0.4698
-1.8970,-0.4854
-3.8009,-0.4991
-6.3447,-0.6295
-6.7849,-1.0913
-6.7307,-1.0779
-6.5291,-1.0559
-7.1888,-0.1672
-7.4961,0.2489
-7.5566,0.2011
-7.5032,0.1566
-6.9801,-0.4766
-5.6688,-1.6081
-5.6695,-1.6185
-5.8127,-1.5854
-5.8110,-1.5803
-6.0862,-1.6425
-6.0773,-1.6643
-6.0761,-3.4407
-6.1043,-3.4053
-8.0348,-3.5097
-9.1294,-4.8528
-9.0647,-4.8988
-9.0994,-4.8808
-9.0327,-4.7348
-9.0464,-4.7486
-8.0517,-2.5973
-7.0282,-0.5391
-8.3914,1.5098
-8.3225,3.9548
-8.3487,4.5841
-8.3174,4.5690
-10.3786,4.3465
-10.8115,5.7322
-10.8579,5.7190
-10.8035,5.5858
-10.8521,5.3247
-9.6858,3.0469
-8.1593,0.9742
-5.7020,0.8089
-3.0950,0.7201
-0.4909,0.6613
1.7796,0.3822
4.2247,-0.5827
5.4029,-1.7718
5.1827,-1.6203
5.2014,-1.5620
6.5013,-0.0548
6.8912,0.4250
7.0191,1.2976
7.0361,1.2902
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
7.0585,1.2824
