t,robot,x,y
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.000,0.000
63.0,leo1,0.064,-0.006
64.0,leo1,0.084,-0.003
65.0,leo1,0.105,-0.007
66.0,leo1,0.139,-0.000
67.0,leo1,0.123,-0.004
68.0,leo1,0.179,0.003
69.0,leo1,0.212,-0.002
70.0,leo1,0.312,-0.007
71.0,leo1,0.414,-0.011
72.0,leo1,0.512,-0.016
73.0,leo1,0.563,-0.019
74.0,leo1,0.563,-0.019
75.0,leo1,0.563,-0.019
76.0,leo1,0.563,-0.019
77.0,leo1,0.563,-0.019
78.0,leo1,0.563,-0.019
79.0,leo1,0.563,-0.019
80.0,leo1,0.563,-0.019
81.0,leo1,0.563,-0.019
82.0,leo1,0.563,-0.019
83.0,leo1,0.544,-0.018
84.0,leo1,0.502,-0.015
85.0,leo1,0.465,-0.013
86.0,leo1,0.443,-0.006
87.0,leo1,0.400,-0.005
88.0,leo1,0.380,-0.004
89.0,leo1,0.343,-0.003
90.0,leo1,0.343,-0.003
91.0,leo1,0.343,-0.003
92.0,leo1,0.349,-0.003
93.0,leo1,0.376,0.005
94.0,leo1,0.380,0.008
95.0,leo1,0.364,-0.004
96.0,leo1,0.332,-0.027
97.0,leo1,0.280,-0.028
98.0,leo1,0.245,-0.054
99.0,leo1,0.193,-0.070
100.0,leo1,0.160,-0.095
101.0,leo1,0.135,-0.126
102.0,leo1,0.135,-0.126
103.0,leo1,0.135,-0.126
104.0,leo1,0.135,-0.126
105.0,leo1,0.134,-0.127
106.0,leo1,0.122,-0.149
107.0,leo1,0.062,-0.121
108.0,leo1,0.057,-0.144
109.0,leo1,0.049,-0.181
110.0,leo1,0.041,-0.220
111.0,leo1,0.033,-0.258
112.0,leo1,0.025,-0.296
113.0,leo1,0.037,-0.338
114.0,leo1,0.029,-0.378
115.0,leo1,0.029,-0.380
116.0,leo1,0.029,-0.380
117.0,leo1,0.029,-0.380
118.0,leo1,0.027,-0.375
119.0,leo1,0.018,-0.345
120.0,leo1,0.017,-0.344
121.0,leo1,0.017,-0.344
122.0,leo1,0.017,-0.344
123.0,leo1,0.026,-0.359
124.0,leo1,0.044,-0.396
125.0,leo1,0.070,-0.458
126.0,leo1,0.091,-0.496
127.0,leo1,0.111,-0.530
128.0,leo1,0.131,-0.566
129.0,leo1,0.129,-0.598
130.0,leo1,0.129,-0.598
131.0,leo1,0.129,-0.598
132.0,leo1,0.127,-0.595
133.0,leo1,0.129,-0.596
134.0,leo1,0.149,-0.606
135.0,leo1,0.150,-0.607
136.0,leo1,0.135,-0.627
137.0,leo1,0.172,-0.640
138.0,leo1,0.229,-0.654
139.0,leo1,0.272,-0.668
140.0,leo1,0.306,-0.681
141.0,leo1,0.351,-0.693
142.0,leo1,0.375,-0.702
143.0,leo1,0.375,-0.702
144.0,leo1,0.375,-0.702
145.0,leo1,0.375,-0.702
146.0,leo1,0.375,-0.702
147.0,leo1,0.262,-0.677
148.0,leo1,0.057,-0.724
149.0,leo1,-0.104,-0.728
150.0,leo1,-0.323,-0.679
151.0,leo1,-0.556,-0.633
152.0,leo1,-0.704,-0.619
153.0,leo1,-0.718,-0.616
154.0,leo1,-0.718,-0.616
155.0,leo1,-0.718,-0.616
156.0,leo1,-0.731,-0.618
157.0,leo1,-0.768,-0.629
158.0,leo1,-0.765,-0.627
159.0,leo1,-0.760,-0.625
160.0,leo1,-0.756,-0.623
161.0,leo1,-0.748,-0.621
162.0,leo1,-0.736,-0.618
163.0,leo1,-0.722,-0.616
164.0,leo1,-0.708,-0.616
165.0,leo1,-0.714,-0.615
166.0,leo1,-0.693,-0.617
167.0,leo1,-0.683,-0.590
168.0,leo1,-0.645,-0.593
169.0,leo1,-0.581,-0.598
170.0,leo1,-0.540,-0.602
171.0,leo1,-0.501,-0.605
172.0,leo1,-0.478,-0.607
173.0,leo1,-0.474,-0.608
174.0,leo1,-0.474,-0.608
175.0,leo1,-0.473,-0.608
176.0,leo1,-0.488,-0.610
177.0,leo1,-0.508,-0.618
178.0,leo1,-0.508,-0.618
179.0,leo1,-0.508,-0.618
180.0,leo1,-0.508,-0.618
181.0,leo1,-0.508,-0.618
182.0,leo1,-0.506,-0.617
183.0,leo1,-0.501,-0.614
184.0,leo1,-0.496,-0.612
185.0,leo1,-0.487,-0.609
186.0,leo1,-0.506,-0.612
187.0,leo1,-0.692,-0.592
188.0,leo1,-0.988,-0.591
189.0,leo1,-1.244,-0.594
190.0,leo1,-1.510,-0.598
191.0,leo1,-1.749,-0.582
192.0,leo1,-1.975,-0.569
193.0,leo1,-1.988,-0.570
194.0,leo1,-2.005,-0.567
195.0,leo1,-2.016,-0.564
196.0,leo1,-2.013,-0.526
197.0,leo1,-2.018,-0.516
198.0,leo1,-2.023,-0.513
199.0,leo1,-2.026,-0.511
200.0,leo1,-2.028,-0.509
201.0,leo1,-2.029,-0.508
202.0,leo1,-2.029,-0.508
203.0,leo1,-2.030,-0.507
204.0,leo1,-2.029,-0.508
205.0,leo1,-2.028,-0.510
206.0,leo1,-2.026,-0.515
207.0,leo1,-2.023,-0.520
208.0,leo1,-2.020,-0.529
209.0,leo1,-2.018,-0.539
210.0,leo1,-2.016,-0.552
211.0,leo1,-2.015,-0.566
212.0,leo1,-1.947,-0.512
213.0,leo1,-1.946,-0.502
214.0,leo1,-1.944,-0.490
215.0,leo1,-1.941,-0.479
216.0,leo1,-1.937,-0.468
217.0,leo1,-1.894,-0.468
218.0,leo1,-1.896,-0.472
219.0,leo1,-1.900,-0.479
220.0,leo1,-1.904,-0.487
221.0,leo1,-1.908,-0.499
222.0,leo1,-1.912,-0.514
223.0,leo1,-1.914,-0.528
224.0,leo1,-1.914,-0.523
225.0,leo1,-1.915,-0.510
226.0,leo1,-1.917,-0.497
227.0,leo1,-1.919,-0.488
228.0,leo1,-1.921,-0.481
229.0,leo1,-1.923,-0.475
230.0,leo1,-1.926,-0.470
231.0,leo1,-1.927,-0.468
232.0,leo1,-1.928,-0.467
233.0,leo1,-1.927,-0.467
234.0,leo1,-1.927,-0.468
235.0,leo1,-1.926,-0.469
236.0,leo1,-1.924,-0.470
237.0,leo1,-1.920,-0.473
238.0,leo1,-1.914,-0.477
239.0,leo1,-1.907,-0.481
240.0,leo1,-1.897,-0.485
241.0,leo1,-1.886,-0.489
242.0,leo1,-1.879,-0.491
243.0,leo1,-2.168,-0.559
244.0,leo1,-2.381,-0.571
245.0,leo1,-2.594,-0.533
246.0,leo1,-2.772,-0.506
247.0,leo1,-3.034,-0.495
248.0,leo1,-3.294,-0.503
249.0,leo1,-3.543,-0.500
250.0,leo1,-3.801,-0.499
251.0,leo1,-4.075,-0.497
252.0,leo1,-4.340,-0.490
253.0,leo1,-4.600,-0.475
254.0,leo1,-4.856,-0.467
255.0,leo1,-5.115,-0.453
256.0,leo1,-5.368,-0.460
257.0,leo1,-5.638,-0.448
258.0,leo1,-5.893,-0.448
259.0,leo1,-6.143,-0.511
260.0,leo1,-6.345,-0.629
261.0,leo1,-6.549,-0.823
262.0,leo1,-6.699,-1.012
263.0,leo1,-6.785,-1.092
264.0,leo1,-6.784,-1.091
265.0,leo1,-6.782,-1.088
266.0,leo1,-6.779,-1.082
267.0,leo1,-6.781,-1.086
268.0,leo1,-6.783,-1.089
269.0,leo1,-6.784,-1.091
270.0,leo1,-6.785,-1.091
271.0,leo1,-6.785,-1.092
272.0,leo1,-6.786,-1.092
273.0,leo1,-6.785,-1.092
274.0,leo1,-6.783,-1.090
275.0,leo1,-6.778,-1.088
276.0,leo1,-6.773,-1.085
277.0,leo1,-6.764,-1.082
278.0,leo1,-6.756,-1.080
279.0,leo1,-6.745,-1.079
280.0,leo1,-6.731,-1.078
281.0,leo1,-6.728,-1.078
282.0,leo1,-6.742,-1.076
283.0,leo1,-6.745,-1.075
284.0,leo1,-6.733,-0.998
285.0,leo1,-6.694,-1.008
286.0,leo1,-6.653,-1.018
287.0,leo1,-6.611,-1.027
288.0,leo1,-6.572,-1.037
289.0,leo1,-6.533,-1.055
290.0,leo1,-6.529,-1.056
291.0,leo1,-6.538,-1.053
292.0,leo1,-6.543,-1.050
293.0,leo1,-6.548,-1.048
294.0,leo1,-6.552,-1.045
295.0,leo1,-6.553,-1.044
296.0,leo1,-6.587,-1.010
297.0,leo1,-6.703,-0.792
298.0,leo1,-6.867,-0.593
299.0,leo1,-7.035,-0.388
300.0,leo1,-7.189,-0.167
301.0,leo1,-7.353,0.039
302.0,leo1,-7.483,0.236
303.0,leo1,-7.523,0.263
304.0,leo1,-7.522,0.263
305.0,leo1,-7.522,0.262
306.0,leo1,-7.520,0.261
