t,robot,x,y
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.000,0.000
63.0,leo1,0.077,0.004
64.0,leo1,0.113,0.002
65.0,leo1,0.108,0.003
66.0,leo1,0.141,0.004
67.0,leo1,0.142,0.006
68.0,leo1,0.186,0.007
69.0,leo1,0.287,0.009
70.0,leo1,0.349,0.011
71.0,leo1,0.454,0.012
72.0,leo1,0.546,0.013
73.0,leo1,0.585,0.004
74.0,leo1,0.585,0.004
75.0,leo1,0.585,0.004
76.0,leo1,0.585,0.004
77.0,leo1,0.585,0.004
78.0,leo1,0.585,0.004
79.0,leo1,0.585,0.004
80.0,leo1,0.585,0.004
81.0,leo1,0.585,0.004
82.0,leo1,0.597,0.004
83.0,leo1,0.609,0.007
84.0,leo1,0.659,0.041
85.0,leo1,0.667,0.045
86.0,leo1,0.674,0.048
87.0,leo1,0.680,0.051
88.0,leo1,0.682,0.052
89.0,leo1,0.683,0.053
90.0,leo1,0.684,0.054
91.0,leo1,0.683,0.053
92.0,leo1,0.683,0.053
93.0,leo1,0.682,0.051
94.0,leo1,0.680,0.049
95.0,leo1,0.678,0.044
96.0,leo1,0.675,0.037
97.0,leo1,0.671,0.028
98.0,leo1,0.668,0.017
99.0,leo1,0.667,0.006
100.0,leo1,0.647,0.058
101.0,leo1,0.643,0.077
102.0,leo1,0.641,0.090
103.0,leo1,0.638,0.102
104.0,leo1,0.635,0.112
105.0,leo1,0.632,0.118
106.0,leo1,0.563,0.081
107.0,leo1,0.480,0.241
108.0,leo1,0.340,0.400
109.0,leo1,0.154,0.546
110.0,leo1,-0.049,0.739
111.0,leo1,-0.165,0.959
112.0,leo1,-0.258,1.221
113.0,leo1,-0.279,1.463
114.0,leo1,-0.204,1.688
115.0,leo1,-0.083,1.931
116.0,leo1,0.023,2.171
117.0,leo1,0.141,2.398
118.0,leo1,0.220,2.572
119.0,leo1,0.227,2.585
120.0,leo1,0.229,2.588
121.0,leo1,0.230,2.590
122.0,leo1,0.230,2.590
123.0,leo1,0.231,2.591
124.0,leo1,0.231,2.591
125.0,leo1,0.229,2.590
126.0,leo1,0.227,2.589
127.0,leo1,0.223,2.586
128.0,leo1,0.216,2.583
129.0,leo1,0.208,2.580
130.0,leo1,0.197,2.577
131.0,leo1,0.184,2.574
132.0,leo1,0.227,2.517
133.0,leo1,0.240,2.516
134.0,leo1,0.253,2.515
135.0,leo1,0.266,2.511
136.0,leo1,0.275,2.509
137.0,leo1,0.242,2.457
138.0,leo1,0.246,2.454
139.0,leo1,0.248,2.453
140.0,leo1,0.251,2.451
141.0,leo1,0.252,2.450
142.0,leo1,0.253,2.450
143.0,leo1,0.253,2.450
144.0,leo1,0.253,2.450
145.0,leo1,0.252,2.451
146.0,leo1,0.250,2.454
147.0,leo1,0.247,2.459
148.0,leo1,0.244,2.465
149.0,leo1,0.241,2.474
150.0,leo1,0.234,2.322
151.0,leo1,0.217,2.109
152.0,leo1,0.206,2.080
153.0,leo1,0.184,2.087
154.0,leo1,0.133,1.987
155.0,leo1,0.016,1.754
156.0,leo1,-0.145,1.543
157.0,leo1,-0.266,1.418
158.0,leo1,-0.270,1.413
159.0,leo1,-0.268,1.416
160.0,leo1,-0.266,1.420
161.0,leo1,-0.263,1.426
162.0,leo1,-0.261,1.433
163.0,leo1,-0.258,1.442
164.0,leo1,-0.262,1.397
165.0,leo1,-0.193,1.128
166.0,leo1,-0.132,0.909
167.0,leo1,0.042,0.735
168.0,leo1,0.240,0.632
169.0,leo1,0.420,0.595
170.0,leo1,0.419,0.595
171.0,leo1,0.442,0.593
172.0,leo1,0.657,0.525
173.0,leo1,0.783,0.491
174.0,leo1,0.780,0.479
175.0,leo1,0.786,0.477
176.0,leo1,0.790,0.474
177.0,leo1,0.794,0.472
178.0,leo1,0.795,0.471
179.0,leo1,0.795,0.471
180.0,leo1,0.795,0.471
181.0,leo1,0.795,0.471
182.0,leo1,0.794,0.473
183.0,leo1,0.791,0.476
184.0,leo1,0.788,0.481
185.0,leo1,0.785,0.489
186.0,leo1,0.781,0.499
187.0,leo1,0.778,0.512
188.0,leo1,0.776,0.526
189.0,leo1,0.715,0.468
190.0,leo1,0.714,0.452
191.0,leo1,0.712,0.439
192.0,leo1,0.708,0.427
193.0,leo1,0.706,0.419
194.0,leo1,0.703,0.413
195.0,leo1,0.654,0.456
196.0,leo1,0.652,0.452
197.0,leo1,0.566,0.373
198.0,leo1,0.380,0.211
199.0,leo1,0.312,0.167
200.0,leo1,0.178,0.085
201.0,leo1,-0.021,-0.023
202.0,leo1,-0.269,-0.107
203.0,leo1,-0.501,-0.131
204.0,leo1,-0.762,-0.102
205.0,leo1,-0.997,-0.117
206.0,leo1,-1.264,-0.109
207.0,leo1,-1.487,-0.092
208.0,leo1,-1.741,-0.093
209.0,leo1,-2.003,-0.086
210.0,leo1,-2.271,-0.085
211.0,leo1,-2.518,-0.084
212.0,leo1,-2.757,-0.084
213.0,leo1,-2.938,-0.084
214.0,leo1,-3.074,-0.084
215.0,leo1,-3.255,-0.091
216.0,leo1,-3.551,-0.109
217.0,leo1,-3.775,-0.120
218.0,leo1,-4.057,-0.115
219.0,leo1,-4.311,-0.117
220.0,leo1,-4.574,-0.132
221.0,leo1,-4.823,-0.192
222.0,leo1,-5.036,-0.303
223.0,leo1,-5.280,-0.425
224.0,leo1,-5.510,-0.537
225.0,leo1,-5.731,-0.645
226.0,leo1,-5.813,-0.704
227.0,leo1,-6.003,-0.858
228.0,leo1,-6.055,-0.904
229.0,leo1,-6.055,-0.903
230.0,leo1,-6.054,-0.902
231.0,leo1,-6.052,-0.899
232.0,leo1,-6.050,-0.894
233.0,leo1,-6.047,-0.887
234.0,leo1,-6.044,-0.878
235.0,leo1,-6.036,-1.046
236.0,leo1,-6.015,-1.307
237.0,leo1,-5.965,-1.481
238.0,leo1,-5.818,-1.686
239.0,leo1,-5.593,-1.845
240.0,leo1,-5.370,-1.962
241.0,leo1,-5.200,-2.053
242.0,leo1,-5.129,-2.117
243.0,leo1,-5.129,-2.116
244.0,leo1,-5.131,-2.113
245.0,leo1,-5.133,-2.110
246.0,leo1,-5.136,-2.104
247.0,leo1,-5.140,-2.095
248.0,leo1,-5.143,-2.084
249.0,leo1,-5.146,-2.072
250.0,leo1,-5.185,-2.106
251.0,leo1,-5.185,-2.113
252.0,leo1,-5.187,-2.127
253.0,leo1,-5.189,-2.138
254.0,leo1,-5.192,-2.146
255.0,leo1,-5.195,-2.154
256.0,leo1,-5.197,-2.159
257.0,leo1,-5.269,-2.124
258.0,leo1,-5.270,-2.126
259.0,leo1,-5.270,-2.126
260.0,leo1,-5.271,-2.127
261.0,leo1,-5.271,-2.127
262.0,leo1,-5.252,-2.111
263.0,leo1,-5.222,-2.085
264.0,leo1,-5.188,-2.048
265.0,leo1,-5.156,-2.021
266.0,leo1,-5.133,-1.993
267.0,leo1,-5.103,-1.967
268.0,leo1,-5.073,-1.952
269.0,leo1,-5.072,-1.951
270.0,leo1,-5.069,-1.949
271.0,leo1,-5.064,-1.946
272.0,leo1,-5.056,-1.942
273.0,leo1,-5.048,-1.939
274.0,leo1,-5.128,-1.953
275.0,leo1,-5.200,-1.917
276.0,leo1,-5.241,-1.895
277.0,leo1,-5.464,-1.841
278.0,leo1,-5.700,-1.762
279.0,leo1,-5.851,-1.642
280.0,leo1,-5.935,-1.418
281.0,leo1,-5.940,-1.177
282.0,leo1,-5.853,-0.954
283.0,leo1,-5.649,-0.781
284.0,leo1,-5.417,-0.659
285.0,leo1,-5.162,-0.601
286.0,leo1,-4.909,-0.605
287.0,leo1,-4.650,-0.604
288.0,leo1,-4.403,-0.601
289.0,leo1,-4.162,-0.600
290.0,leo1,-3.892,-0.587
291.0,leo1,-3.624,-0.588
292.0,leo1,-3.395,-0.583
293.0,leo1,-3.176,-0.584
294.0,leo1,-2.954,-0.584
295.0,leo1,-2.742,-0.580
296.0,leo1,-2.482,-0.582
297.0,leo1,-2.267,-0.586
298.0,leo1,-2.030,-0.583
299.0,leo1,-1.786,-0.582
300.0,leo1,-1.526,-0.588
301.0,leo1,-1.305,-0.585
302.0,leo1,-1.079,-0.586
303.0,leo1,-0.804,-0.585
304.0,leo1,-0.560,-0.585
305.0,leo1,-0.287,-0.585
306.0,leo1,-0.028,-0.586
307.0,leo1,0.215,-0.581
308.0,leo1,0.488,-0.584
309.0,leo1,0.751,-0.584
310.0,leo1,0.995,-0.584
311.0,leo1,1.262,-0.584
312.0,leo1,1.507,-0.585
313.0,leo1,1.757,-0.585
314.0,leo1,2.011,-0.586
315.0,leo1,2.209,-0.585
316.0,leo1,2.430,-0.584
