t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0140,0.0000,0.0000,-0.0140
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0146,0.0000,0.0000,-0.0146
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0145,0.0000,0.0000,-0.0145
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0149,0.0000,0.0000,-0.0149
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0147,0.0000,0.0000,-0.0147
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0152,0.0000,0.0000,-0.0152
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0156,0.0000,0.0000,-0.0156
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0156,0.0000,0.0000,-0.0156
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0159,0.0000,0.0000,-0.0159
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0158,0.0000,0.0000,-0.0158
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0160,0.0000,0.0000,-0.0160
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0164,0.0000,0.0000,-0.0164
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0162,0.0000,0.0000,-0.0162
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0162,0.0000,0.0000,-0.0162
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0170,0.0000,0.0000,-0.0170
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0172,0.0000,0.0000,-0.0172
62.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0171,0.0000,0.0000,-0.0171
62.50,0.0453,-0.0000,-0.0000,0.0466,-0.0008,-0.0173,0.0466,-0.0008,-0.0173
63.00,0.1053,-0.0000,-0.0000,0.1051,-0.0018,-0.0178,0.1051,-0.0018,-0.0178
63.50,0.1653,-0.0000,-0.0000,0.1684,-0.0030,-0.0183,0.0884,-0.0047,-0.0043
64.00,0.2253,-0.0000,-0.0000,0.2314,-0.0041,-0.0182,0.0785,-0.0050,-0.0043
64.50,0.2853,-0.0000,-0.0000,0.2913,-0.0052,-0.0184,0.1213,-0.0053,-0.0044
65.00,0.3453,-0.0000,-0.0000,0.3544,-0.0064,-0.0187,0.1044,-0.0055,-0.0047
65.50,0.4053,-0.0000,-0.0000,0.4086,-0.0074,-0.0190,0.1087,-0.0058,-0.0050
66.00,0.4653,-0.0000,-0.0000,0.4761,-0.0087,-0.0190,0.1113,-0.0061,-0.0050
66.50,0.5253,-0.0000,-0.0000,0.5418,-0.0100,-0.0194,0.1218,-0.0065,-0.0054
67.00,0.5853,-0.0000,-0.0000,0.6020,-0.0111,-0.0195,0.1321,-0.0068,-0.0056
67.50,0.6453,-0.0000,-0.0000,0.6652,-0.0124,-0.0198,0.1953,-0.0072,-0.0058
68.00,0.7053,-0.0000,-0.0000,0.7256,-0.0136,-0.0202,0.2156,0.0024,-0.0063
68.50,0.7653,-0.0000,-0.0000,0.7867,-0.0148,-0.0206,0.2568,0.0020,-0.0066
69.00,0.8253,-0.0000,-0.0000,0.8440,-0.0160,-0.0212,0.3141,0.0016,-0.0072
69.50,0.8853,-0.0000,-0.0000,0.9068,-0.0174,-0.0213,0.3569,0.0012,-0.0074
70.00,0.9453,-0.0000,-0.0000,0.9696,-0.0187,-0.0215,0.4035,0.0007,-0.0076
70.50,1.0053,-0.0000,-0.0000,1.0315,-0.0201,-0.0223,0.4616,0.0002,-0.0083
71.00,1.0653,-0.0000,-0.0000,1.0923,-0.0215,-0.0229,0.5025,-0.0003,-0.0089
71.50,1.1253,-0.0000,-0.0000,1.1536,-0.0229,-0.0235,0.5638,-0.0009,-0.0095
72.00,1.1853,-0.0000,-0.0000,1.2172,-0.0244,-0.0236,0.5912,-0.0015,-0.0096
72.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0244,0.6295,-0.0019,-0.0104
73.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0249,0.6295,-0.0019,-0.0109
73.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0255,0.6295,-0.0019,-0.0115
74.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0256,0.6295,-0.0019,-0.0117
74.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0258,0.6295,-0.0019,-0.0118
75.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0266,0.6295,-0.0019,-0.0126
75.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0272,0.6295,-0.0019,-0.0132
76.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0274,0.6295,-0.0019,-0.0134
76.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0275,0.6295,-0.0019,-0.0135
77.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0275,0.6295,-0.0019,-0.0135
77.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0277,0.6295,-0.0019,-0.0137
78.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0285,0.6295,-0.0019,-0.0145
78.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0287,0.6295,-0.0019,-0.0147
79.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0288,0.6295,-0.0019,-0.0148
79.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0295,0.6295,-0.0019,-0.0155
80.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0299,0.6295,-0.0019,-0.0160
80.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0303,0.6295,-0.0019,-0.0164
81.00,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0310,0.6295,-0.0019,-0.0170
81.50,1.2293,-0.0000,-0.0000,1.2593,-0.0254,-0.0308,0.6295,-0.0019,-0.0168
82.00,1.2238,-0.0000,-0.0000,1.2533,-0.0252,-0.0302,0.6235,-0.0018,-0.0162
82.50,1.2038,-0.0000,-0.0000,1.2325,-0.0246,-0.0309,0.6027,-0.0015,-0.0169
83.00,1.1838,-0.0000,-0.0000,1.2121,-0.0239,-0.0314,0.5823,-0.0011,-0.0174
83.50,1.1638,-0.0000,-0.0000,1.1920,-0.0233,-0.0321,0.5622,-0.0008,-0.0181
84.00,1.1438,-0.0000,-0.0000,1.1712,-0.0226,-0.0326,0.5414,-0.0004,-0.0186
84.50,1.1238,-0.0000,-0.0000,1.1530,-0.0220,-0.0331,0.5232,-0.0000,-0.0191
85.00,1.1038,-0.0000,-0.0000,1.1344,-0.0214,-0.0337,0.5045,0.0003,-0.0198
85.50,1.0838,-0.0000,-0.0000,1.1130,-0.0207,-0.0338,0.4831,0.0008,-0.0198
86.00,1.0638,-0.0000,-0.0000,1.0901,-0.0199,-0.0347,0.4602,0.0012,-0.0207
86.50,1.0438,-0.0000,-0.0000,1.0683,-0.0191,-0.0348,0.4384,-0.0006,-0.0104
87.00,1.0238,-0.0000,-0.0000,1.0475,-0.0184,-0.0357,0.4176,-0.0004,-0.0113
87.50,1.0038,-0.0000,-0.0000,1.0273,-0.0177,-0.0357,0.3974,-0.0002,-0.0113
88.00,0.9838,-0.0000,-0.0000,1.0072,-0.0169,-0.0359,0.3773,0.0001,-0.0115
88.50,0.9773,-0.0000,-0.0000,0.9996,-0.0167,-0.0359,0.3697,0.0001,-0.0115
89.00,0.9773,-0.0000,-0.0000,0.9996,-0.0167,-0.0362,0.3697,0.0001,-0.0118
89.50,0.9773,-0.0000,-0.0000,0.9996,-0.0167,-0.0363,0.3697,0.0001,-0.0119
90.00,0.9773,-0.0000,-0.0000,0.9996,-0.0167,-0.0372,0.3697,0.0001,-0.0127
90.50,0.9773,-0.0000,-0.0000,0.9996,-0.0167,-0.0374,0.3697,0.0001,-0.0129
91.00,0.9773,0.0006,0.0188,0.9996,-0.0167,-0.0193,0.3697,0.0001,0.0051
91.50,0.9773,0.0083,0.1924,1.0071,-0.0161,0.1579,0.3771,0.0008,0.1824
92.00,0.9775,0.0247,0.4102,1.0240,-0.0112,0.3758,0.3939,0.0062,0.4002
92.50,0.9777,0.0375,0.5895,1.0343,-0.0060,0.5545,0.4041,0.0117,0.5790
93.00,0.9778,0.0397,0.6499,1.0355,-0.0052,0.6132,0.4053,0.0124,0.6377
93.50,0.9778,0.0397,0.6499,1.0355,-0.0053,0.6124,0.4053,0.0124,0.6368
94.00,0.9734,0.0364,0.6499,1.0310,-0.0084,0.6117,0.4008,0.0092,0.6361
94.50,0.9575,0.0243,0.6499,1.0144,-0.0200,0.6110,0.3845,-0.0028,0.6354
95.00,0.9416,0.0122,0.6499,0.9972,-0.0321,0.6111,0.3676,-0.0153,0.6355
95.50,0.9256,0.0001,0.6499,0.9813,-0.0432,0.6105,0.3529,0.0019,0.6419
96.00,0.9097,-0.0120,0.6499,0.9639,-0.0554,0.6102,0.3359,-0.0108,0.6416
96.50,0.8938,-0.0241,0.6499,0.9465,-0.0676,0.6094,0.3189,-0.0235,0.6408
97.00,0.8779,-0.0362,0.6499,0.9301,-0.0790,0.6084,0.3029,-0.0354,0.6398
97.50,0.8619,-0.0483,0.6499,0.9132,-0.0908,0.6075,0.3275,-0.0487,0.6446
98.00,0.8460,-0.0604,0.6499,0.8962,-0.1026,0.6074,0.3207,-0.0613,0.6458
98.50,0.8301,-0.0725,0.6499,0.8805,-0.1134,0.6066,0.3055,-0.0728,0.6450
99.00,0.8142,-0.0846,0.6499,0.8641,-0.1248,0.6064,0.2895,-0.0848,0.6448
99.50,0.7983,-0.0967,0.6499,0.8480,-0.1360,0.6060,0.2738,-0.0966,0.6444
100.00,0.7823,-0.1088,0.6499,0.8319,-0.1471,0.6058,0.2581,-0.1084,0.6442
100.50,0.7739,-0.1152,0.6499,0.8238,-0.1527,0.6053,0.2503,-0.1143,0.6437
101.00,0.7739,-0.1157,0.6292,0.8234,-0.1530,0.5844,0.2499,-0.1146,0.6228
101.50,0.7739,-0.1171,0.5941,0.8225,-0.1536,0.5490,0.2490,-0.1152,0.5874
102.00,0.7738,-0.1189,0.5581,0.8205,-0.1548,0.5117,0.2471,-0.1164,0.5501
102.50,0.7738,-0.1211,0.5211,0.8182,-0.1560,0.4739,0.2448,-0.1178,0.5123
