t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.036,0.002
63.0,leo1,0.064,-0.000
64.0,leo1,0.147,0.001
65.0,leo1,0.109,0.003
66.0,leo1,0.188,0.005
67.0,leo1,0.183,0.008
68.0,leo1,0.287,0.009
69.0,leo1,0.311,0.001
70.0,leo1,0.436,0.013
71.0,leo1,0.518,0.015
72.0,leo1,0.614,0.016
73.0,leo1,0.614,0.016
74.0,leo1,0.614,0.016
75.0,leo1,0.614,0.016
76.0,leo1,0.614,0.016
77.0,leo1,0.614,0.016
78.0,leo1,0.614,0.016
79.0,leo1,0.614,0.016
80.0,leo1,0.614,0.016
81.0,leo1,0.623,0.017
82.0,leo1,0.635,0.019
83.0,leo1,0.646,0.021
84.0,leo1,0.675,0.057
85.0,leo1,0.683,0.060
86.0,leo1,0.688,0.063
87.0,leo1,0.692,0.066
88.0,leo1,0.694,0.067
89.0,leo1,0.694,0.067
90.0,leo1,0.693,0.067
91.0,leo1,0.693,0.066
92.0,leo1,0.692,0.065
93.0,leo1,0.690,0.062
94.0,leo1,0.688,0.058
95.0,leo1,0.685,0.052
96.0,leo1,0.682,0.045
97.0,leo1,0.679,0.034
98.0,leo1,0.677,0.022
99.0,leo1,0.676,0.008
100.0,leo1,0.632,0.079
101.0,leo1,0.631,0.090
102.0,leo1,0.629,0.103
103.0,leo1,0.626,0.113
104.0,leo1,0.622,0.121
105.0,leo1,0.551,0.091
106.0,leo1,0.424,0.261
107.0,leo1,0.234,0.446
108.0,leo1,0.086,0.643
109.0,leo1,-0.129,0.795
110.0,leo1,-0.240,0.907
111.0,leo1,-0.249,0.956
112.0,leo1,-0.246,0.951
113.0,leo1,-0.243,0.944
114.0,leo1,-0.244,0.948
115.0,leo1,-0.240,1.149
116.0,leo1,-0.238,1.329
117.0,leo1,-0.240,1.346
118.0,leo1,-0.243,1.357
119.0,leo1,-0.246,1.366
120.0,leo1,-0.249,1.374
121.0,leo1,-0.282,1.339
122.0,leo1,-0.285,1.343
123.0,leo1,-0.286,1.345
124.0,leo1,-0.287,1.345
125.0,leo1,-0.287,1.345
126.0,leo1,-0.286,1.345
127.0,leo1,-0.286,1.344
128.0,leo1,-0.284,1.343
129.0,leo1,-0.280,1.341
130.0,leo1,-0.274,1.338
131.0,leo1,-0.265,1.335
132.0,leo1,-0.254,1.332
133.0,leo1,-0.240,1.329
134.0,leo1,-0.307,1.284
135.0,leo1,-0.304,1.283
136.0,leo1,-0.319,1.282
137.0,leo1,-0.332,1.279
138.0,leo1,-0.343,1.276
139.0,leo1,-0.348,1.274
140.0,leo1,-0.355,1.271
141.0,leo1,-0.295,1.184
142.0,leo1,-0.457,1.076
143.0,leo1,-0.631,0.912
144.0,leo1,-0.819,0.740
145.0,leo1,-1.051,0.649
146.0,leo1,-1.291,0.588
147.0,leo1,-1.562,0.525
148.0,leo1,-1.815,0.464
149.0,leo1,-2.072,0.389
150.0,leo1,-2.290,0.345
151.0,leo1,-2.563,0.291
152.0,leo1,-2.774,0.210
153.0,leo1,-3.064,0.159
154.0,leo1,-3.290,0.106
155.0,leo1,-3.555,0.031
156.0,leo1,-3.792,-0.068
157.0,leo1,-4.040,-0.133
158.0,leo1,-4.131,-0.155
159.0,leo1,-4.091,-0.148
160.0,leo1,-4.050,-0.142
161.0,leo1,-4.010,-0.135
162.0,leo1,-3.979,-0.129
163.0,leo1,-3.936,-0.122
164.0,leo1,-3.894,-0.117
165.0,leo1,-3.855,-0.110
166.0,leo1,-3.815,-0.104
167.0,leo1,-3.776,-0.098
168.0,leo1,-3.772,-0.097
169.0,leo1,-3.772,-0.097
170.0,leo1,-3.886,-0.112
171.0,leo1,-4.159,-0.149
172.0,leo1,-4.395,-0.230
173.0,leo1,-4.649,-0.311
174.0,leo1,-4.882,-0.397
175.0,leo1,-5.147,-0.484
176.0,leo1,-5.385,-0.578
177.0,leo1,-5.616,-0.659
178.0,leo1,-5.847,-0.782
179.0,leo1,-6.059,-0.938
180.0,leo1,-6.219,-1.131
181.0,leo1,-6.346,-1.315
182.0,leo1,-6.358,-1.332
183.0,leo1,-6.355,-1.326
184.0,leo1,-6.351,-1.318
185.0,leo1,-6.348,-1.308
186.0,leo1,-6.345,-1.297
187.0,leo1,-6.343,-1.283
188.0,leo1,-6.311,-1.318
189.0,leo1,-6.310,-1.330
190.0,leo1,-6.308,-1.343
191.0,leo1,-6.306,-1.353
192.0,leo1,-6.308,-1.341
193.0,leo1,-6.310,-1.327
194.0,leo1,-6.311,-1.326
195.0,leo1,-6.312,-1.340
196.0,leo1,-6.314,-1.352
197.0,leo1,-6.316,-1.361
198.0,leo1,-6.319,-1.369
199.0,leo1,-6.321,-1.375
200.0,leo1,-6.362,-1.339
201.0,leo1,-6.364,-1.341
202.0,leo1,-6.365,-1.343
203.0,leo1,-6.365,-1.343
204.0,leo1,-6.365,-1.343
205.0,leo1,-6.365,-1.343
206.0,leo1,-6.364,-1.342
207.0,leo1,-6.362,-1.341
208.0,leo1,-6.356,-1.338
209.0,leo1,-6.349,-1.334
210.0,leo1,-6.340,-1.331
211.0,leo1,-6.328,-1.328
212.0,leo1,-6.315,-1.325
213.0,leo1,-6.338,-1.278
214.0,leo1,-6.353,-1.277
215.0,leo1,-6.368,-1.275
216.0,leo1,-6.380,-1.273
217.0,leo1,-6.389,-1.270
218.0,leo1,-6.395,-1.267
219.0,leo1,-6.370,-1.206
220.0,leo1,-6.372,-1.205
221.0,leo1,-6.374,-1.203
222.0,leo1,-6.365,-1.208
223.0,leo1,-6.328,-1.213
224.0,leo1,-6.331,-1.214
225.0,leo1,-6.347,-1.213
226.0,leo1,-6.361,-1.211
227.0,leo1,-6.372,-1.209
228.0,leo1,-6.382,-1.205
229.0,leo1,-6.387,-1.203
230.0,leo1,-6.392,-1.201
231.0,leo1,-6.394,-1.199
232.0,leo1,-6.396,-1.198
233.0,leo1,-6.396,-1.198
234.0,leo1,-6.397,-1.197
235.0,leo1,-6.397,-1.197
236.0,leo1,-6.396,-1.198
237.0,leo1,-6.395,-1.200
238.0,leo1,-6.392,-1.205
239.0,leo1,-6.388,-1.213
240.0,leo1,-6.385,-1.220
241.0,leo1,-6.381,-1.230
242.0,leo1,-6.378,-1.244
243.0,leo1,-6.303,-1.178
244.0,leo1,-6.303,-1.170
245.0,leo1,-6.301,-1.156
246.0,leo1,-6.299,-1.144
247.0,leo1,-6.296,-1.134
248.0,leo1,-6.254,-1.167
249.0,leo1,-6.195,-1.085
250.0,leo1,-6.048,-0.901
251.0,leo1,-5.817,-0.762
252.0,leo1,-5.547,-0.686
253.0,leo1,-5.321,-0.669
254.0,leo1,-5.056,-0.661
255.0,leo1,-4.809,-0.651
256.0,leo1,-4.548,-0.650
257.0,leo1,-4.284,-0.649
258.0,leo1,-4.020,-0.647
259.0,leo1,-3.771,-0.646
260.0,leo1,-3.520,-0.646
261.0,leo1,-3.280,-0.646
262.0,leo1,-3.017,-0.646
263.0,leo1,-2.763,-0.646
264.0,leo1,-2.506,-0.646
265.0,leo1,-2.255,-0.646
266.0,leo1,-2.004,-0.649
267.0,leo1,-1.735,-0.648
268.0,leo1,-1.447,-0.647
269.0,leo1,-1.214,-0.645
270.0,leo1,-0.963,-0.646
271.0,leo1,-0.690,-0.647
272.0,leo1,-0.445,-0.645
273.0,leo1,-0.181,-0.646
274.0,leo1,0.106,-0.642
275.0,leo1,0.305,-0.643
276.0,leo1,0.539,-0.643
277.0,leo1,0.795,-0.643
278.0,leo1,1.049,-0.637
279.0,leo1,1.298,-0.621
280.0,leo1,1.561,-0.607
281.0,leo1,1.812,-0.601
282.0,leo1,2.068,-0.597
283.0,leo1,2.336,-0.596
284.0,leo1,2.409,-0.596
285.0,leo1,2.369,-0.596
286.0,leo1,2.328,-0.596
287.0,leo1,2.307,-0.595
288.0,leo1,2.269,-0.594
