t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.12,-0.0000,0.0000,0.0000,,,,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0381,0.0000,0.0000,0.0381
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0388,0.0000,0.0000,0.0388
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0394,0.0000,0.0000,0.0394
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0397,0.0000,0.0000,0.0397
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0400
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0413,0.0000,0.0000,0.0413
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0421,0.0000,0.0000,0.0421
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0000,0.0000,0.0423
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0430,0.0000,0.0000,0.0430
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0442,0.0000,0.0000,0.0442
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.0000,0.0000,0.0444
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0451,0.0000,0.0000,0.0451
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0459,0.0000,0.0000,0.0459
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0464,0.0000,0.0000,0.0464
61.00,0.0047,-0.0000,-0.0000,0.0034,0.0002,0.0470,0.0034,0.0002,0.0470
61.50,0.0647,-0.0000,-0.0000,0.0646,0.0030,0.0475,0.0646,0.0030,0.0475
62.00,0.1247,-0.0000,-0.0000,0.1258,0.0060,0.0479,0.1257,0.0118,0.0025
62.50,0.1847,-0.0000,-0.0000,0.1890,0.0090,0.0484,0.1789,0.0128,-0.0032
63.00,0.2447,-0.0000,-0.0000,0.2530,0.0121,0.0488,0.2430,0.0127,-0.0036
63.50,0.3047,-0.0000,-0.0000,0.3141,0.0151,0.0491,0.3042,0.0130,-0.0068
64.00,0.3647,-0.0000,-0.0000,0.3725,0.0180,0.0494,0.3627,0.0126,-0.0065
64.50,0.4247,-0.0000,-0.0000,0.4362,0.0212,0.0505,0.4265,0.0014,0.0017
65.00,0.4847,-0.0000,-0.0000,0.5000,0.0244,0.0508,0.4903,0.0120,-0.0015
65.50,0.5447,-0.0000,-0.0000,0.5593,0.0275,0.0515,0.5397,0.0125,-0.0043
66.00,0.6047,-0.0000,-0.0000,0.6211,0.0307,0.0525,0.6016,0.0122,-0.0034
66.50,0.6647,-0.0000,-0.0000,0.6811,0.0338,0.0526,0.6616,0.0116,0.0002
67.00,0.7247,-0.0000,-0.0000,0.7414,0.0370,0.0530,0.7220,0.0122,-0.0028
67.50,0.7847,-0.0000,-0.0000,0.8032,0.0403,0.0532,0.7839,0.0120,-0.0026
68.00,0.8447,-0.0000,-0.0000,0.8641,0.0436,0.0540,0.8449,0.0123,-0.0053
68.50,0.9047,-0.0000,-0.0000,0.9245,0.0469,0.0544,0.9054,0.0040,-0.0049
69.00,0.9647,-0.0000,-0.0000,0.9883,0.0504,0.0551,0.9693,0.0017,-0.0042
69.50,1.0247,-0.0000,-0.0000,1.0517,0.0539,0.0552,1.0328,0.0115,-0.0041
70.00,1.0847,-0.0000,-0.0000,1.1103,0.0571,0.0559,1.0815,0.0112,-0.0035
70.50,1.1447,-0.0000,-0.0000,1.1724,0.0606,0.0561,1.1517,0.0115,-0.0061
71.00,1.2047,-0.0000,-0.0000,1.2345,0.0641,0.0565,1.2059,0.0107,-0.0028
71.50,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0571,1.2276,0.0112,-0.0057
72.00,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0581,1.2276,0.0112,-0.0048
72.50,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0588,1.2276,0.0112,-0.0040
73.00,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0597,1.2276,0.0112,-0.0031
73.50,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0603,1.2276,0.0112,-0.0025
74.00,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0609,1.2276,0.0112,-0.0019
74.50,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0608,1.2276,0.0112,-0.0020
75.00,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0611,1.2276,0.0112,-0.0017
75.50,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0617,1.2276,0.0112,-0.0011
76.00,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0622,1.2276,0.0112,-0.0006
76.50,1.2257,-0.0000,-0.0000,1.2562,0.0653,0.0626,1.2276,0.0112,-0.0002
