x,y
0.0000,0.0000
1.0815,0.0112
1.2323,0.0114
1.2562,0.0695
1.1616,0.2148
1.1593,-0.0469
1.2737,-0.2134
1.4069,1.0592
2.6465,2.5487
2.7952,2.5066
2.7855,2.5260
2.7100,2.4544
2.6660,2.4938
2.7054,2.5090
0.5936,1.4968
-1.4172,-0.1693
-1.5473,-0.2430
-0.7804,-1.0822
0.9987,-2.9903
1.4983,-3.5055
3.8990,-3.7777
4.9629,-3.9810
4.9463,-3.9440
4.9292,-3.9903
4.9745,-3.9716
3.2768,-3.7769
1.4255,-2.9347
1.2216,-0.3433
0.4365,2.1384
-1.0347,4.2988
-2.1135,5.4216
-3.2803,5.9001
-3.2679,5.9265
-3.1537,5.8839
-3.1533,5.8787
-3.1524,5.8804
-3.2067,5.8528
-3.8400,5.3027
-3.8708,3.7210
-3.8430,3.7550
-3.8300,3.8740
-3.8813,4.8355
-3.2648,5.8813
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
-3.2374,5.7980
