t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.003,0.000
62.0,leo1,0.126,0.012
63.0,leo1,0.243,0.013
64.0,leo1,0.363,0.013
65.0,leo1,0.490,0.012
66.0,leo1,0.602,0.012
67.0,leo1,0.722,0.012
68.0,leo1,0.845,0.012
69.0,leo1,0.969,0.002
70.0,leo1,1.081,0.011
71.0,leo1,1.206,0.011
72.0,leo1,1.228,0.011
73.0,leo1,1.228,0.011
74.0,leo1,1.228,0.011
75.0,leo1,1.228,0.011
76.0,leo1,1.228,0.011
77.0,leo1,1.228,0.011
78.0,leo1,1.228,0.011
79.0,leo1,1.228,0.011
80.0,leo1,1.232,0.011
81.0,leo1,1.245,0.013
82.0,leo1,1.256,0.015
83.0,leo1,1.236,0.060
84.0,leo1,1.244,0.063
85.0,leo1,1.250,0.066
86.0,leo1,1.254,0.068
87.0,leo1,1.256,0.069
88.0,leo1,1.257,0.070
89.0,leo1,1.256,0.070
90.0,leo1,1.256,0.070
91.0,leo1,1.256,0.069
92.0,leo1,1.254,0.067
93.0,leo1,1.252,0.063
94.0,leo1,1.249,0.057
95.0,leo1,1.246,0.049
96.0,leo1,1.243,0.039
97.0,leo1,1.240,0.029
98.0,leo1,1.239,0.016
99.0,leo1,1.174,0.070
100.0,leo1,1.162,0.215
101.0,leo1,1.162,0.191
102.0,leo1,1.164,0.149
103.0,leo1,1.165,0.109
104.0,leo1,1.167,0.069
105.0,leo1,1.168,0.030
106.0,leo1,1.158,-0.009
107.0,leo1,1.159,-0.047
108.0,leo1,1.159,-0.047
109.0,leo1,1.159,-0.047
110.0,leo1,1.159,-0.047
111.0,leo1,1.154,-0.025
112.0,leo1,1.146,-0.013
113.0,leo1,1.148,-0.015
114.0,leo1,1.175,-0.046
115.0,leo1,1.178,-0.097
116.0,leo1,1.203,-0.127
117.0,leo1,1.230,-0.172
118.0,leo1,1.255,-0.202
119.0,leo1,1.281,-0.234
120.0,leo1,1.274,-0.213
121.0,leo1,1.220,-0.093
122.0,leo1,1.209,-0.093
123.0,leo1,1.209,-0.104
124.0,leo1,1.210,-0.089
125.0,leo1,1.231,-0.011
126.0,leo1,1.343,0.189
127.0,leo1,1.365,0.409
128.0,leo1,1.346,0.567
129.0,leo1,1.369,0.812
130.0,leo1,1.407,1.059
131.0,leo1,1.434,1.314
132.0,leo1,1.423,1.577
133.0,leo1,1.426,1.838
134.0,leo1,1.459,2.094
135.0,leo1,1.559,2.325
136.0,leo1,1.662,2.433
137.0,leo1,1.890,2.512
138.0,leo1,2.151,2.525
139.0,leo1,2.403,2.527
140.0,leo1,2.646,2.549
141.0,leo1,2.784,2.553
142.0,leo1,2.797,2.551
143.0,leo1,2.808,2.549
144.0,leo1,2.815,2.546
145.0,leo1,2.821,2.544
146.0,leo1,2.827,2.541
147.0,leo1,2.790,2.510
148.0,leo1,2.793,2.508
149.0,leo1,2.794,2.507
150.0,leo1,2.795,2.507
151.0,leo1,2.795,2.506
152.0,leo1,2.796,2.506
153.0,leo1,2.796,2.506
154.0,leo1,2.796,2.506
155.0,leo1,2.795,2.507
156.0,leo1,2.794,2.508
157.0,leo1,2.792,2.511
158.0,leo1,2.790,2.515
159.0,leo1,2.788,2.520
160.0,leo1,2.785,2.526
161.0,leo1,2.783,2.533
162.0,leo1,2.781,2.541
163.0,leo1,2.779,2.554
164.0,leo1,2.722,2.509
165.0,leo1,2.722,2.500
166.0,leo1,2.720,2.486
167.0,leo1,2.718,2.477
168.0,leo1,2.715,2.467
169.0,leo1,2.712,2.460
170.0,leo1,2.710,2.454
171.0,leo1,2.669,2.500
172.0,leo1,2.668,2.497
173.0,leo1,2.666,2.494
174.0,leo1,2.665,2.494
175.0,leo1,2.665,2.493
176.0,leo1,2.665,2.493
177.0,leo1,2.664,2.493
178.0,leo1,2.664,2.492
179.0,leo1,2.664,2.493
180.0,leo1,2.666,2.494
181.0,leo1,2.669,2.495
182.0,leo1,2.671,2.497
183.0,leo1,2.671,2.497
184.0,leo1,2.671,2.497
185.0,leo1,2.672,2.497
186.0,leo1,2.676,2.499
187.0,leo1,2.683,2.503
188.0,leo1,2.689,2.505
189.0,leo1,2.699,2.508
190.0,leo1,2.705,2.509
191.0,leo1,2.465,2.594
192.0,leo1,2.268,2.616
193.0,leo1,2.021,2.596
194.0,leo1,1.781,2.501
195.0,leo1,1.571,2.368
196.0,leo1,1.376,2.190
197.0,leo1,1.180,2.018
198.0,leo1,0.989,1.833
199.0,leo1,0.792,1.672
200.0,leo1,0.594,1.497
201.0,leo1,0.400,1.331
202.0,leo1,0.204,1.160
203.0,leo1,0.000,0.986
204.0,leo1,-0.203,0.818
205.0,leo1,-0.399,0.653
206.0,leo1,-0.601,0.490
207.0,leo1,-0.805,0.325
208.0,leo1,-1.016,0.165
209.0,leo1,-1.219,-0.011
210.0,leo1,-1.417,-0.169
211.0,leo1,-1.563,-0.287
212.0,leo1,-1.564,-0.290
213.0,leo1,-1.564,-0.290
214.0,leo1,-1.564,-0.289
215.0,leo1,-1.562,-0.287
216.0,leo1,-1.559,-0.283
217.0,leo1,-1.557,-0.277
218.0,leo1,-1.553,-0.267
219.0,leo1,-1.550,-0.258
220.0,leo1,-1.547,-0.243
221.0,leo1,-1.546,-0.229
222.0,leo1,-1.500,-0.296
223.0,leo1,-1.499,-0.312
224.0,leo1,-1.496,-0.324
225.0,leo1,-1.493,-0.334
226.0,leo1,-1.434,-0.331
227.0,leo1,-1.307,-0.498
228.0,leo1,-1.120,-0.688
229.0,leo1,-0.953,-0.887
230.0,leo1,-0.780,-1.082
231.0,leo1,-0.610,-1.283
232.0,leo1,-0.433,-1.476
233.0,leo1,-0.270,-1.672
234.0,leo1,-0.097,-1.856
235.0,leo1,0.079,-2.061
236.0,leo1,0.259,-2.244
237.0,leo1,0.442,-2.432
238.0,leo1,0.624,-2.624
239.0,leo1,0.806,-2.802
240.0,leo1,0.999,-2.990
241.0,leo1,1.113,-3.099
242.0,leo1,1.114,-3.102
243.0,leo1,1.113,-3.101
244.0,leo1,1.111,-3.098
245.0,leo1,1.109,-3.094
246.0,leo1,1.109,-3.094
247.0,leo1,1.111,-3.097
248.0,leo1,1.148,-3.144
249.0,leo1,1.325,-3.315
250.0,leo1,1.498,-3.506
251.0,leo1,1.675,-3.692
252.0,leo1,1.863,-3.779
253.0,leo1,2.114,-3.799
254.0,leo1,2.360,-3.750
255.0,leo1,2.614,-3.754
256.0,leo1,2.874,-3.771
257.0,leo1,3.134,-3.777
258.0,leo1,3.388,-3.780
259.0,leo1,3.654,-3.777
260.0,leo1,3.899,-3.778
261.0,leo1,3.968,-3.782
262.0,leo1,4.150,-3.771
263.0,leo1,4.411,-3.786
264.0,leo1,4.667,-3.831
265.0,leo1,4.901,-3.921
266.0,leo1,4.966,-3.985
267.0,leo1,4.966,-3.985
268.0,leo1,4.966,-3.985
269.0,leo1,4.965,-3.984
270.0,leo1,4.963,-3.981
271.0,leo1,4.961,-3.977
272.0,leo1,4.958,-3.972
273.0,leo1,4.956,-3.967
274.0,leo1,4.954,-3.960
275.0,leo1,4.952,-3.953
276.0,leo1,4.950,-3.943
277.0,leo1,4.948,-3.932
278.0,leo1,4.948,-3.921
279.0,leo1,4.947,-3.933
280.0,leo1,4.946,-3.944
281.0,leo1,4.945,-3.954
282.0,leo1,4.942,-3.964
283.0,leo1,4.939,-3.972
284.0,leo1,4.936,-3.980
285.0,leo1,4.933,-3.985
286.0,leo1,4.931,-3.988
287.0,leo1,4.930,-3.989
288.0,leo1,4.930,-3.990
289.0,leo1,4.929,-3.990
290.0,leo1,4.929,-3.990
291.0,leo1,4.929,-3.990
292.0,leo1,4.930,-3.990
293.0,leo1,4.931,-3.989
294.0,leo1,4.934,-3.987
295.0,leo1,4.938,-3.985
296.0,leo1,4.943,-3.982
297.0,leo1,4.949,-3.979
