t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0375,,,
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0383,0.0000,0.0000,0.0383
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0390,0.0000,0.0000,0.0390
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0397,0.0000,0.0000,0.0397
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0399,0.0000,0.0000,0.0399
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0401,0.0000,0.0000,0.0401
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0415,0.0000,0.0000,0.0415
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0422,0.0000,0.0000,0.0422
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0424,0.0000,0.0000,0.0424
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0434,0.0000,0.0000,0.0434
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0445,0.0000,0.0000,0.0445
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0445,0.0000,0.0000,0.0445
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0454,0.0000,0.0000,0.0454
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0462,0.0000,0.0000,0.0462
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0466,0.0000,0.0000,0.0466
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0471,0.0000,0.0000,0.0471
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0480,0.0000,0.0000,0.0480
62.00,0.0169,-0.0000,-0.0000,0.0109,0.0005,0.0482,0.0109,0.0005,0.0482
62.50,0.0769,-0.0000,-0.0000,0.0737,0.0036,0.0486,0.0737,0.0036,0.0486
63.00,0.1369,-0.0000,-0.0000,0.1374,0.0067,0.0490,0.0708,0.0015,0.0071
63.50,0.1969,-0.0000,-0.0000,0.2031,0.0099,0.0491,0.0631,0.0020,0.0072
64.00,0.2569,-0.0000,-0.0000,0.2682,0.0131,0.0497,0.0882,0.0025,0.0078
64.50,0.3169,-0.0000,-0.0000,0.3316,0.0163,0.0507,0.1117,0.0030,0.0089
65.00,0.3769,-0.0000,-0.0000,0.3917,0.0194,0.0511,0.1053,0.0036,0.0092
65.50,0.4369,-0.0000,-0.0000,0.4570,0.0227,0.0518,0.1473,0.0042,0.0100
66.00,0.4969,-0.0000,-0.0000,0.5230,0.0262,0.0526,0.1233,0.0049,0.0107
66.50,0.5569,-0.0000,-0.0000,0.5835,0.0294,0.0529,0.1439,0.0055,0.0110
67.00,0.6169,-0.0000,-0.0000,0.6471,0.0328,0.0531,0.1970,0.0066,0.0094
67.50,0.6769,-0.0000,-0.0000,0.7102,0.0361,0.0536,0.2508,0.0073,0.0082
68.00,0.7369,-0.0000,-0.0000,0.7700,0.0394,0.0544,0.2706,0.0078,0.0090
68.50,0.7969,-0.0000,-0.0000,0.8345,0.0429,0.0546,0.3353,0.0084,0.0093
69.00,0.8569,-0.0000,-0.0000,0.8961,0.0463,0.0552,0.3769,0.0094,0.0063
69.50,0.9169,-0.0000,-0.0000,0.9608,0.0499,0.0553,0.4218,0.0099,0.0065
70.00,0.9769,-0.0000,-0.0000,1.0257,0.0535,0.0560,0.4568,0.0003,0.0071
70.50,1.0369,-0.0000,-0.0000,1.0881,0.0570,0.0563,0.4992,0.0008,0.0074
71.00,1.0969,-0.0000,-0.0000,1.1500,0.0605,0.0569,0.5412,0.0012,0.0080
71.50,1.1569,-0.0000,-0.0000,1.2103,0.0639,0.0574,0.6017,0.0123,0.0050
72.00,1.2169,-0.0000,-0.0000,1.2768,0.0678,0.0585,0.6482,0.0126,0.0061
72.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0591,0.6536,0.0027,0.0067
73.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0600,0.6536,0.0027,0.0076
73.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0607,0.6536,0.0027,0.0083
74.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0612,0.6536,0.0027,0.0088
74.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0612,0.6536,0.0027,0.0088
75.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0615,0.6536,0.0027,0.0091
75.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0620,0.6536,0.0027,0.0096
76.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0623,0.6536,0.0027,0.0100
76.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0630,0.6536,0.0027,0.0106
77.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0635,0.6536,0.0027,0.0111
77.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0641,0.6536,0.0027,0.0118
78.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0645,0.6536,0.0027,0.0121
78.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0650,0.6536,0.0027,0.0127
79.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0654,0.6536,0.0027,0.0131
79.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0660,0.6536,0.0027,0.0136
80.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0665,0.6536,0.0027,0.0142
80.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0676,0.6536,0.0027,0.0152
81.00,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0678,0.6536,0.0027,0.0154
81.50,1.2253,-0.0000,-0.0000,1.2921,0.0687,0.0683,0.6536,0.0027,0.0160
82.00,1.2165,-0.0000,-0.0000,1.2837,0.0681,0.0686,0.6452,0.0026,0.0163
82.50,1.1965,-0.0000,-0.0000,1.2622,0.0666,0.0691,0.6236,0.0022,0.0168
83.00,1.1765,-0.0000,-0.0000,1.2390,0.0650,0.0695,0.6004,0.0019,0.0171
