x,y
0.0000,0.0000
0.4568,0.0003
0.6536,0.0027
0.4161,0.0025
0.2577,-0.1123
0.2189,-0.1330
-0.2377,1.6249
-0.1243,1.9825
-0.1497,1.9739
-0.0943,1.8268
-0.1064,1.8586
0.5666,0.5941
0.9423,0.5558
0.8281,0.5398
0.7591,0.5182
0.6442,0.5592
-1.9414,0.4619
-4.4364,-0.1845
-6.3050,-1.6005
-6.3616,-2.0382
-6.3278,-2.0251
-6.3891,-1.8981
-6.3808,-1.8959
-4.9185,-0.6376
-2.3436,-0.6323
0.2530,-0.6320
2.6869,-0.6320
5.0650,-0.7632
5.2387,-1.0554
5.2462,-1.0779
5.3385,-0.8407
5.4664,-0.6863
5.4524,-0.6521
5.3182,-0.7198
4.8002,-1.5181
4.5561,-1.6908
4.6318,-1.7300
5.4780,-2.5407
5.4632,-2.5166
5.4801,-2.5111
5.4656,-0.7548
6.8420,1.0379
6.2147,1.8323
5.8539,1.7939
5.8706,1.7570
5.9424,1.7099
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
5.9471,1.7290
