t,robot,x,y
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.011,0.001
63.0,leo1,0.071,0.002
64.0,leo1,0.088,0.002
65.0,leo1,0.105,0.004
66.0,leo1,0.123,0.005
67.0,leo1,0.197,0.007
68.0,leo1,0.271,0.008
69.0,leo1,0.377,0.009
70.0,leo1,0.457,0.000
71.0,leo1,0.541,0.001
72.0,leo1,0.648,0.013
73.0,leo1,0.654,0.003
74.0,leo1,0.654,0.003
75.0,leo1,0.654,0.003
76.0,leo1,0.654,0.003
77.0,leo1,0.654,0.003
78.0,leo1,0.654,0.003
79.0,leo1,0.654,0.003
80.0,leo1,0.654,0.003
81.0,leo1,0.654,0.003
82.0,leo1,0.645,0.003
83.0,leo1,0.600,0.002
84.0,leo1,0.554,0.001
85.0,leo1,0.573,0.003
86.0,leo1,0.530,0.002
87.0,leo1,0.448,0.003
88.0,leo1,0.416,0.003
89.0,leo1,0.416,0.003
90.0,leo1,0.416,0.003
91.0,leo1,0.416,0.003
92.0,leo1,0.440,0.009
93.0,leo1,0.453,0.017
94.0,leo1,0.447,0.012
95.0,leo1,0.415,-0.014
96.0,leo1,0.393,-0.022
97.0,leo1,0.368,-0.034
98.0,leo1,0.334,-0.061
99.0,leo1,0.291,-0.086
100.0,leo1,0.258,-0.112
101.0,leo1,0.237,-0.103
102.0,leo1,0.237,-0.103
103.0,leo1,0.236,-0.104
104.0,leo1,0.236,-0.104
105.0,leo1,0.234,-0.106
106.0,leo1,0.232,-0.111
107.0,leo1,0.229,-0.116
108.0,leo1,0.226,-0.124
109.0,leo1,0.223,-0.135
110.0,leo1,0.219,-0.133
111.0,leo1,0.216,-0.135
112.0,leo1,0.216,-0.141
113.0,leo1,0.191,-0.021
114.0,leo1,0.044,0.257
115.0,leo1,-0.022,0.499
116.0,leo1,-0.127,0.709
117.0,leo1,-0.238,0.904
118.0,leo1,-0.314,1.132
119.0,leo1,-0.322,1.367
120.0,leo1,-0.238,1.625
121.0,leo1,-0.177,1.871
122.0,leo1,-0.156,1.957
123.0,leo1,-0.156,1.955
124.0,leo1,-0.156,1.955
125.0,leo1,-0.156,1.955
126.0,leo1,-0.155,1.961
127.0,leo1,-0.134,1.962
128.0,leo1,-0.130,1.971
129.0,leo1,-0.127,1.978
130.0,leo1,-0.124,1.982
131.0,leo1,-0.122,1.986
132.0,leo1,-0.122,1.987
133.0,leo1,-0.121,1.987
134.0,leo1,-0.120,1.988
135.0,leo1,-0.121,1.987
136.0,leo1,-0.122,1.986
137.0,leo1,-0.126,1.984
138.0,leo1,-0.131,1.981
139.0,leo1,-0.139,1.978
140.0,leo1,-0.150,1.974
141.0,leo1,-0.163,1.970
142.0,leo1,-0.176,1.968
143.0,leo1,-0.125,1.892
144.0,leo1,-0.110,1.891
145.0,leo1,-0.098,1.889
146.0,leo1,-0.090,1.887
147.0,leo1,-0.080,1.884
148.0,leo1,-0.102,1.831
149.0,leo1,-0.097,1.829
150.0,leo1,-0.094,1.827
151.0,leo1,-0.092,1.825
152.0,leo1,-0.092,1.825
153.0,leo1,-0.091,1.825
154.0,leo1,-0.091,1.824
155.0,leo1,-0.092,1.825
156.0,leo1,-0.094,1.828
157.0,leo1,-0.096,1.832
158.0,leo1,-0.100,1.839
159.0,leo1,-0.103,1.847
160.0,leo1,-0.106,1.859
161.0,leo1,-0.109,1.872
162.0,leo1,-0.186,1.820
163.0,leo1,-0.169,1.640
164.0,leo1,-0.218,1.389
165.0,leo1,-0.255,1.139
166.0,leo1,-0.253,0.943
167.0,leo1,-0.156,0.783
168.0,leo1,0.066,0.686
169.0,leo1,0.326,0.618
170.0,leo1,0.567,0.594
171.0,leo1,0.813,0.588
172.0,leo1,0.900,0.582
173.0,leo1,0.910,0.570
174.0,leo1,0.922,0.566
175.0,leo1,0.930,0.563
176.0,leo1,0.935,0.560
177.0,leo1,0.939,0.558
178.0,leo1,0.941,0.557
179.0,leo1,0.942,0.556
180.0,leo1,0.942,0.556
181.0,leo1,0.942,0.556
182.0,leo1,0.942,0.556
183.0,leo1,0.940,0.559
184.0,leo1,0.939,0.561
185.0,leo1,0.936,0.566
186.0,leo1,0.932,0.576
187.0,leo1,0.928,0.585
188.0,leo1,0.926,0.597
189.0,leo1,0.923,0.615
190.0,leo1,0.828,0.540
191.0,leo1,0.827,0.524
192.0,leo1,0.825,0.513
193.0,leo1,0.825,0.513
194.0,leo1,0.825,0.513
195.0,leo1,0.822,0.502
196.0,leo1,0.820,0.495
197.0,leo1,0.789,0.509
198.0,leo1,0.762,0.523
199.0,leo1,0.760,0.519
200.0,leo1,0.759,0.518
201.0,leo1,0.759,0.518
202.0,leo1,0.758,0.517
203.0,leo1,0.759,0.517
204.0,leo1,0.760,0.518
205.0,leo1,0.762,0.520
206.0,leo1,0.766,0.522
207.0,leo1,0.773,0.525
208.0,leo1,0.782,0.529
209.0,leo1,0.791,0.531
210.0,leo1,0.644,0.559
211.0,leo1,0.372,0.593
212.0,leo1,0.151,0.560
213.0,leo1,-0.117,0.554
214.0,leo1,-0.370,0.540
215.0,leo1,-0.616,0.527
216.0,leo1,-0.877,0.522
217.0,leo1,-1.146,0.521
218.0,leo1,-1.401,0.517
219.0,leo1,-1.651,0.488
220.0,leo1,-1.941,0.462
221.0,leo1,-2.173,0.401
222.0,leo1,-2.439,0.361
223.0,leo1,-2.683,0.288
224.0,leo1,-2.939,0.233
225.0,leo1,-3.182,0.166
226.0,leo1,-3.442,0.092
227.0,leo1,-3.686,0.030
228.0,leo1,-3.940,-0.050
229.0,leo1,-4.183,-0.120
230.0,leo1,-4.436,-0.184
231.0,leo1,-4.691,-0.249
232.0,leo1,-4.934,-0.334
233.0,leo1,-5.200,-0.412
234.0,leo1,-5.444,-0.505
235.0,leo1,-5.694,-0.601
236.0,leo1,-5.932,-0.709
237.0,leo1,-6.115,-0.855
238.0,leo1,-6.249,-1.084
239.0,leo1,-6.302,-1.349
240.0,leo1,-6.305,-1.601
241.0,leo1,-6.300,-1.862
242.0,leo1,-6.307,-2.027
243.0,leo1,-6.307,-2.034
244.0,leo1,-6.308,-2.050
245.0,leo1,-6.310,-2.063
246.0,leo1,-6.313,-2.074
247.0,leo1,-6.316,-2.082
248.0,leo1,-6.356,-2.029
249.0,leo1,-6.360,-2.035
250.0,leo1,-6.362,-2.038
251.0,leo1,-6.363,-2.039
252.0,leo1,-6.363,-2.040
253.0,leo1,-6.364,-2.041
254.0,leo1,-6.364,-2.041
255.0,leo1,-6.363,-2.040
256.0,leo1,-6.359,-2.038
257.0,leo1,-6.354,-2.035
258.0,leo1,-6.348,-2.032
259.0,leo1,-6.339,-2.028
260.0,leo1,-6.328,-2.025
261.0,leo1,-6.314,-2.022
262.0,leo1,-6.368,-1.965
263.0,leo1,-6.376,-1.964
264.0,leo1,-6.389,-1.962
265.0,leo1,-6.401,-1.960
266.0,leo1,-6.411,-1.956
267.0,leo1,-6.419,-1.953
268.0,leo1,-6.384,-1.901
269.0,leo1,-6.388,-1.899
270.0,leo1,-6.389,-1.898
271.0,leo1,-6.390,-1.898
272.0,leo1,-6.390,-1.897
273.0,leo1,-6.391,-1.897
274.0,leo1,-6.390,-1.898
275.0,leo1,-6.388,-1.900
276.0,leo1,-6.386,-1.903
277.0,leo1,-6.383,-1.910
278.0,leo1,-6.380,-1.918
279.0,leo1,-6.377,-1.928
280.0,leo1,-6.381,-1.896
281.0,leo1,-6.310,-1.609
282.0,leo1,-6.334,-1.369
283.0,leo1,-6.306,-1.138
284.0,leo1,-6.182,-0.931
285.0,leo1,-5.964,-0.761
286.0,leo1,-5.728,-0.669
287.0,leo1,-5.504,-0.649
288.0,leo1,-5.346,-0.680
289.0,leo1,-5.118,-0.656
290.0,leo1,-4.919,-0.638
291.0,leo1,-4.661,-0.631
292.0,leo1,-4.408,-0.632
293.0,leo1,-4.155,-0.632
294.0,leo1,-3.895,-0.633
295.0,leo1,-3.651,-0.629
296.0,leo1,-3.382,-0.631
297.0,leo1,-3.105,-0.632
298.0,leo1,-2.856,-0.632
299.0,leo1,-2.599,-0.632
300.0,leo1,-2.344,-0.632
301.0,leo1,-2.084,-0.632
302.0,leo1,-1.842,-0.636
303.0,leo1,-1.562,-0.634
304.0,leo1,-1.284,-0.635
305.0,leo1,-1.030,-0.632
306.0,leo1,-0.774,-0.632
307.0,leo1,-0.512,-0.634
308.0,leo1,-0.285,-0.634
309.0,leo1,0.001,-0.631
310.0,leo1,0.253,-0.632
311.0,leo1,0.513,-0.631
312.0,leo1,0.771,-0.631
313.0,leo1,1.019,-0.631
314.0,leo1,1.302,-0.633
315.0,leo1,1.540,-0.633
