t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
47.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,,,
47.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
48.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
48.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
49.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
49.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
50.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
50.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
51.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
51.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
52.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
52.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
53.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
53.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
54.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
54.50,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
55.00,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
55.50,0.0174,-0.0000,-0.0000,0.0176,0.0000,0.0001,0.0176,0.0000,0.0001
56.00,0.0774,-0.0000,-0.0000,0.0785,0.0000,0.0002,0.0785,0.0000,0.0002
56.50,0.1374,-0.0000,-0.0000,0.1412,0.0000,0.0002,0.0482,0.0000,0.0002
57.00,0.1974,-0.0000,-0.0000,0.2044,0.0000,0.0003,0.1044,0.0000,0.0003
57.50,0.2574,-0.0000,-0.0000,0.2672,0.0001,0.0005,0.0772,0.0001,0.0005
58.00,0.3174,-0.0000,-0.0000,0.3297,0.0001,0.0006,0.0897,0.0001,0.0006
58.50,0.3774,-0.0000,-0.0000,0.3875,0.0001,0.0005,0.0701,0.0001,0.0005
59.00,0.4374,-0.0000,-0.0000,0.4528,0.0002,0.0006,0.1228,0.0002,0.0006
59.50,0.4974,-0.0000,-0.0000,0.5155,0.0002,0.0004,0.0955,0.0002,0.0004
60.00,0.5574,-0.0000,-0.0000,0.5738,0.0002,0.0004,0.1038,0.0002,0.0004
60.50,0.6174,-0.0000,-0.0000,0.6349,0.0003,0.0005,0.0961,0.0003,0.0005
61.00,0.6774,-0.0000,-0.0000,0.6979,0.0003,0.0004,0.1479,0.0003,0.0004
61.50,0.7374,-0.0000,-0.0000,0.7560,0.0003,0.0002,0.1260,0.0003,0.0002
62.00,0.7974,-0.0000,-0.0000,0.8180,0.0003,0.0001,0.1880,0.0003,0.0001
62.50,0.8574,-0.0000,-0.0000,0.8784,0.0003,0.0001,0.2084,0.0007,-0.0034
63.00,0.9174,-0.0000,-0.0000,0.9402,0.0003,0.0000,0.2402,0.0005,-0.0035
63.50,0.9774,-0.0000,-0.0000,1.0052,0.0003,-0.0000,0.3052,0.0003,-0.0035
64.00,1.0374,-0.0000,-0.0000,1.0656,0.0003,-0.0001,0.3456,0.0001,-0.0036
64.50,1.0974,-0.0000,-0.0000,1.1250,0.0003,-0.0000,0.3850,-0.0001,-0.0035
65.00,1.1574,-0.0000,-0.0000,1.1877,0.0003,0.0001,0.4377,-0.0004,-0.0034
65.50,1.2157,-0.0000,-0.0000,1.2475,0.0003,0.0002,0.4775,-0.0006,-0.0033
66.00,1.2157,-0.0000,-0.0000,1.2475,0.0003,0.0002,0.4575,-0.0006,-0.0033
66.50,1.2157,-0.0000,-0.0000,1.2475,0.0003,0.0002,0.4575,-0.0006,-0.0033
67.00,1.2157,-0.0000,-0.0000,1.2475,0.0003,0.0002,0.4575,-0.0006,-0.0033
67.50,1.2157,-0.0000,-0.0000,1.2475,0.0003,0.0002,0.4575,-0.0006,-0.0033
