x,y
-0.0000,0.0000
0.1038,0.0002
0.4575,-0.0006
0.5246,0.0489
0.3140,-0.0517
0.2515,-0.0639
-0.3762,0.8407
-0.0772,2.0269
-0.1788,2.0362
-0.1878,2.0456
-0.2468,1.9576
-0.2501,1.6818
-0.2074,0.7254
2.2414,0.1628
4.7199,-0.6647
5.4955,-1.6766
5.5068,-1.6213
5.5005,-1.5339
5.9698,-0.4285
5.9088,-0.4405
5.9699,-0.4685
5.9119,-0.5570
5.7489,-1.9377
6.3402,-3.0569
6.3473,-2.9864
6.3339,-2.9667
5.4996,-1.1308
5.5146,-1.1174
5.5529,-1.1942
5.5342,-1.2553
5.4998,-1.2433
5.5320,-1.1349
6.3536,0.0657
7.0644,0.9223
6.6819,1.9635
6.7095,1.9827
8.4418,3.3075
8.7625,4.4218
8.7355,4.4158
8.7940,4.2562
8.7885,4.2604
8.6028,4.3275
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
8.5451,4.3322
