t,robot,x,y
49.0,leo1,-0.000,0.000
50.0,leo1,-0.000,0.000
51.0,leo1,-0.000,0.000
52.0,leo1,-0.000,0.000
53.0,leo1,-0.000,0.000
54.0,leo1,-0.000,0.000
55.0,leo1,-0.000,0.000
56.0,leo1,0.079,0.000
57.0,leo1,0.104,0.000
58.0,leo1,0.090,0.000
59.0,leo1,0.123,0.000
60.0,leo1,0.104,0.000
61.0,leo1,0.148,0.000
62.0,leo1,0.188,0.000
63.0,leo1,0.240,0.001
64.0,leo1,0.346,0.000
65.0,leo1,0.438,-0.000
66.0,leo1,0.458,-0.001
67.0,leo1,0.458,-0.001
68.0,leo1,0.458,-0.001
69.0,leo1,0.458,-0.001
70.0,leo1,0.458,-0.001
71.0,leo1,0.458,-0.001
72.0,leo1,0.458,-0.001
73.0,leo1,0.458,-0.001
74.0,leo1,0.458,-0.001
75.0,leo1,0.471,0.001
76.0,leo1,0.482,0.003
77.0,leo1,0.493,0.006
78.0,leo1,0.519,0.046
79.0,leo1,0.525,0.049
80.0,leo1,0.525,0.049
81.0,leo1,0.488,0.030
82.0,leo1,0.451,0.021
83.0,leo1,0.416,0.003
84.0,leo1,0.379,-0.016
85.0,leo1,0.354,-0.034
86.0,leo1,0.318,-0.052
87.0,leo1,0.309,-0.055
88.0,leo1,0.312,-0.053
89.0,leo1,0.314,-0.052
90.0,leo1,0.314,-0.052
91.0,leo1,0.314,-0.052
92.0,leo1,0.313,-0.053
93.0,leo1,0.313,-0.053
94.0,leo1,0.311,-0.056
95.0,leo1,0.309,-0.061
96.0,leo1,0.307,-0.067
97.0,leo1,0.305,-0.075
98.0,leo1,0.303,-0.086
99.0,leo1,0.302,-0.101
100.0,leo1,0.251,-0.064
101.0,leo1,0.251,-0.063
102.0,leo1,0.249,-0.049
103.0,leo1,0.245,-0.033
104.0,leo1,0.077,0.112
105.0,leo1,-0.009,0.345
106.0,leo1,-0.115,0.578
107.0,leo1,-0.276,0.754
108.0,leo1,-0.374,0.839
109.0,leo1,-0.375,0.840
110.0,leo1,-0.376,0.841
111.0,leo1,-0.376,0.841
112.0,leo1,-0.375,0.839
113.0,leo1,-0.374,0.837
114.0,leo1,-0.372,0.834
115.0,leo1,-0.370,0.979
116.0,leo1,-0.450,1.201
117.0,leo1,-0.445,1.433
118.0,leo1,-0.342,1.657
