x,y
0.0000,0.0000
0.5526,0.0048
0.7858,0.0049
0.5362,-0.0428
0.4129,-0.2873
-0.1842,1.2037
-0.1838,1.4997
-0.2709,1.5405
-0.3057,1.4711
-0.7565,0.7768
-1.9061,0.5229
-2.2237,0.4028
-2.1413,0.3776
-1.4169,0.4170
1.1574,0.3824
3.6765,-0.1964
5.3594,-1.6574
5.4331,-2.0270
5.4076,-1.9682
5.4415,-1.8889
5.9377,-0.8561
5.8810,-0.8442
5.8258,-0.8445
4.6686,-0.6443
2.1213,-0.6133
-0.4825,-0.6096
-2.8870,-0.3046
-4.6434,-0.2864
-6.1142,-0.8841
-5.7624,-1.9993
-5.7700,-1.9824
-5.8682,-3.1935
-6.0825,-3.2004
-7.5685,-3.6908
-7.5697,-3.6196
-7.3428,-2.9292
-6.6556,-1.3636
-7.0981,-0.2924
-8.1384,1.8421
-8.0660,2.2786
-8.0547,2.2001
-8.0493,2.1334
-8.1109,2.1126
-8.0675,2.3668
-8.0487,2.3931
-9.0745,3.1344
-10.7221,4.9645
-10.5692,5.5617
-10.5278,5.4724
-10.5446,5.5203
-10.6879,4.6966
-9.3391,2.5047
-7.7119,0.6136
-5.2010,0.6201
-4.9512,0.5647
-5.0277,0.5648
-5.9348,-0.6537
-7.3863,-2.8137
-8.6946,-5.0233
-8.6967,-5.3805
-8.6785,-5.3023
-8.6685,-5.2252
-8.7239,-4.8591
-7.3865,-2.6743
-5.7706,-0.6692
-3.1911,-0.5791
-0.5870,-0.5783
1.8331,-0.5794
4.4360,-0.5897
6.1093,-2.3374
6.2001,-2.5391
6.2529,-2.4684
6.2145,-2.4184
5.8375,-0.8969
6.8087,0.3694
7.2890,1.0011
7.2152,1.5638
7.2289,1.5605
7.1945,1.4093
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
7.1980,1.4138
