t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.011,0.000
63.0,leo1,0.091,0.002
64.0,leo1,0.149,0.003
65.0,leo1,0.241,0.003
66.0,leo1,0.270,0.003
67.0,leo1,0.296,0.004
68.0,leo1,0.364,0.005
69.0,leo1,0.449,0.005
70.0,leo1,0.553,0.005
71.0,leo1,0.670,0.005
72.0,leo1,0.770,0.005
73.0,leo1,0.786,0.005
74.0,leo1,0.786,0.005
75.0,leo1,0.786,0.005
76.0,leo1,0.786,0.005
77.0,leo1,0.786,0.005
78.0,leo1,0.786,0.005
79.0,leo1,0.786,0.005
80.0,leo1,0.786,0.005
81.0,leo1,0.791,0.005
82.0,leo1,0.805,0.007
83.0,leo1,0.816,0.030
84.0,leo1,0.825,0.032
85.0,leo1,0.760,0.010
86.0,leo1,0.653,0.002
87.0,leo1,0.598,-0.023
88.0,leo1,0.524,-0.049
89.0,leo1,0.532,-0.045
90.0,leo1,0.536,-0.043
91.0,leo1,0.536,-0.043
92.0,leo1,0.536,-0.043
93.0,leo1,0.539,-0.041
94.0,leo1,0.538,-0.042
95.0,leo1,0.531,-0.058
96.0,leo1,0.531,-0.059
97.0,leo1,0.503,-0.101
98.0,leo1,0.470,-0.172
99.0,leo1,0.439,-0.245
100.0,leo1,0.413,-0.287
101.0,leo1,0.410,-0.289
102.0,leo1,0.407,-0.302
103.0,leo1,0.406,-0.317
104.0,leo1,0.399,-0.252
105.0,leo1,0.281,0.021
106.0,leo1,0.196,0.266
107.0,leo1,0.090,0.505
108.0,leo1,0.011,0.730
109.0,leo1,-0.107,0.960
110.0,leo1,-0.184,1.204
111.0,leo1,-0.200,1.436
112.0,leo1,-0.176,1.529
113.0,leo1,-0.176,1.529
114.0,leo1,-0.176,1.529
115.0,leo1,-0.176,1.529
116.0,leo1,-0.177,1.524
117.0,leo1,-0.181,1.511
118.0,leo1,-0.182,1.498
119.0,leo1,-0.183,1.485
120.0,leo1,-0.184,1.500
121.0,leo1,-0.186,1.514
122.0,leo1,-0.189,1.525
123.0,leo1,-0.193,1.535
124.0,leo1,-0.237,1.536
125.0,leo1,-0.268,1.537
