frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
0,1787215277.10,0.000,0.000,-0.039,0.000,1,0,0
1,1787215278.10,0.000,0.000,-0.039,0.000,1,0,0
2,1787215279.10,0.000,0.000,-0.040,0.000,1,0,0
3,1787215280.10,0.000,0.000,-0.041,0.000,1,0,0
4,1787215281.10,0.000,0.000,-0.041,0.000,1,0,0
5,1787215282.10,0.000,0.000,-0.042,0.000,1,0,0
6,1787215283.10,0.098,-0.004,-0.043,0.120,0,0,0
7,1787215284.10,0.224,-0.010,-0.045,0.120,0,0,0
8,1787215285.10,0.346,-0.015,-0.046,0.120,0,0,0
9,1787215286.10,0.473,-0.021,-0.046,0.120,0,0,0
10,1787215287.10,0.594,-0.027,-0.048,0.120,0,0,0
11,1787215288.10,0.708,-0.032,-0.048,0.120,0,0,0
12,1787215289.10,0.830,-0.038,-0.049,0.120,0,0,0
13,1787215290.10,0.952,-0.044,-0.050,0.120,0,0,0
14,1787215291.10,1.077,-0.050,-0.050,0.120,0,0,0
15,1787215292.10,1.197,-0.057,-0.051,0.120,0,0,0
16,1787215293.10,1.245,-0.059,-0.052,0.000,1,0,0
17,1787215294.10,1.245,-0.059,-0.054,0.000,1,0,0
18,1787215295.10,1.245,-0.059,-0.055,0.000,1,0,0
19,1787215296.10,1.245,-0.059,-0.056,0.000,1,0,0
20,1787215297.10,1.245,-0.059,-0.057,0.000,1,0,0
21,1787215298.10,1.245,-0.059,-0.058,0.000,1,0,0
22,1787215299.10,1.245,-0.059,-0.058,0.000,1,0,0
23,1787215300.10,1.245,-0.059,-0.059,0.000,1,0,0
24,1787215301.10,1.247,-0.059,-0.027,0.015,1,0,0
25,1787215302.10,1.260,-0.059,0.075,0.014,1,0,0
26,1787215303.10,1.275,-0.057,0.169,0.012,1,0,0
27,1787215304.10,1.286,-0.055,0.248,0.000,1,0,0
28,1787215305.10,1.283,-0.055,0.248,0.050,0,0,0
29,1787215306.10,1.211,-0.073,0.246,0.080,0,0,0
30,1787215307.10,1.131,-0.094,0.245,0.080,0,0,0
31,1787215308.10,1.053,-0.113,0.244,0.080,0,0,0
32,1787215309.10,1.014,-0.123,0.247,0.004,1,0,0
33,1787215310.10,1.023,-0.120,0.329,0.008,1,0,0
34,1787215311.10,1.031,-0.117,0.406,0.006,1,0,0
35,1787215312.10,1.036,-0.114,0.480,0.004,1,0,0
36,1787215313.10,1.040,-0.113,0.549,0.002,1,0,0
37,1787215314.10,1.041,-0.112,0.617,0.001,1,0,0
38,1787215315.10,1.041,-0.112,0.682,0.001,1,0,0
39,1787215316.10,1.041,-0.112,0.748,0.001,1,0,0
40,1787215317.10,1.040,-0.113,0.812,0.001,1,0,0
41,1787215318.10,1.040,-0.113,0.880,0.003,1,0,0
42,1787215319.10,1.037,-0.116,0.951,0.005,1,0,0
43,1787215320.10,1.034,-0.121,1.027,0.006,1,0,0
44,1787215321.10,1.032,-0.125,1.106,0.008,1,0,0
45,1787215322.10,1.028,-0.133,1.190,0.010,1,0,0
46,1787215323.10,1.025,-0.143,1.279,0.012,1,0,0
47,1787215324.10,1.022,-0.156,1.374,0.014,1,0,0
48,1787215325.10,1.020,-0.170,1.477,0.016,1,0,0
49,1787215326.10,1.020,-0.157,1.580,0.014,1,0,0
50,1787215327.10,1.019,-0.143,1.677,0.012,1,0,0
51,1787215328.10,1.017,-0.132,1.766,0.011,1,0,0
52,1787215329.10,0.989,-0.043,1.934,0.163,0,0,0
53,1787215330.10,0.923,0.173,1.811,0.260,0,0,0
54,1787215331.10,0.842,0.408,2.014,0.257,0,171,0
55,1787215332.10,0.709,0.626,2.217,0.259,0,253,1
56,1787215333.10,0.544,0.827,2.217,0.209,0,241,0
57,1787215334.10,0.470,0.969,1.830,0.090,0,198,0
58,1787215335.10,0.467,0.982,1.707,0.011,1,182,0
59,1787215336.10,0.472,1.103,1.423,0.179,0,202,0
60,1787215337.10,0.483,1.167,1.397,0.000,1,241,0
61,1787215338.10,0.483,1.167,1.396,0.000,1,241,0
62,1787215339.10,0.482,1.167,1.566,0.021,0,223,0
63,1787215340.10,0.475,1.200,1.990,0.020,0,247,0
64,1787215341.10,0.473,1.205,2.070,0.000,1,241,0
65,1787215342.10,0.490,1.173,2.069,0.080,0,253,1
66,1787215343.10,0.530,1.100,2.068,0.080,0,253,1
67,1787215344.10,0.569,1.028,2.067,0.080,0,253,1
68,1787215345.10,0.603,0.964,2.069,0.017,1,253,1
69,1787215346.10,0.603,0.964,2.136,0.001,1,253,1
70,1787215347.10,0.603,0.965,2.202,0.000,1,253,1
71,1787215348.10,0.603,0.964,2.268,0.001,1,253,1
72,1787215349.10,0.603,0.964,2.333,0.000,1,253,1
73,1787215350.10,0.604,0.964,2.400,0.002,1,253,1
74,1787215351.10,0.606,0.962,2.468,0.003,1,253,1
75,1787215352.10,0.609,0.960,2.522,0.004,1,253,1
76,1787215353.10,0.613,0.957,2.579,0.005,1,253,1
77,1787215354.10,0.618,0.954,2.639,0.006,1,253,1
78,1787215355.10,0.623,0.951,2.702,0.007,1,253,1
79,1787215356.10,0.630,0.948,2.766,0.008,1,253,1
80,1787215357.10,0.639,0.945,2.834,0.009,1,253,1
81,1787215358.10,0.648,0.943,2.905,0.010,1,253,1
82,1787215359.10,0.647,0.942,3.014,0.078,0,253,1
83,1787215360.10,0.452,0.945,-3.102,0.261,0,0,0
84,1787215361.10,0.233,0.934,-3.064,0.113,0,0,0
85,1787215362.10,0.199,0.931,-2.974,0.010,1,151,0
86,1787215363.10,0.190,0.929,-2.890,0.008,1,0,0
87,1787215364.10,0.181,0.926,-2.809,0.007,1,0,0
88,1787215365.10,0.176,0.924,-2.733,0.005,1,0,0
89,1787215366.10,0.172,0.922,-2.661,0.003,1,0,0
90,1787215367.10,0.170,0.922,-2.594,0.001,1,0,0
91,1787215368.10,0.170,0.921,-2.529,0.001,1,0,0
92,1787215369.10,0.170,0.921,-2.465,0.001,1,0,0
93,1787215370.10,0.171,0.922,-2.397,0.001,1,0,0
94,1787215371.10,0.172,0.923,-2.331,0.002,1,0,0
95,1787215372.10,0.174,0.926,-2.261,0.004,1,0,0
96,1787215373.10,0.177,0.929,-2.190,0.006,1,0,0
97,1787215374.10,0.181,0.936,-2.108,0.008,1,0,0
98,1787215375.10,0.186,0.945,-2.029,0.010,1,0,0
99,1787215376.10,0.191,0.955,-1.938,0.012,1,0,0
100,1787215377.10,0.195,0.967,-1.844,0.014,1,0,0
101,1787215378.10,0.198,0.981,-1.744,0.016,1,0,0
102,1787215379.10,0.198,0.978,-1.639,0.015,1,0,0
103,1787215380.10,0.197,0.962,-1.541,0.013,1,0,0
104,1787215381.10,0.198,0.951,-1.449,0.011,1,0,0
105,1787215382.10,0.200,0.941,-1.369,0.009,1,0,0
106,1787215383.10,0.202,0.934,-1.288,0.007,1,0,0
107,1787215384.10,0.204,0.926,-1.210,0.005,1,0,0
108,1787215385.10,0.206,0.923,-1.138,0.004,1,0,0
109,1787215386.10,0.207,0.920,-1.068,0.002,1,0,0
110,1787215387.10,0.207,0.920,-1.005,0.000,1,0,0
111,1787215388.10,0.207,0.921,-0.937,0.000,1,0,0
112,1787215389.10,0.206,0.921,-0.870,0.000,1,0,0
113,1787215390.10,0.206,0.922,-0.805,0.001,1,0,0
114,1787215391.10,0.203,0.924,-0.737,0.003,1,0,0
115,1787215392.10,0.200,0.927,-0.664,0.005,1,0,0
116,1787215393.10,0.194,0.931,-0.588,0.007,1,0,0
117,1787215394.10,0.271,0.895,-0.324,0.215,0,0,0
118,1787215395.10,0.490,0.832,-0.367,0.165,0,253,1
119,1787215396.10,0.666,0.708,-0.790,0.209,0,253,1
120,1787215397.10,0.731,0.639,-0.790,0.002,1,253,1
121,1787215398.10,0.737,0.634,-0.694,0.073,0,241,0
122,1787215399.10,0.906,0.553,-0.255,0.259,0,222,0
123,1787215400.10,1.103,0.513,-0.240,0.191,0,222,0
124,1787215401.10,1.348,0.428,-0.389,0.259,0,202,0
125,1787215402.10,1.601,0.331,-0.384,0.260,0,165,0
126,1787215403.10,1.853,0.232,-0.413,0.261,0,0,0
127,1787215404.10,2.096,0.134,-0.388,0.261,0,0,0
128,1787215405.10,2.344,0.032,-0.436,0.262,0,0,0
129,1787215406.10,2.580,-0.098,-0.547,0.250,0,0,0
130,1787215407.10,2.799,-0.203,-0.305,0.263,0,0,0
131,1787215408.10,3.055,-0.290,-0.464,0.255,0,0,0
132,1787215409.10,3.278,-0.430,-0.550,0.259,0,0,0
133,1787215410.10,3.528,-0.531,-0.263,0.260,0,0,0
