t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0358,0.0000,0.0000,-0.0358
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0355,0.0000,0.0000,-0.0355
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0367,0.0000,0.0000,-0.0367
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0374,0.0000,0.0000,-0.0374
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0375,0.0000,0.0000,-0.0375
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0379,0.0000,0.0000,-0.0379
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0389,0.0000,0.0000,-0.0389
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0388,0.0000,0.0000,-0.0388
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0393,0.0000,0.0000,-0.0393
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0399,0.0000,0.0000,-0.0399
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0404,0.0000,0.0000,-0.0404
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0405,0.0000,0.0000,-0.0405
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0407,0.0000,0.0000,-0.0407
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0410,0.0000,0.0000,-0.0410
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0411,0.0000,0.0000,-0.0411
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0414,0.0000,0.0000,-0.0414
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0424,0.0000,0.0000,-0.0424
62.00,0.0459,-0.0000,-0.0000,0.0457,-0.0020,-0.0431,0.0457,-0.0020,-0.0431
62.50,0.1059,-0.0000,-0.0000,0.1033,-0.0044,-0.0434,0.1033,-0.0044,-0.0434
63.00,0.1659,-0.0000,-0.0000,0.1665,-0.0072,-0.0445,0.0864,-0.0021,-0.0061
63.50,0.2259,-0.0000,-0.0000,0.2283,-0.0100,-0.0448,0.0983,-0.0025,-0.0064
64.00,0.2859,-0.0000,-0.0000,0.2871,-0.0126,-0.0453,0.0671,-0.0029,-0.0069
64.50,0.3459,-0.0000,-0.0000,0.3517,-0.0156,-0.0456,0.1317,-0.0034,-0.0072
65.00,0.4059,-0.0000,-0.0000,0.4127,-0.0184,-0.0457,0.1028,-0.0038,-0.0073
65.50,0.4659,-0.0000,-0.0000,0.4792,-0.0214,-0.0465,0.0809,-0.0043,-0.0081
66.00,0.5259,-0.0000,-0.0000,0.5404,-0.0243,-0.0476,0.0807,-0.0048,-0.0092
66.50,0.5859,-0.0000,-0.0000,0.5984,-0.0271,-0.0476,0.1387,-0.0054,-0.0092
67.00,0.6459,-0.0000,-0.0000,0.6546,-0.0297,-0.0477,0.1549,-0.0059,-0.0093
67.50,0.7059,-0.0000,-0.0000,0.7125,-0.0325,-0.0480,0.1899,-0.0065,-0.0096
68.00,0.7659,-0.0000,-0.0000,0.7737,-0.0355,-0.0486,0.2442,-0.0071,-0.0102
68.50,0.8259,-0.0000,-0.0000,0.8355,-0.0385,-0.0487,0.2761,-0.0077,-0.0103
69.00,0.8859,-0.0000,-0.0000,0.8980,-0.0415,-0.0487,0.3386,-0.0083,-0.0103
69.50,0.9459,-0.0000,-0.0000,0.9568,-0.0444,-0.0498,0.3875,-0.0090,-0.0114
70.00,1.0059,-0.0000,-0.0000,1.0188,-0.0475,-0.0502,0.4296,-0.0097,-0.0118
70.50,1.0659,-0.0000,-0.0000,1.0811,-0.0507,-0.0504,0.4920,-0.0104,-0.0120
71.00,1.1259,-0.0000,-0.0000,1.1426,-0.0538,-0.0514,0.5335,-0.0112,-0.0130
71.50,1.1859,-0.0000,-0.0000,1.2048,-0.0570,-0.0512,0.5881,-0.0120,-0.0128
72.00,1.2244,-0.0000,-0.0000,1.2446,-0.0590,-0.0519,0.6257,-0.0125,-0.0135
72.50,1.2244,-0.0000,-0.0000,1.2446,-0.0590,-0.0521,0.6257,-0.0125,-0.0137
73.00,1.2244,-0.0000,-0.0000,1.2446,-0.0590,-0.0525,0.6257,-0.0125,-0.0141
73.50,1.2244,-0.0000,-0.0000,1.2446,-0.0590,-0.0540,0.6257,-0.0125,-0.0156
74.00,1.2244,-0.0000,-0.0000,1.2446,-0.0590,-0.0549,0.6257,-0.0125,-0.0165
74.50,1.2244,-0.0000,-0.0000,1.2446,-0.0590,-0.0553,0.6257,-0.0125,-0.0169
75.00,1.2244,-0.0000,-0.0000,1.2446,-0.0590,-0.0558,0.6257,-0.0125,-0.0174
