frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
0,1787218488.61,0.000,0.000,0.075,0.000,1,0,0
1,1787218489.60,0.000,0.000,0.076,0.000,1,0,0
2,1787218490.60,0.000,0.000,0.078,0.000,1,0,0
3,1787218491.60,0.000,0.000,0.079,0.000,1,0,0
4,1787218492.60,0.000,0.000,0.081,0.000,1,0,0
5,1787218493.60,0.000,0.000,0.083,0.000,1,0,0
6,1787218494.60,0.092,0.008,0.084,0.120,0,0,0
7,1787218495.60,0.214,0.018,0.086,0.120,0,0,0
8,1787218496.60,0.334,0.029,0.088,0.120,0,0,0
9,1787218497.60,0.453,0.039,0.090,0.120,0,0,0
10,1787218498.60,0.574,0.050,0.092,0.120,0,0,0
11,1787218499.60,0.697,0.062,0.094,0.120,0,0,0
12,1787218500.60,0.816,0.073,0.095,0.120,0,0,0
13,1787218501.60,0.933,0.084,0.096,0.120,0,0,0
14,1787218502.60,1.054,0.096,0.099,0.120,0,0,0
15,1787218503.60,1.180,0.109,0.101,0.120,0,0,0
16,1787218504.60,1.234,0.114,0.102,0.000,1,0,0
17,1787218505.60,1.234,0.114,0.104,0.000,1,0,0
18,1787218506.60,1.234,0.114,0.105,0.000,1,0,0
19,1787218507.60,1.234,0.114,0.107,0.000,1,0,0
20,1787218508.60,1.234,0.114,0.109,0.000,1,0,0
21,1787218509.60,1.234,0.114,0.112,0.000,1,0,0
22,1787218510.60,1.234,0.114,0.113,0.000,1,0,0
23,1787218511.60,1.234,0.114,0.115,0.000,1,0,0
24,1787218512.60,1.235,0.114,0.141,0.011,1,0,0
25,1787218513.60,1.248,0.117,0.245,0.014,1,0,0
26,1787218514.60,1.261,0.121,0.342,0.012,1,165,0
27,1787218515.60,1.272,0.125,0.433,0.010,1,165,0
28,1787218516.60,1.282,0.130,0.517,0.008,1,182,0
29,1787218517.60,1.288,0.134,0.598,0.006,1,202,0
30,1787218518.60,1.292,0.137,0.677,0.004,1,202,0
31,1787218519.60,1.296,0.140,0.750,0.002,1,201,0
32,1787218520.60,1.297,0.141,0.821,0.001,1,201,0
33,1787218521.60,1.297,0.141,0.888,0.001,1,198,0
34,1787218522.60,1.297,0.141,0.957,0.001,1,194,0
35,1787218523.60,1.297,0.141,1.024,0.001,1,188,0
36,1787218524.60,1.296,0.139,1.093,0.003,1,171,0
37,1787218525.60,1.294,0.135,1.167,0.004,1,165,0
38,1787218526.60,1.292,0.131,1.245,0.006,1,165,0
39,1787218527.60,1.290,0.124,1.326,0.008,1,155,0
40,1787218528.60,1.289,0.116,1.412,0.010,1,149,0
41,1787218529.60,1.290,0.156,1.618,0.159,0,149,0
42,1787218530.60,1.263,0.374,1.635,0.226,0,0,0
43,1787218531.60,1.293,0.631,1.360,0.260,0,149,0
44,1787218532.60,1.348,0.865,1.397,0.200,0,201,0
45,1787218533.60,1.335,1.122,1.793,0.249,0,202,0
46,1787218534.60,1.297,1.363,1.547,0.257,0,182,0
47,1787218535.60,1.323,1.621,1.503,0.260,0,213,0
48,1787218536.60,1.300,1.888,1.738,0.260,0,235,0
49,1787218537.60,1.289,2.139,1.496,0.256,0,245,0
50,1787218538.60,1.340,2.366,1.131,0.218,0,198,0
51,1787218539.60,1.489,2.575,0.824,0.260,0,209,0
52,1787218540.60,1.670,2.751,0.728,0.258,0,195,0
53,1787218541.60,1.873,2.926,0.691,0.259,0,0,0
54,1787218542.60,2.078,3.102,0.726,0.260,0,0,0
55,1787218543.60,2.270,3.274,0.725,0.165,0,0,0
56,1787218544.60,2.313,3.311,0.670,0.006,1,0,0
57,1787218545.60,2.308,3.307,0.593,0.007,1,0,0
58,1787218546.60,2.301,3.303,0.512,0.009,1,0,0
59,1787218547.60,2.291,3.298,0.427,0.011,1,0,0
60,1787218548.60,2.279,3.293,0.335,0.013,1,0,0
61,1787218549.60,2.266,3.289,0.237,0.015,1,0,0
62,1787218550.60,2.264,3.289,0.133,0.015,1,0,0
63,1787218551.60,2.278,3.290,0.033,0.013,1,0,0
64,1787218552.60,2.292,3.290,-0.059,0.012,1,0,0
