t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0695,0.0000,0.0000,0.0695
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0706,0.0000,0.0000,0.0706
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0714,0.0000,0.0000,0.0714
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0722,0.0000,0.0000,0.0722
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0729,0.0000,0.0000,0.0729
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0742,0.0000,0.0000,0.0742
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0751,0.0000,0.0000,0.0751
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0757,0.0000,0.0000,0.0757
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0763,0.0000,0.0000,0.0763
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0768,0.0000,0.0000,0.0768
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0778,0.0000,0.0000,0.0778
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0784,0.0000,0.0000,0.0784
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0795,0.0000,0.0000,0.0795
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0798
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0806,0.0000,0.0000,0.0806
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0818,0.0000,0.0000,0.0818
62.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0831,0.0000,0.0000,0.0831
62.50,0.0407,-0.0000,-0.0000,0.0366,0.0031,0.0837,0.0366,0.0031,0.0837
63.00,0.1007,-0.0000,-0.0000,0.0966,0.0081,0.0844,0.0961,-0.0005,0.0111
63.50,0.1607,-0.0000,-0.0000,0.1600,0.0135,0.0852,0.1597,0.0002,0.0119
64.00,0.2207,-0.0000,-0.0000,0.2182,0.0185,0.0861,0.2281,0.0109,0.0128
64.50,0.2807,-0.0000,-0.0000,0.2800,0.0239,0.0873,0.2901,0.0034,0.0167
65.00,0.3407,-0.0000,-0.0000,0.3390,0.0290,0.0878,0.3493,0.0022,0.0180
65.50,0.4007,-0.0000,-0.0000,0.3997,0.0344,0.0885,0.4103,0.0038,0.0152
66.00,0.4607,-0.0000,-0.0000,0.4590,0.0397,0.0899,0.4698,0.0048,0.0166
66.50,0.5207,-0.0000,-0.0000,0.5173,0.0450,0.0911,0.5283,0.0066,0.0108
67.00,0.5807,-0.0000,-0.0000,0.5785,0.0506,0.0917,0.5898,0.0067,0.0150
67.50,0.6407,-0.0000,-0.0000,0.6382,0.0561,0.0925,0.6497,0.0076,0.0157
68.00,0.7007,-0.0000,-0.0000,0.7017,0.0620,0.0937,0.7135,0.0091,0.0134
68.50,0.7607,-0.0000,-0.0000,0.7632,0.0678,0.0943,0.7653,0.0104,0.0113
69.00,0.8207,-0.0000,-0.0000,0.8209,0.0733,0.0947,0.8233,0.0112,0.0109
69.50,0.8807,-0.0000,-0.0000,0.8825,0.0792,0.0955,0.8851,0.0114,0.0152
