x,y
0.0000,0.0000
0.9407,0.0127
1.2387,0.0175
1.2625,0.0617
1.2352,0.6238
2.0996,2.7822
2.5628,3.0219
2.5691,2.9474
2.4913,2.9234
2.2052,2.8240
0.2136,1.1667
-1.0916,0.0573
-1.0377,0.0451
0.3392,-1.8861
1.3718,-3.2280
2.7201,-3.5839
3.1745,-3.3609
4.2838,-3.5570
5.4142,-4.7000
5.4233,-4.6965
5.3896,-4.5487
5.3837,-4.5472
5.4038,-4.2135
3.3248,-3.6722
1.4680,-2.8273
1.2082,-0.2462
0.3392,2.1975
-1.1891,4.3089
-2.3800,5.4890
-3.4793,5.7760
-3.4285,5.7876
-3.3381,5.7695
-3.3705,5.7839
-1.4780,5.5496
0.5873,6.1835
1.6630,6.4248
1.6756,6.4179
1.6542,6.4772
1.4518,6.2780
2.4494,4.4213
4.5632,2.8973
5.0403,1.6071
4.6841,0.3165
3.5601,-2.0363
1.8607,-3.9454
-0.5162,-5.0263
-2.8852,-6.0585
-4.2921,-6.3159
-4.2377,-6.2778
-4.1736,-6.3111
-3.0354,-6.1601
-0.8181,-5.2151
1.5223,-4.0936
2.8896,-2.2484
4.0946,0.0394
3.7383,1.4080
3.5900,1.4588
3.5964,1.5025
3.6118,1.4690
3.7327,1.5227
3.7272,1.5211
4.5361,1.4937
4.1945,2.6444
