t,robot,x,y
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.000,0.000
63.0,leo1,0.096,-0.001
64.0,leo1,0.228,0.011
65.0,leo1,0.349,0.002
66.0,leo1,0.470,0.005
67.0,leo1,0.590,0.007
68.0,leo1,0.713,0.009
69.0,leo1,0.823,0.011
70.0,leo1,0.941,0.013
71.0,leo1,1.072,0.015
72.0,leo1,1.194,0.016
73.0,leo1,1.239,0.018
74.0,leo1,1.239,0.018
75.0,leo1,1.239,0.018
76.0,leo1,1.239,0.018
77.0,leo1,1.239,0.018
78.0,leo1,1.239,0.018
79.0,leo1,1.239,0.018
80.0,leo1,1.239,0.018
81.0,leo1,1.240,0.018
82.0,leo1,1.253,0.019
83.0,leo1,1.267,0.022
84.0,leo1,1.278,0.026
85.0,leo1,1.247,0.052
86.0,leo1,1.253,0.056
87.0,leo1,1.258,0.058
88.0,leo1,1.261,0.061
89.0,leo1,1.263,0.062
90.0,leo1,1.263,0.062
91.0,leo1,1.262,0.062
92.0,leo1,1.262,0.061
93.0,leo1,1.261,0.059
94.0,leo1,1.259,0.056
95.0,leo1,1.256,0.051
96.0,leo1,1.254,0.045
97.0,leo1,1.251,0.037
98.0,leo1,1.258,0.095
99.0,leo1,1.175,0.369
100.0,leo1,1.235,0.624
101.0,leo1,1.306,0.833
102.0,leo1,1.328,1.086
103.0,leo1,1.337,1.329
104.0,leo1,1.378,1.582
105.0,leo1,1.405,1.846
106.0,leo1,1.424,2.100
107.0,leo1,1.493,2.311
108.0,leo1,1.665,2.501
109.0,leo1,1.876,2.652
110.0,leo1,2.100,2.782
111.0,leo1,2.317,2.928
112.0,leo1,2.515,3.054
113.0,leo1,2.549,3.076
114.0,leo1,2.542,3.073
115.0,leo1,2.534,3.069
116.0,leo1,2.524,3.066
117.0,leo1,2.511,3.063
118.0,leo1,2.498,3.062
119.0,leo1,2.548,3.023
120.0,leo1,2.563,3.022
121.0,leo1,2.576,3.019
122.0,leo1,2.584,3.017
123.0,leo1,2.593,3.014
124.0,leo1,2.561,2.952
125.0,leo1,2.564,2.951
126.0,leo1,2.568,2.948
127.0,leo1,2.569,2.948
128.0,leo1,2.569,2.947
129.0,leo1,2.570,2.947
130.0,leo1,2.569,2.947
131.0,leo1,2.567,2.950
132.0,leo1,2.566,2.952
133.0,leo1,2.563,2.957
134.0,leo1,2.560,2.964
135.0,leo1,2.556,2.974
136.0,leo1,2.553,2.986
137.0,leo1,2.551,2.999
138.0,leo1,2.494,2.951
139.0,leo1,2.493,2.936
140.0,leo1,2.491,2.923
141.0,leo1,2.488,2.911
142.0,leo1,2.485,2.903
143.0,leo1,2.436,2.935
144.0,leo1,2.422,2.942
145.0,leo1,2.420,2.939
146.0,leo1,2.419,2.938
147.0,leo1,2.419,2.938
148.0,leo1,2.418,2.937
149.0,leo1,2.403,2.924
150.0,leo1,2.205,2.824
151.0,leo1,1.989,2.685
152.0,leo1,1.777,2.554
153.0,leo1,1.559,2.408
154.0,leo1,1.360,2.233
155.0,leo1,1.167,2.051
156.0,leo1,0.984,1.872
157.0,leo1,0.793,1.689
158.0,leo1,0.598,1.519
159.0,leo1,0.403,1.338
160.0,leo1,0.214,1.167
161.0,leo1,0.014,0.994
162.0,leo1,-0.183,0.824
163.0,leo1,-0.376,0.667
164.0,leo1,-0.584,0.506
165.0,leo1,-0.786,0.326
166.0,leo1,-0.980,0.155
167.0,leo1,-1.092,0.057
168.0,leo1,-1.093,0.056
169.0,leo1,-1.093,0.056
170.0,leo1,-1.092,0.057
171.0,leo1,-1.090,0.060
172.0,leo1,-1.087,0.065
173.0,leo1,-1.084,0.071
174.0,leo1,-1.082,0.079
175.0,leo1,-1.079,0.090
176.0,leo1,-1.044,0.059
177.0,leo1,-1.043,0.076
178.0,leo1,-1.042,0.070
179.0,leo1,-1.041,0.057
180.0,leo1,-1.038,0.045
181.0,leo1,-1.020,0.001
182.0,leo1,-0.853,-0.182
183.0,leo1,-0.720,-0.393
184.0,leo1,-0.584,-0.625
185.0,leo1,-0.429,-0.833
186.0,leo1,-0.274,-1.044
187.0,leo1,-0.132,-1.261
188.0,leo1,0.019,-1.479
189.0,leo1,0.180,-1.687
190.0,leo1,0.339,-1.886
191.0,leo1,0.497,-2.094
192.0,leo1,0.659,-2.303
193.0,leo1,0.817,-2.517
194.0,leo1,0.978,-2.719
195.0,leo1,1.140,-2.933
196.0,leo1,1.291,-3.132
197.0,leo1,1.380,-3.243
198.0,leo1,1.378,-3.240
199.0,leo1,1.375,-3.235
200.0,leo1,1.372,-3.228
201.0,leo1,1.369,-3.219
202.0,leo1,1.370,-3.224
203.0,leo1,1.374,-3.233
204.0,leo1,1.428,-3.317
205.0,leo1,1.578,-3.519
206.0,leo1,1.779,-3.685
207.0,leo1,2.017,-3.784
208.0,leo1,2.254,-3.795
209.0,leo1,2.483,-3.695
210.0,leo1,2.720,-3.584
211.0,leo1,2.955,-3.487
212.0,leo1,3.147,-3.377
213.0,leo1,3.172,-3.362
214.0,leo1,3.176,-3.360
215.0,leo1,3.176,-3.360
216.0,leo1,3.176,-3.360
217.0,leo1,3.176,-3.360
218.0,leo1,3.177,-3.359
219.0,leo1,3.176,-3.360
220.0,leo1,3.174,-3.361
221.0,leo1,3.171,-3.363
222.0,leo1,3.164,-3.367
223.0,leo1,3.156,-3.370
224.0,leo1,3.145,-3.375
225.0,leo1,3.134,-3.378
226.0,leo1,3.267,-3.373
227.0,leo1,3.554,-3.438
228.0,leo1,3.800,-3.418
229.0,leo1,4.046,-3.448
230.0,leo1,4.284,-3.557
231.0,leo1,4.530,-3.635
232.0,leo1,4.778,-3.724
233.0,leo1,5.005,-3.863
234.0,leo1,5.190,-4.039
235.0,leo1,5.330,-4.268
236.0,leo1,5.408,-4.515
237.0,leo1,5.424,-4.677
238.0,leo1,5.420,-4.687
239.0,leo1,5.417,-4.694
240.0,leo1,5.414,-4.700
241.0,leo1,5.413,-4.703
242.0,leo1,5.412,-4.703
243.0,leo1,5.412,-4.704
244.0,leo1,5.412,-4.704
245.0,leo1,5.411,-4.704
246.0,leo1,5.412,-4.704
247.0,leo1,5.412,-4.703
248.0,leo1,5.415,-4.701
249.0,leo1,5.419,-4.699
250.0,leo1,5.423,-4.697
251.0,leo1,5.430,-4.694
252.0,leo1,5.438,-4.690
253.0,leo1,5.453,-4.687
254.0,leo1,5.467,-4.684
255.0,leo1,5.406,-4.619
256.0,leo1,5.389,-4.618
257.0,leo1,5.376,-4.616
258.0,leo1,5.367,-4.614
259.0,leo1,5.358,-4.611
260.0,leo1,5.390,-4.549
261.0,leo1,5.386,-4.547
262.0,leo1,5.383,-4.545
263.0,leo1,5.382,-4.544
264.0,leo1,5.381,-4.544
265.0,leo1,5.381,-4.544
266.0,leo1,5.381,-4.543
267.0,leo1,5.381,-4.543
268.0,leo1,5.381,-4.543
269.0,leo1,5.382,-4.545
270.0,leo1,5.384,-4.547
271.0,leo1,5.386,-4.551
272.0,leo1,5.390,-4.558
273.0,leo1,5.394,-4.568
274.0,leo1,5.416,-4.430
275.0,leo1,5.446,-4.241
276.0,leo1,5.446,-4.229
277.0,leo1,5.445,-4.216
278.0,leo1,5.411,-4.234
279.0,leo1,5.407,-4.222
280.0,leo1,5.404,-4.214
281.0,leo1,5.399,-4.204
282.0,leo1,5.287,-4.115
283.0,leo1,5.106,-3.921
284.0,leo1,4.878,-3.778
285.0,leo1,4.623,-3.700
286.0,leo1,4.361,-3.696
287.0,leo1,4.109,-3.686
288.0,leo1,3.838,-3.676
289.0,leo1,3.579,-3.682
290.0,leo1,3.325,-3.672
291.0,leo1,3.063,-3.679
292.0,leo1,2.801,-3.684
293.0,leo1,2.551,-3.689
294.0,leo1,2.287,-3.708
295.0,leo1,2.022,-3.737
296.0,leo1,1.800,-3.700
297.0,leo1,1.615,-3.565
298.0,leo1,1.509,-3.339
299.0,leo1,1.479,-3.084
300.0,leo1,1.468,-2.827
301.0,leo1,1.462,-2.568
302.0,leo1,1.438,-2.307
303.0,leo1,1.410,-2.047
304.0,leo1,1.374,-1.782
305.0,leo1,1.356,-1.529
306.0,leo1,1.324,-1.271
307.0,leo1,1.294,-1.008
308.0,leo1,1.274,-0.766
309.0,leo1,1.237,-0.496
310.0,leo1,1.208,-0.246
311.0,leo1,1.153,0.015
312.0,leo1,1.093,0.268
313.0,leo1,1.030,0.518
314.0,leo1,0.959,0.769
315.0,leo1,0.884,1.020
316.0,leo1,0.779,1.261
317.0,leo1,0.705,1.515
318.0,leo1,0.595,1.742
319.0,leo1,0.479,1.970
320.0,leo1,0.339,2.198
321.0,leo1,0.197,2.426
