t,robot,x,y
142.0,leo1,1.164,0.031
144.0,leo1,1.164,0.031
146.0,leo1,1.164,0.031
148.0,leo1,1.164,0.031
150.0,leo1,1.164,0.031
152.0,leo1,1.164,0.031
154.0,leo1,1.164,0.031
156.0,leo1,1.164,0.031
158.0,leo1,1.164,0.031
160.0,leo1,1.164,0.031
162.0,leo1,1.164,0.031
164.0,leo1,1.164,0.031
166.0,leo1,1.193,0.022
168.0,leo1,1.234,-0.060
170.0,leo1,1.136,-0.511
172.0,leo1,1.055,-1.040
174.0,leo1,0.977,-1.269
176.0,leo1,0.977,-1.269
178.0,leo1,0.977,-1.269
180.0,leo1,0.977,-1.269
182.0,leo1,0.970,-1.282
184.0,leo1,0.979,-1.262
186.0,leo1,0.763,-1.120
188.0,leo1,0.459,-0.606
190.0,leo1,0.131,-0.206
192.0,leo1,-0.205,0.183
194.0,leo1,-0.538,0.594
196.0,leo1,-0.876,0.964
198.0,leo1,-1.314,1.228
200.0,leo1,-1.780,1.473
202.0,leo1,-2.084,1.664
204.0,leo1,-2.107,1.678
206.0,leo1,-2.116,1.669
208.0,leo1,-2.417,1.484
210.0,leo1,-2.808,1.063
212.0,leo1,-3.224,0.742
214.0,leo1,-3.411,0.496
216.0,leo1,-3.503,-0.029
218.0,leo1,-3.638,-0.431
220.0,leo1,-3.698,-0.915
222.0,leo1,-3.666,-1.149
224.0,leo1,-3.348,-1.517
226.0,leo1,-2.964,-1.886
228.0,leo1,-2.575,-2.232
230.0,leo1,-2.205,-2.577
232.0,leo1,-1.767,-2.871
234.0,leo1,-1.345,-3.151
236.0,leo1,-1.044,-3.506
238.0,leo1,-1.012,-3.952
240.0,leo1,-1.051,-4.476
242.0,leo1,-1.178,-4.887
244.0,leo1,-1.207,-4.969
246.0,leo1,-1.207,-4.971
248.0,leo1,-1.207,-4.971
250.0,leo1,-1.215,-4.982
252.0,leo1,-1.391,-5.051
254.0,leo1,-1.874,-5.004
256.0,leo1,-2.359,-4.918
258.0,leo1,-2.593,-4.845
260.0,leo1,-2.593,-4.845
262.0,leo1,-2.593,-4.845
264.0,leo1,-2.593,-4.845
266.0,leo1,-2.659,-4.877
268.0,leo1,-2.988,-5.109
270.0,leo1,-3.314,-5.461
272.0,leo1,-3.374,-5.528
274.0,leo1,-3.362,-5.522
276.0,leo1,-3.649,-5.499
278.0,leo1,-3.946,-5.299
280.0,leo1,-3.946,-5.299
282.0,leo1,-3.946,-5.299
284.0,leo1,-3.946,-5.299
286.0,leo1,-3.951,-5.296
288.0,leo1,-3.928,-5.309
290.0,leo1,-3.807,-5.237
292.0,leo1,-3.335,-5.214
294.0,leo1,-2.737,-5.225
296.0,leo1,-2.224,-5.245
298.0,leo1,-1.696,-5.250
300.0,leo1,-1.174,-5.254
302.0,leo1,-0.634,-5.262
304.0,leo1,-0.142,-5.301
306.0,leo1,0.365,-5.393
308.0,leo1,0.820,-5.624
310.0,leo1,1.070,-5.956
312.0,leo1,1.236,-6.488
314.0,leo1,1.538,-6.871
316.0,leo1,1.930,-7.154
318.0,leo1,2.412,-7.394
320.0,leo1,2.858,-7.688
322.0,leo1,3.115,-7.876
324.0,leo1,3.198,-8.136
326.0,leo1,3.355,-8.534
328.0,leo1,3.633,-8.988
330.0,leo1,3.806,-9.241
332.0,leo1,3.806,-9.241
334.0,leo1,3.798,-9.218
336.0,leo1,3.744,-9.275
338.0,leo1,3.297,-9.292
340.0,leo1,2.763,-9.263
342.0,leo1,2.248,-9.248
344.0,leo1,1.704,-9.211
346.0,leo1,1.194,-9.147
348.0,leo1,0.658,-9.054
350.0,leo1,0.203,-8.922
352.0,leo1,-0.305,-8.777
354.0,leo1,-0.835,-8.759
356.0,leo1,-1.345,-8.761
358.0,leo1,-1.660,-8.758
360.0,leo1,-1.926,-8.977
362.0,leo1,-2.285,-9.358
364.0,leo1,-2.632,-9.735
366.0,leo1,-2.908,-10.094
368.0,leo1,-2.992,-10.243
370.0,leo1,-2.983,-10.219
