t,robot,x,y
142.0,leo2,2.114,0.020
144.0,leo2,2.114,0.020
146.0,leo2,2.114,0.020
148.0,leo2,2.114,0.020
150.0,leo2,2.114,0.020
152.0,leo2,2.114,0.020
154.0,leo2,2.114,0.020
156.0,leo2,2.114,0.020
158.0,leo2,2.114,0.020
160.0,leo2,2.114,0.020
162.0,leo2,2.114,0.020
164.0,leo2,2.114,0.020
166.0,leo2,2.130,0.016
168.0,leo2,2.135,0.019
170.0,leo2,2.106,0.001
172.0,leo2,1.846,-0.136
174.0,leo2,1.343,-0.273
176.0,leo2,0.711,-0.433
178.0,leo2,0.247,-0.633
180.0,leo2,-0.181,-0.863
182.0,leo2,-0.285,-0.931
184.0,leo2,-0.285,-0.931
186.0,leo2,-0.500,-1.036
188.0,leo2,-0.974,-1.259
190.0,leo2,-1.433,-1.486
192.0,leo2,-1.847,-1.814
194.0,leo2,-2.239,-2.154
196.0,leo2,-2.667,-2.417
198.0,leo2,-2.806,-2.468
200.0,leo2,-2.806,-2.468
202.0,leo2,-2.824,-2.459
204.0,leo2,-2.920,-2.408
206.0,leo2,-2.928,-2.411
208.0,leo2,-2.928,-2.411
210.0,leo2,-2.928,-2.411
212.0,leo2,-2.873,-2.330
214.0,leo2,-2.814,-2.244
216.0,leo2,-2.757,-2.159
218.0,leo2,-2.742,-2.153
220.0,leo2,-2.879,-2.104
222.0,leo2,-3.290,-1.713
224.0,leo2,-3.676,-1.353
226.0,leo2,-4.018,-0.969
228.0,leo2,-4.229,-0.717
230.0,leo2,-4.433,-0.408
232.0,leo2,-4.857,-0.109
234.0,leo2,-5.318,0.060
236.0,leo2,-5.796,0.265
238.0,leo2,-6.233,0.570
240.0,leo2,-6.429,0.725
242.0,leo2,-6.409,0.717
244.0,leo2,-6.429,0.704
246.0,leo2,-6.411,0.685
248.0,leo2,-6.222,0.353
250.0,leo2,-5.820,-0.112
252.0,leo2,-5.471,-0.549
254.0,leo2,-5.146,-0.946
256.0,leo2,-4.796,-1.342
258.0,leo2,-4.433,-1.724
260.0,leo2,-4.039,-2.079
262.0,leo2,-3.643,-2.388
264.0,leo2,-3.209,-2.651
266.0,leo2,-2.751,-2.931
268.0,leo2,-2.300,-3.217
270.0,leo2,-2.062,-3.601
272.0,leo2,-2.070,-4.094
274.0,leo2,-2.260,-4.562
276.0,leo2,-2.507,-4.995
278.0,leo2,-2.748,-5.236
280.0,leo2,-3.078,-5.319
282.0,leo2,-3.527,-5.518
284.0,leo2,-3.733,-5.710
286.0,leo2,-3.839,-6.129
288.0,leo2,-3.872,-6.234
290.0,leo2,-3.964,-6.463
292.0,leo2,-4.167,-6.930
294.0,leo2,-4.463,-7.323
296.0,leo2,-4.802,-7.710
298.0,leo2,-5.101,-8.048
300.0,leo2,-5.164,-8.116
302.0,leo2,-5.159,-8.107
304.0,leo2,-5.138,-8.112
306.0,leo2,-4.987,-8.176
308.0,leo2,-4.530,-8.115
310.0,leo2,-3.924,-8.132
312.0,leo2,-3.424,-8.269
314.0,leo2,-2.928,-8.457
316.0,leo2,-2.558,-8.756
318.0,leo2,-2.416,-8.864
320.0,leo2,-2.304,-9.205
322.0,leo2,-2.250,-9.626
324.0,leo2,-2.178,-10.135
326.0,leo2,-2.023,-10.551
328.0,leo2,-1.964,-10.643
330.0,leo2,-1.972,-10.617
332.0,leo2,-1.988,-10.652
334.0,leo2,-2.062,-10.684
336.0,leo2,-2.060,-10.684
338.0,leo2,-2.060,-10.684
340.0,leo2,-2.060,-10.684
342.0,leo2,-2.087,-10.602
344.0,leo2,-2.121,-10.502
346.0,leo2,-2.152,-10.408
348.0,leo2,-2.160,-10.394
350.0,leo2,-2.155,-10.392
352.0,leo2,-2.155,-10.392
354.0,leo2,-2.145,-10.387
356.0,leo2,-2.159,-10.423
358.0,leo2,-2.189,-10.385
360.0,leo2,-2.612,-10.368
362.0,leo2,-3.080,-10.590
364.0,leo2,-3.533,-10.823
366.0,leo2,-4.029,-11.019
368.0,leo2,-4.523,-11.135
370.0,leo2,-5.024,-11.287
372.0,leo2,-5.394,-11.448
374.0,leo2,-5.432,-11.467
376.0,leo2,-5.432,-11.467
378.0,leo2,-5.417,-11.462
380.0,leo2,-5.417,-11.462
382.0,leo2,-5.417,-11.462
384.0,leo2,-5.350,-11.453
386.0,leo2,-5.250,-11.437
388.0,leo2,-5.148,-11.422
390.0,leo2,-5.115,-11.418
392.0,leo2,-5.114,-11.414
394.0,leo2,-5.114,-11.414
396.0,leo2,-5.114,-11.414
398.0,leo2,-5.137,-11.317
400.0,leo2,-5.161,-11.217
402.0,leo2,-5.183,-11.123
404.0,leo2,-5.184,-11.120
406.0,leo2,-5.184,-11.120
408.0,leo2,-5.184,-11.120
410.0,leo2,-5.191,-11.135
412.0,leo2,-5.165,-11.123
414.0,leo2,-5.229,-11.072
416.0,leo2,-5.324,-10.732
418.0,leo2,-5.386,-10.202
420.0,leo2,-5.412,-9.676
422.0,leo2,-5.433,-9.142
424.0,leo2,-5.410,-8.639
426.0,leo2,-5.333,-8.107
428.0,leo2,-5.187,-7.649
430.0,leo2,-4.925,-7.338
432.0,leo2,-4.501,-7.011
434.0,leo2,-4.162,-6.736
436.0,leo2,-3.962,-6.339
438.0,leo2,-3.991,-5.908
440.0,leo2,-4.280,-5.644
442.0,leo2,-4.772,-5.524
444.0,leo2,-5.283,-5.477
446.0,leo2,-5.675,-5.479
448.0,leo2,-6.108,-5.256
450.0,leo2,-6.550,-4.956
452.0,leo2,-6.881,-4.707
454.0,leo2,-6.946,-4.654
456.0,leo2,-6.946,-4.654
458.0,leo2,-6.946,-4.654
460.0,leo2,-6.946,-4.654
462.0,leo2,-6.939,-4.666
464.0,leo2,-6.919,-4.661
466.0,leo2,-6.779,-4.595
468.0,leo2,-6.298,-4.602
470.0,leo2,-5.682,-4.642
472.0,leo2,-5.188,-4.640
474.0,leo2,-4.643,-4.632
476.0,leo2,-4.128,-4.631
478.0,leo2,-3.583,-4.632
480.0,leo2,-3.097,-4.638
482.0,leo2,-2.575,-4.631
484.0,leo2,-2.051,-4.626
486.0,leo2,-1.532,-4.626
488.0,leo2,-1.008,-4.626
