t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
139.5,,,,nan,,,,nan,0,,,0,0,0
140.0,,,,nan,,,,nan,0,,,0,0,0
145.0,,,,nan,,,,nan,0,,,0,0,0
150.0,,,,nan,,,,nan,0,,,0,0,0
155.0,,,,nan,,,,nan,0,,,0,0,0
160.0,,,,nan,,,,nan,0,,,0,0,0
165.0,,,,nan,,,,nan,0,,,0,0,0
170.0,,,,nan,,,,nan,0,,,0,0,0
175.0,,,,nan,,,,nan,0,,,0,0,0
180.0,,,,nan,,,,nan,0,,,0,0,0
185.0,,,,nan,,,,nan,0,,,0,0,0
190.0,,,,nan,,,,nan,0,,,0,0,0
195.0,,,,nan,,,,nan,0,,,0,0,0
200.0,,,,nan,,,,nan,0,,,0,0,0
205.0,,,,nan,,,,nan,0,,,0,0,0
210.0,,,,nan,,,,nan,0,,,0,0,0
215.0,,,,nan,,,,nan,0,,,0,0,0
220.0,,,,nan,,,,nan,0,,,0,0,0
225.0,,,,nan,,,,nan,0,,,0,0,0
230.0,,,,nan,,,,nan,0,,,0,0,0
235.0,,,,nan,,,,nan,0,,,0,0,0
240.0,,,,nan,,,,nan,0,,,0,0,0
245.0,,,,nan,,,,nan,0,,,0,0,0
250.0,,,,nan,,,,nan,0,,,0,0,0
255.0,,,,nan,,,,nan,0,,,0,0,0
260.0,,,,nan,,,,nan,0,,,0,0,0
265.0,,,,nan,,,,nan,0,,,0,0,0
270.0,,,,nan,,,,nan,0,,,0,0,0
275.0,,,,nan,,,,nan,0,,,0,0,0
280.0,,,,nan,,,,nan,0,,,0,0,0
285.0,,,,nan,,,,nan,0,,,0,0,0
290.0,,,,nan,,,,nan,0,,,0,0,0
295.0,,,,nan,,,,nan,0,,,0,0,0
300.0,,,,nan,,,,nan,0,,,0,0,0
305.0,,,,nan,,,,nan,0,,,0,0,0
310.0,,,,nan,,,,nan,0,,,0,0,0
315.0,,,,nan,,,,nan,0,,,0,0,0
320.0,,,,nan,,,,nan,0,,,0,0,0
325.0,,,,nan,,,,nan,0,,,0,0,0
330.0,,,,nan,,,,nan,0,,,0,0,0
335.0,,,,nan,,,,nan,0,,,0,0,0
340.0,,,,nan,,,,nan,0,,,0,0,0
345.0,,,,nan,,,,nan,0,,,0,0,0
350.0,,,,nan,,,,nan,0,,,0,0,0
355.0,,,,nan,,,,nan,0,,,0,0,0
360.0,,,,nan,,,,nan,0,,,0,0,0
365.0,,,,nan,,,,nan,0,,,0,0,0
370.0,,,,nan,,,,nan,0,,,0,0,0
375.0,,,,nan,,,,nan,0,,,0,0,0
380.0,,,,nan,,,,nan,0,,,0,0,0
385.0,,,,nan,,,,nan,0,,,0,0,0
390.0,,,,nan,,,,nan,0,,,0,0,0
395.0,,,,nan,,,,nan,0,,,0,0,0
