t,robot,x,y
140.0,leo2,2.056,0.019
142.0,leo2,2.056,0.019
144.0,leo2,2.056,0.019
146.0,leo2,2.056,0.019
148.0,leo2,2.056,0.019
150.0,leo2,2.069,0.016
152.0,leo2,2.074,0.018
154.0,leo2,2.029,-0.022
156.0,leo2,1.743,-0.190
158.0,leo2,1.164,-0.387
160.0,leo2,0.682,-0.613
162.0,leo2,0.226,-0.852
164.0,leo2,-0.207,-1.119
166.0,leo2,-0.319,-1.204
168.0,leo2,-0.455,-1.166
170.0,leo2,-0.853,-0.828
172.0,leo2,-1.250,-0.487
174.0,leo2,-1.633,-0.140
176.0,leo2,-2.044,0.235
178.0,leo2,-2.417,0.536
180.0,leo2,-2.809,0.803
182.0,leo2,-2.932,0.880
184.0,leo2,-2.932,0.880
186.0,leo2,-3.079,0.939
188.0,leo2,-3.602,0.928
190.0,leo2,-4.136,0.927
192.0,leo2,-4.636,0.927
194.0,leo2,-5.151,0.932
196.0,leo2,-5.684,0.966
198.0,leo2,-5.866,1.012
200.0,leo2,-5.956,0.881
202.0,leo2,-6.049,0.370
204.0,leo2,-6.209,-0.146
206.0,leo2,-6.398,-0.627
208.0,leo2,-6.611,-1.075
210.0,leo2,-6.680,-1.157
212.0,leo2,-6.577,-1.320
214.0,leo2,-6.206,-1.520
216.0,leo2,-5.723,-1.783
218.0,leo2,-5.255,-2.003
220.0,leo2,-4.788,-2.227
222.0,leo2,-4.324,-2.481
224.0,leo2,-3.839,-2.704
226.0,leo2,-3.386,-2.898
228.0,leo2,-2.908,-3.048
230.0,leo2,-2.413,-3.167
232.0,leo2,-2.127,-3.384
234.0,leo2,-2.028,-3.764
236.0,leo2,-1.986,-4.291
238.0,leo2,-1.840,-4.784
240.0,leo2,-1.776,-5.192
242.0,leo2,-1.743,-5.281
244.0,leo2,-1.743,-5.281
246.0,leo2,-1.749,-5.285
248.0,leo2,-1.841,-5.349
250.0,leo2,-2.293,-5.337
252.0,leo2,-2.822,-5.392
254.0,leo2,-3.289,-5.460
256.0,leo2,-3.680,-5.672
258.0,leo2,-3.832,-5.951
260.0,leo2,-3.981,-6.463
262.0,leo2,-4.300,-6.866
264.0,leo2,-4.697,-7.225
266.0,leo2,-5.057,-7.590
268.0,leo2,-5.428,-7.972
270.0,leo2,-5.784,-8.316
272.0,leo2,-6.068,-8.615
274.0,leo2,-6.282,-9.015
276.0,leo2,-6.502,-9.328
278.0,leo2,-6.509,-9.336
280.0,leo2,-6.509,-9.336
282.0,leo2,-6.503,-9.327
284.0,leo2,-6.482,-9.325
286.0,leo2,-6.483,-9.317
288.0,leo2,-6.155,-9.189
290.0,leo2,-5.735,-8.855
292.0,leo2,-5.324,-8.443
294.0,leo2,-5.006,-8.154
296.0,leo2,-4.530,-8.068
298.0,leo2,-4.015,-8.076
300.0,leo2,-3.500,-8.100
302.0,leo2,-2.981,-8.154
304.0,leo2,-2.466,-8.242
306.0,leo2,-2.205,-8.302
308.0,leo2,-2.144,-8.412
310.0,leo2,-2.172,-8.873
312.0,leo2,-2.167,-9.405
314.0,leo2,-2.173,-9.918
316.0,leo2,-2.194,-10.328
318.0,leo2,-2.202,-10.370
320.0,leo2,-2.202,-10.370
322.0,leo2,-2.221,-10.458
324.0,leo2,-1.996,-10.790
326.0,leo2,-1.715,-11.218
328.0,leo2,-1.412,-11.637
330.0,leo2,-1.213,-11.965
332.0,leo2,-1.213,-11.966
334.0,leo2,-1.208,-11.975
336.0,leo2,-1.249,-11.959
338.0,leo2,-1.225,-11.952
340.0,leo2,-1.245,-11.661
342.0,leo2,-1.460,-11.071
344.0,leo2,-1.659,-10.585
346.0,leo2,-1.859,-10.098
348.0,leo2,-2.084,-9.614
350.0,leo2,-2.309,-9.156
352.0,leo2,-2.554,-8.699
354.0,leo2,-2.786,-8.224
356.0,leo2,-3.027,-7.760
358.0,leo2,-3.297,-7.284
360.0,leo2,-3.563,-6.874
362.0,leo2,-3.820,-6.429
364.0,leo2,-4.017,-5.932
366.0,leo2,-4.295,-5.627
368.0,leo2,-4.748,-5.476
370.0,leo2,-5.262,-5.384
372.0,leo2,-5.766,-5.273
374.0,leo2,-6.006,-5.210
376.0,leo2,-5.993,-5.243
378.0,leo2,-5.956,-5.195
380.0,leo2,-5.669,-5.134
382.0,leo2,-5.071,-5.128
384.0,leo2,-4.550,-5.123
386.0,leo2,-3.999,-5.130
388.0,leo2,-3.471,-5.124
390.0,leo2,-2.963,-5.124
392.0,leo2,-2.459,-5.123
394.0,leo2,-1.918,-5.121
396.0,leo2,-1.442,-5.130
398.0,leo2,-0.915,-5.124
