t,robot,x,y
140.0,leo1,1.181,0.029
142.0,leo1,1.181,0.029
144.0,leo1,1.181,0.029
146.0,leo1,1.181,0.029
148.0,leo1,1.181,0.029
150.0,leo1,1.207,0.020
152.0,leo1,1.244,-0.058
154.0,leo1,1.125,-0.503
156.0,leo1,0.967,-1.017
158.0,leo1,0.870,-1.211
160.0,leo1,0.870,-1.211
162.0,leo1,0.693,-1.420
164.0,leo1,0.306,-1.778
166.0,leo1,-0.014,-2.097
168.0,leo1,-0.096,-2.180
170.0,leo1,-0.096,-2.180
172.0,leo1,-0.096,-2.180
174.0,leo1,-0.231,-2.253
176.0,leo1,-0.688,-2.245
178.0,leo1,-1.208,-2.234
180.0,leo1,-1.721,-2.220
182.0,leo1,-2.256,-2.229
184.0,leo1,-2.767,-2.284
186.0,leo1,-3.154,-2.304
188.0,leo1,-3.185,-2.301
190.0,leo1,-3.208,-2.291
192.0,leo1,-3.191,-2.341
194.0,leo1,-3.088,-2.169
196.0,leo1,-2.731,-1.966
198.0,leo1,-2.202,-1.695
200.0,leo1,-1.801,-1.403
202.0,leo1,-1.630,-1.297
204.0,leo1,-1.643,-1.326
206.0,leo1,-1.743,-1.248
208.0,leo1,-2.138,-1.234
210.0,leo1,-2.741,-1.253
212.0,leo1,-3.125,-1.060
214.0,leo1,-3.302,-0.807
216.0,leo1,-3.363,-0.302
218.0,leo1,-3.445,0.222
220.0,leo1,-3.389,0.732
222.0,leo1,-3.359,0.868
224.0,leo1,-3.162,0.961
226.0,leo1,-2.654,0.987
228.0,leo1,-2.535,1.029
230.0,leo1,-2.519,1.017
232.0,leo1,-2.529,1.042
234.0,leo1,-2.601,0.960
236.0,leo1,-2.928,0.805
238.0,leo1,-3.327,0.590
240.0,leo1,-3.453,0.242
242.0,leo1,-3.438,-0.280
244.0,leo1,-3.300,-0.788
246.0,leo1,-3.034,-1.261
248.0,leo1,-2.666,-1.633
250.0,leo1,-2.310,-2.017
252.0,leo1,-1.962,-2.404
254.0,leo1,-1.622,-2.771
256.0,leo1,-1.443,-2.980
258.0,leo1,-1.435,-2.974
260.0,leo1,-1.435,-2.974
262.0,leo1,-1.435,-2.974
264.0,leo1,-1.473,-2.988
266.0,leo1,-1.266,-3.090
268.0,leo1,-1.209,-3.146
270.0,leo1,-1.269,-3.061
272.0,leo1,-1.328,-2.979
274.0,leo1,-1.243,-3.114
276.0,leo1,-1.033,-3.640
278.0,leo1,-0.789,-4.121
280.0,leo1,-0.466,-4.522
282.0,leo1,-0.062,-4.851
284.0,leo1,0.354,-5.161
286.0,leo1,0.740,-5.496
288.0,leo1,1.036,-5.934
290.0,leo1,1.224,-6.430
292.0,leo1,1.475,-6.881
294.0,leo1,1.805,-7.281
296.0,leo1,2.142,-7.674
298.0,leo1,2.485,-8.066
300.0,leo1,2.819,-8.467
302.0,leo1,3.033,-8.715
304.0,leo1,3.443,-8.839
306.0,leo1,3.934,-9.026
308.0,leo1,4.425,-9.211
310.0,leo1,4.925,-9.426
312.0,leo1,5.264,-9.638
314.0,leo1,5.336,-9.696
316.0,leo1,5.336,-9.696
318.0,leo1,5.326,-9.678
320.0,leo1,5.308,-9.689
322.0,leo1,5.213,-9.740
324.0,leo1,5.214,-9.740
326.0,leo1,5.214,-9.740
328.0,leo1,5.214,-9.740
330.0,leo1,5.189,-9.660
332.0,leo1,5.157,-9.558
334.0,leo1,5.128,-9.464
336.0,leo1,5.120,-9.449
338.0,leo1,5.125,-9.448
340.0,leo1,5.125,-9.448
342.0,leo1,5.136,-9.442
