t,robot,x,y
156.0,leo2,0.689,0.007
158.0,leo2,0.710,-0.002
160.0,leo2,0.748,-0.065
162.0,leo2,0.729,-0.372
164.0,leo2,0.644,-0.555
166.0,leo2,0.537,-0.691
168.0,leo2,0.168,-1.037
170.0,leo2,-0.093,-1.275
172.0,leo2,-0.097,-1.278
174.0,leo2,-0.093,-1.274
176.0,leo2,-0.071,-1.269
178.0,leo2,-0.094,-1.259
180.0,leo2,0.069,-1.210
182.0,leo2,0.393,-0.900
184.0,leo2,0.755,-0.585
186.0,leo2,1.196,-0.524
188.0,leo2,1.726,-0.534
190.0,leo2,2.238,-0.536
192.0,leo2,2.756,-0.534
194.0,leo2,3.280,-0.529
196.0,leo2,3.693,-0.512
198.0,leo2,3.942,-0.569
200.0,leo2,4.419,-0.807
202.0,leo2,4.863,-1.055
204.0,leo2,5.298,-1.355
206.0,leo2,5.692,-1.695
208.0,leo2,6.051,-2.043
210.0,leo2,6.198,-2.182
212.0,leo2,6.489,-2.264
214.0,leo2,6.685,-2.265
216.0,leo2,7.070,-2.305
218.0,leo2,7.558,-2.473
220.0,leo2,7.947,-2.655
222.0,leo2,7.982,-2.687
224.0,leo2,7.968,-2.652
226.0,leo2,7.899,-2.713
228.0,leo2,7.535,-2.732
230.0,leo2,6.943,-2.649
232.0,leo2,6.412,-2.584
234.0,leo2,5.903,-2.521
236.0,leo2,5.399,-2.435
238.0,leo2,4.868,-2.339
240.0,leo2,4.381,-2.229
242.0,leo2,3.862,-2.087
244.0,leo2,3.386,-1.915
246.0,leo2,2.920,-1.678
248.0,leo2,2.447,-1.400
250.0,leo2,2.033,-1.130
252.0,leo2,1.613,-0.801
254.0,leo2,1.168,-0.555
256.0,leo2,0.658,-0.609
258.0,leo2,0.352,-0.777
260.0,leo2,-0.020,-1.156
262.0,leo2,-0.390,-1.539
264.0,leo2,-0.718,-1.913
266.0,leo2,-0.997,-2.285
268.0,leo2,-1.210,-2.736
270.0,leo2,-1.482,-3.184
272.0,leo2,-1.758,-3.604
274.0,leo2,-1.872,-3.763
276.0,leo2,-1.861,-3.757
278.0,leo2,-1.847,-3.755
280.0,leo2,-1.878,-3.743
282.0,leo2,-1.858,-3.688
284.0,leo2,-1.627,-3.329
286.0,leo2,-1.233,-2.824
288.0,leo2,-0.893,-2.408
290.0,leo2,-0.562,-2.010
292.0,leo2,-0.246,-1.618
294.0,leo2,0.100,-1.225
296.0,leo2,0.425,-0.821
298.0,leo2,0.719,-0.604
300.0,leo2,0.717,-0.606
302.0,leo2,0.720,-0.616
304.0,leo2,0.720,-0.616
306.0,leo2,0.720,-0.616
308.0,leo2,0.711,-0.713
310.0,leo2,0.703,-0.807
312.0,leo2,0.695,-0.904
314.0,leo2,0.754,-0.710
316.0,leo2,0.893,-0.578
318.0,leo2,1.231,-0.561
320.0,leo2,1.538,-0.727
322.0,leo2,1.717,-1.039
324.0,leo2,1.753,-1.225
326.0,leo2,1.762,-1.228
328.0,leo2,1.830,-1.319
330.0,leo2,1.879,-1.742
332.0,leo2,1.853,-2.238
334.0,leo2,1.837,-2.774
336.0,leo2,1.839,-3.285
338.0,leo2,1.835,-3.812
340.0,leo2,1.835,-4.330
342.0,leo2,1.835,-4.842
344.0,leo2,1.835,-5.380
346.0,leo2,1.835,-5.523
348.0,leo2,1.874,-5.537
350.0,leo2,2.259,-5.473
352.0,leo2,2.789,-5.236
354.0,leo2,3.239,-5.009
356.0,leo2,3.691,-4.735
358.0,leo2,4.119,-4.438
360.0,leo2,4.263,-4.298
362.0,leo2,4.303,-4.270
