t,robot,x,y
156.0,leo1,1.022,0.012
158.0,leo1,1.022,0.012
160.0,leo1,1.022,0.012
162.0,leo1,1.022,0.012
164.0,leo1,1.022,0.012
166.0,leo1,1.022,0.012
168.0,leo1,1.022,0.012
170.0,leo1,1.022,0.012
172.0,leo1,1.022,0.012
174.0,leo1,1.022,0.012
176.0,leo1,1.022,0.012
178.0,leo1,1.022,0.012
180.0,leo1,1.022,0.012
182.0,leo1,1.022,0.012
184.0,leo1,1.022,0.012
186.0,leo1,1.022,0.012
188.0,leo1,1.022,0.012
190.0,leo1,1.022,0.012
192.0,leo1,1.022,0.012
194.0,leo1,1.022,0.012
196.0,leo1,1.022,0.012
198.0,leo1,1.022,0.012
200.0,leo1,1.022,0.012
202.0,leo1,1.022,0.012
204.0,leo1,1.022,0.012
206.0,leo1,1.022,0.012
208.0,leo1,1.022,0.012
210.0,leo1,1.022,0.012
212.0,leo1,1.022,0.012
214.0,leo1,1.022,0.012
216.0,leo1,1.022,0.012
218.0,leo1,1.022,0.012
220.0,leo1,1.022,0.012
222.0,leo1,1.022,0.012
224.0,leo1,1.022,0.012
226.0,leo1,1.022,0.012
228.0,leo1,1.022,0.012
230.0,leo1,1.022,0.012
232.0,leo1,1.022,0.012
234.0,leo1,1.022,0.012
236.0,leo1,1.022,0.012
238.0,leo1,1.022,0.012
240.0,leo1,1.022,0.012
242.0,leo1,1.022,0.012
244.0,leo1,1.022,0.012
246.0,leo1,1.022,0.012
248.0,leo1,1.022,0.012
250.0,leo1,1.022,0.012
252.0,leo1,1.022,0.012
254.0,leo1,1.022,0.012
256.0,leo1,1.022,0.012
258.0,leo1,1.022,0.012
260.0,leo1,1.022,0.012
262.0,leo1,1.022,0.012
264.0,leo1,1.022,0.012
266.0,leo1,1.022,0.012
268.0,leo1,1.022,0.012
270.0,leo1,1.022,0.012
272.0,leo1,1.022,0.012
274.0,leo1,1.022,0.012
276.0,leo1,1.022,0.012
278.0,leo1,1.022,0.012
280.0,leo1,1.022,0.012
282.0,leo1,1.022,0.012
284.0,leo1,1.022,0.012
286.0,leo1,1.022,0.012
288.0,leo1,1.022,0.012
290.0,leo1,1.022,0.012
292.0,leo1,1.022,0.012
294.0,leo1,1.022,0.012
296.0,leo1,1.022,0.012
298.0,leo1,1.022,0.012
300.0,leo1,1.022,0.012
302.0,leo1,1.022,0.012
304.0,leo1,1.022,0.012
306.0,leo1,1.022,0.012
308.0,leo1,1.022,0.012
310.0,leo1,1.022,0.012
312.0,leo1,1.022,0.012
314.0,leo1,1.022,0.012
316.0,leo1,1.022,0.012
318.0,leo1,1.022,0.012
320.0,leo1,1.022,0.012
322.0,leo1,1.022,0.012
324.0,leo1,1.022,0.012
326.0,leo1,1.022,0.012
328.0,leo1,1.022,0.012
330.0,leo1,1.022,0.012
332.0,leo1,1.022,0.012
334.0,leo1,1.022,0.012
336.0,leo1,1.022,0.012
338.0,leo1,1.022,0.012
340.0,leo1,1.022,0.012
342.0,leo1,1.022,0.012
344.0,leo1,1.022,0.012
346.0,leo1,1.022,0.012
348.0,leo1,1.022,0.012
350.0,leo1,1.022,0.012
352.0,leo1,1.022,0.012
354.0,leo1,1.022,0.012
356.0,leo1,1.022,0.012
358.0,leo1,1.022,0.012
360.0,leo1,1.022,0.012
362.0,leo1,1.022,0.012
364.0,leo1,1.022,0.012
366.0,leo1,1.022,0.012
368.0,leo1,1.022,0.012
370.0,leo1,1.022,0.012
372.0,leo1,1.022,0.012
374.0,leo1,1.022,0.012
376.0,leo1,1.022,0.012
378.0,leo1,1.022,0.012
380.0,leo1,1.022,0.012
382.0,leo1,1.022,0.012
384.0,leo1,1.022,0.012
386.0,leo1,1.022,0.012
388.0,leo1,1.022,0.012
390.0,leo1,1.022,0.012
392.0,leo1,1.022,0.012
394.0,leo1,1.022,0.012
396.0,leo1,1.022,0.012
398.0,leo1,1.022,0.012
400.0,leo1,1.022,0.012
402.0,leo1,1.022,0.012
404.0,leo1,1.022,0.012
406.0,leo1,1.022,0.012
408.0,leo1,1.022,0.012
410.0,leo1,1.022,0.012
412.0,leo1,1.022,0.012
414.0,leo1,1.022,0.012
416.0,leo1,1.022,0.012
418.0,leo1,1.022,0.012
420.0,leo1,1.022,0.012
422.0,leo1,1.022,0.012
424.0,leo1,1.022,0.012
426.0,leo1,1.022,0.012
428.0,leo1,1.022,0.012
430.0,leo1,1.022,0.012
432.0,leo1,1.022,0.012
434.0,leo1,1.022,0.012
436.0,leo1,1.022,0.012
438.0,leo1,1.022,0.012
440.0,leo1,1.022,0.012
442.0,leo1,1.022,0.012
444.0,leo1,1.022,0.012
446.0,leo1,1.022,0.012
448.0,leo1,1.022,0.012
450.0,leo1,1.022,0.012
452.0,leo1,1.022,0.012
454.0,leo1,1.022,0.012
456.0,leo1,1.022,0.012
458.0,leo1,1.022,0.012
460.0,leo1,1.022,0.012
462.0,leo1,1.022,0.012
464.0,leo1,1.022,0.012
466.0,leo1,1.022,0.012
468.0,leo1,1.022,0.012
470.0,leo1,1.022,0.012
472.0,leo1,1.022,0.012
474.0,leo1,1.022,0.012
476.0,leo1,1.022,0.012
478.0,leo1,1.022,0.012
480.0,leo1,1.022,0.012
482.0,leo1,1.022,0.012
484.0,leo1,1.022,0.012
486.0,leo1,1.022,0.012
488.0,leo1,1.022,0.012
490.0,leo1,1.022,0.012
492.0,leo1,1.022,0.012
494.0,leo1,1.022,0.012
496.0,leo1,1.022,0.012
498.0,leo1,1.022,0.012
