t,robot,x,y
156.0,leo2,0.696,0.007
158.0,leo2,0.696,0.007
160.0,leo2,0.696,0.007
162.0,leo2,0.696,0.007
164.0,leo2,0.696,0.007
166.0,leo2,0.696,0.007
168.0,leo2,0.696,0.007
170.0,leo2,0.696,0.007
172.0,leo2,0.696,0.007
174.0,leo2,0.696,0.007
176.0,leo2,0.696,0.007
178.0,leo2,0.696,0.007
180.0,leo2,0.696,0.007
182.0,leo2,0.696,0.007
184.0,leo2,0.696,0.007
186.0,leo2,0.696,0.007
188.0,leo2,0.696,0.007
190.0,leo2,0.696,0.007
192.0,leo2,0.696,0.007
194.0,leo2,0.696,0.007
196.0,leo2,0.696,0.007
198.0,leo2,0.696,0.007
200.0,leo2,0.696,0.007
202.0,leo2,0.696,0.007
204.0,leo2,0.696,0.007
206.0,leo2,0.696,0.007
208.0,leo2,0.696,0.007
210.0,leo2,0.696,0.007
212.0,leo2,0.696,0.007
214.0,leo2,0.696,0.007
216.0,leo2,0.696,0.007
218.0,leo2,0.696,0.007
220.0,leo2,0.696,0.007
222.0,leo2,0.696,0.007
224.0,leo2,0.696,0.007
226.0,leo2,0.696,0.007
228.0,leo2,0.696,0.007
230.0,leo2,0.696,0.007
232.0,leo2,0.696,0.007
234.0,leo2,0.696,0.007
236.0,leo2,0.696,0.007
238.0,leo2,0.696,0.007
240.0,leo2,0.696,0.007
242.0,leo2,0.696,0.007
244.0,leo2,0.696,0.007
246.0,leo2,0.696,0.007
248.0,leo2,0.696,0.007
250.0,leo2,0.696,0.007
252.0,leo2,0.696,0.007
254.0,leo2,0.696,0.007
256.0,leo2,0.696,0.007
258.0,leo2,0.696,0.007
260.0,leo2,0.696,0.007
262.0,leo2,0.696,0.007
264.0,leo2,0.696,0.007
266.0,leo2,0.696,0.007
268.0,leo2,0.696,0.007
270.0,leo2,0.696,0.007
272.0,leo2,0.696,0.007
274.0,leo2,0.696,0.007
276.0,leo2,0.696,0.007
278.0,leo2,0.696,0.007
280.0,leo2,0.696,0.007
282.0,leo2,0.696,0.007
284.0,leo2,0.696,0.007
286.0,leo2,0.696,0.007
288.0,leo2,0.696,0.007
290.0,leo2,0.696,0.007
292.0,leo2,0.696,0.007
294.0,leo2,0.696,0.007
296.0,leo2,0.696,0.007
298.0,leo2,0.696,0.007
300.0,leo2,0.696,0.007
302.0,leo2,0.696,0.007
304.0,leo2,0.696,0.007
306.0,leo2,0.696,0.007
308.0,leo2,0.696,0.007
310.0,leo2,0.696,0.007
312.0,leo2,0.696,0.007
314.0,leo2,0.696,0.007
316.0,leo2,0.696,0.007
318.0,leo2,0.696,0.007
320.0,leo2,0.696,0.007
322.0,leo2,0.696,0.007
324.0,leo2,0.696,0.007
326.0,leo2,0.696,0.007
328.0,leo2,0.696,0.007
330.0,leo2,0.696,0.007
332.0,leo2,0.696,0.007
334.0,leo2,0.696,0.007
336.0,leo2,0.696,0.007
338.0,leo2,0.696,0.007
340.0,leo2,0.696,0.007
342.0,leo2,0.696,0.007
344.0,leo2,0.696,0.007
346.0,leo2,0.696,0.007
348.0,leo2,0.696,0.007
350.0,leo2,0.696,0.007
352.0,leo2,0.696,0.007
354.0,leo2,0.696,0.007
356.0,leo2,0.696,0.007
358.0,leo2,0.696,0.007
360.0,leo2,0.696,0.007
362.0,leo2,0.696,0.007
364.0,leo2,0.696,0.007
366.0,leo2,0.696,0.007
368.0,leo2,0.696,0.007
370.0,leo2,0.696,0.007
372.0,leo2,0.696,0.007
374.0,leo2,0.696,0.007
376.0,leo2,0.696,0.007
378.0,leo2,0.696,0.007
380.0,leo2,0.696,0.007
382.0,leo2,0.696,0.007
384.0,leo2,0.696,0.007
386.0,leo2,0.696,0.007
388.0,leo2,0.696,0.007
390.0,leo2,0.696,0.007
392.0,leo2,0.696,0.007
394.0,leo2,0.696,0.007
396.0,leo2,0.696,0.007
398.0,leo2,0.696,0.007
400.0,leo2,0.696,0.007
402.0,leo2,0.696,0.007
404.0,leo2,0.696,0.007
406.0,leo2,0.696,0.007
408.0,leo2,0.696,0.007
410.0,leo2,0.696,0.007
412.0,leo2,0.696,0.007
414.0,leo2,0.696,0.007
416.0,leo2,0.696,0.007
418.0,leo2,0.696,0.007
420.0,leo2,0.696,0.007
422.0,leo2,0.696,0.007
424.0,leo2,0.696,0.007
426.0,leo2,0.696,0.007
428.0,leo2,0.696,0.007
430.0,leo2,0.696,0.007
432.0,leo2,0.696,0.007
434.0,leo2,0.696,0.007
436.0,leo2,0.696,0.007
438.0,leo2,0.696,0.007
440.0,leo2,0.696,0.007
442.0,leo2,0.696,0.007
444.0,leo2,0.696,0.007
446.0,leo2,0.696,0.007
448.0,leo2,0.696,0.007
450.0,leo2,0.696,0.007
452.0,leo2,0.696,0.007
454.0,leo2,0.696,0.007
456.0,leo2,0.696,0.007
458.0,leo2,0.696,0.007
460.0,leo2,0.696,0.007
462.0,leo2,0.696,0.007
464.0,leo2,0.696,0.007
466.0,leo2,0.696,0.007
468.0,leo2,0.696,0.007
470.0,leo2,0.696,0.007
472.0,leo2,0.696,0.007
474.0,leo2,0.696,0.007
476.0,leo2,0.696,0.007
478.0,leo2,0.696,0.007
480.0,leo2,0.696,0.007
482.0,leo2,0.696,0.007
484.0,leo2,0.696,0.007
486.0,leo2,0.696,0.007
488.0,leo2,0.696,0.007
490.0,leo2,0.696,0.007
492.0,leo2,0.696,0.007
494.0,leo2,0.696,0.007
496.0,leo2,0.696,0.007
498.0,leo2,0.696,0.007
500.0,leo2,0.696,0.007
502.0,leo2,0.696,0.007
504.0,leo2,0.696,0.007
506.0,leo2,0.696,0.007
508.0,leo2,0.696,0.007
510.0,leo2,0.696,0.007
512.0,leo2,0.696,0.007
514.0,leo2,0.696,0.007
516.0,leo2,0.696,0.007
518.0,leo2,0.696,0.007
520.0,leo2,0.696,0.007
522.0,leo2,0.696,0.007
524.0,leo2,0.696,0.007
526.0,leo2,0.696,0.007
528.0,leo2,0.696,0.007
530.0,leo2,0.696,0.007
532.0,leo2,0.696,0.007
534.0,leo2,0.696,0.007
536.0,leo2,0.696,0.007
538.0,leo2,0.696,0.007
540.0,leo2,0.696,0.007
542.0,leo2,0.696,0.007
544.0,leo2,0.696,0.007
