t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
154.7,,,,nan,,,,nan,0,,,0,0,0
155.0,,,,nan,,,,nan,0,,,0,0,0
160.0,,,,nan,,,,nan,0,,,0,0,0
165.0,,,,nan,,,,nan,0,,,0,0,0
170.0,,,,nan,,,,nan,0,,,0,0,0
175.0,,,,nan,,,,nan,0,,,0,0,0
180.0,,,,nan,,,,0.490,0,,,0,0,0
185.0,,,,nan,,,,0.490,0,,,0,0,0
190.0,,,,nan,,,,0.431,0,,,0,0,0
195.0,,,,nan,,,,0.431,0,,,0,0,0
200.0,,,,nan,,,,0.426,0,,,0,0,0
205.0,,,,nan,,,,0.426,0,,,0,0,0
210.0,,,,nan,,,,0.480,0,,,0,0,0
215.0,,,,nan,,,,0.480,0,,,0,0,0
220.0,,,,nan,,,,0.487,0,,,0,0,0
225.0,,,,nan,,,,0.487,0,,,0,0,0
230.0,,,,nan,,,,0.570,0,,,0,0,0
235.0,,,,nan,,,,0.570,0,,,0,0,0
240.0,,,,nan,3.1500,-8.9000,180.000,0.643,0,0.1803,0.000,0,0,0
245.0,,,,nan,3.1500,-8.9000,179.946,0.758,0,0.1803,-0.053,0,0,0
250.0,,,,nan,3.1500,-8.9000,179.946,0.720,0,0.1803,-0.053,0,0,0
255.0,,,,nan,3.1500,-8.9000,179.946,0.720,0,0.1803,-0.053,0,0,0
260.0,,,,nan,3.1500,-8.9000,179.946,0.744,0,0.1803,-0.053,0,0,0
265.0,,,,nan,3.1500,-8.9000,179.946,0.744,0,0.1803,-0.053,0,0,0
270.0,,,,nan,3.1500,-8.9000,179.946,0.746,0,0.1803,-0.053,0,0,0
275.0,,,,nan,3.1500,-8.9000,179.946,0.746,0,0.1803,-0.053,0,0,0
280.0,,,,nan,3.1500,-8.9000,179.946,0.676,0,0.1803,-0.053,0,0,0
285.0,,,,nan,3.1500,-8.9000,179.946,0.676,0,0.1803,-0.053,0,0,0
290.0,,,,nan,3.1500,-8.9000,179.946,0.679,0,0.1803,-0.053,0,0,0
295.0,,,,nan,3.1500,-8.9000,179.946,0.679,0,0.1803,-0.053,0,0,0
300.0,,,,nan,3.1500,-8.9000,179.946,0.681,0,0.1803,-0.053,0,0,0
305.0,,,,nan,3.1500,-8.9000,179.946,0.681,0,0.1803,-0.053,0,0,0
310.0,,,,nan,3.1500,-8.9000,179.946,0.655,0,0.1803,-0.053,0,0,0
315.0,,,,nan,3.1500,-8.9000,179.946,0.655,0,0.1803,-0.053,0,0,0
320.0,,,,nan,3.1500,-8.9000,179.946,0.577,0,0.1803,-0.053,0,0,0
325.0,,,,nan,3.1500,-8.9000,179.946,0.577,0,0.1803,-0.053,0,0,0
330.0,,,,nan,3.1500,-8.9000,179.946,0.653,0,0.1803,-0.053,0,0,0
335.0,,,,nan,3.1500,-8.9000,179.946,0.653,0,0.1803,-0.053,0,0,0
340.0,,,,nan,3.1500,-8.9000,179.946,0.536,0,0.1803,-0.053,0,0,0
345.0,,,,nan,3.1500,-8.9000,179.946,0.536,0,0.1803,-0.053,0,0,0
350.0,,,,nan,3.1500,-8.9000,179.946,0.564,0,0.1803,-0.053,0,0,0
355.0,,,,nan,3.1500,-8.9000,179.946,0.564,0,0.1803,-0.053,0,0,0
360.0,,,,nan,3.1500,-8.9000,179.946,0.504,0,0.1803,-0.053,0,0,0
365.0,,,,nan,3.1500,-8.9000,179.946,0.504,0,0.1803,-0.053,0,0,0
370.0,,,,nan,3.1500,-8.9000,179.946,0.539,0,0.1803,-0.053,0,0,0
375.0,,,,nan,3.1500,-8.9000,179.946,0.539,0,0.1803,-0.053,0,0,0
380.0,,,,nan,3.1500,-8.9000,179.946,0.492,0,0.1803,-0.053,0,0,0
385.0,,,,nan,3.1500,-8.9000,179.946,0.492,0,0.1803,-0.053,0,0,0
390.0,,,,nan,3.1500,-8.9000,179.946,0.484,0,0.1803,-0.053,0,0,0
395.0,,,,nan,3.1500,-8.9000,179.946,0.484,0,0.1803,-0.053,0,0,0
400.0,,,,nan,3.1500,-8.9000,179.946,0.501,0,0.1803,-0.053,0,0,0
405.0,,,,nan,3.1500,-8.9000,179.946,0.501,0,0.1803,-0.053,0,0,0
410.0,,,,nan,3.1500,-8.9000,179.946,0.479,0,0.1803,-0.053,0,0,0
415.0,,,,nan,3.1500,-8.9000,179.946,0.479,0,0.1803,-0.053,0,0,0
420.0,,,,nan,3.1500,-8.9000,179.946,0.514,0,0.1803,-0.053,0,0,0
425.0,,,,nan,3.1500,-8.9000,179.946,0.514,0,0.1803,-0.053,0,0,0
430.0,,,,nan,3.1500,-8.9000,179.946,0.462,0,0.1803,-0.053,0,0,0
435.0,,,,nan,3.1500,-8.9000,179.946,0.462,0,0.1803,-0.053,0,0,0
440.0,,,,nan,3.1500,-8.9000,179.946,0.471,0,0.1803,-0.053,0,0,0
445.0,,,,nan,3.1500,-8.9000,179.946,0.471,0,0.1803,-0.053,0,0,0
450.0,,,,nan,3.1500,-8.9000,179.946,0.480,0,0.1803,-0.053,0,0,0
455.0,,,,nan,3.1500,-8.9000,179.946,0.480,0,0.1803,-0.053,0,0,0
460.0,,,,nan,3.1500,-8.9000,179.946,0.484,0,0.1803,-0.053,0,0,0
465.0,,,,nan,3.1500,-8.9000,179.946,0.484,0,0.1803,-0.053,0,0,0
470.0,,,,nan,3.1500,-8.9000,179.946,0.476,0,0.1803,-0.053,0,0,0
475.0,,,,nan,3.1500,-8.9000,179.946,0.476,0,0.1803,-0.053,0,0,0
480.0,,,,nan,3.1500,-8.9000,179.946,0.449,0,0.1803,-0.053,0,0,0
485.0,,,,nan,3.1500,-8.9000,179.946,0.449,0,0.1803,-0.053,0,0,0
490.0,,,,nan,3.1500,-8.9000,179.946,0.471,0,0.1803,-0.053,0,0,0
495.0,,,,nan,3.1500,-8.9000,179.946,0.471,0,0.1803,-0.053,0,0,0
500.0,,,,nan,3.1500,-8.9000,179.946,0.461,0,0.1803,-0.053,0,0,0
505.0,,,,nan,3.1500,-8.9000,179.946,0.461,0,0.1803,-0.053,0,0,0
510.0,,,,nan,3.1500,-8.9000,179.946,0.479,0,0.1803,-0.053,0,0,0
515.0,,,,nan,3.1500,-8.9000,179.946,0.479,0,0.1803,-0.053,0,0,0
520.0,,,,nan,3.1500,-8.9000,179.946,0.499,0,0.1803,-0.053,0,0,0
525.0,,,,nan,3.1500,-8.9000,179.946,0.499,0,0.1803,-0.053,0,0,0
530.0,,,,nan,3.1500,-8.9000,179.946,0.512,0,0.1803,-0.053,0,0,0
535.0,,,,nan,3.1500,-8.9000,179.946,0.512,0,0.1803,-0.053,0,0,0
540.0,,,,nan,3.1500,-8.9000,179.946,0.539,0,0.1803,-0.053,0,0,0
545.0,,,,nan,3.1500,-8.9000,179.946,0.539,0,0.1803,-0.053,0,0,0
550.0,,,,nan,3.1500,-8.9000,179.946,0.533,0,0.1803,-0.053,0,0,0
555.0,,,,nan,3.1500,-8.9000,179.946,0.533,0,0.1803,-0.053,0,0,0
560.0,,,,nan,3.1500,-8.9000,179.946,0.523,0,0.1803,-0.053,0,0,0
565.0,,,,nan,3.1500,-8.9000,179.946,0.523,0,0.1803,-0.053,0,0,0
570.0,,,,nan,3.1500,-8.9000,179.946,0.508,0,0.1803,-0.053,0,0,0
575.0,,,,nan,3.1500,-8.9000,179.946,0.508,0,0.1803,-0.053,0,0,0
580.0,,,,nan,3.1500,-8.9000,179.946,0.543,0,0.1803,-0.053,0,0,0
585.0,,,,nan,3.1500,-8.9000,179.946,0.543,0,0.1803,-0.053,0,0,0
590.0,,,,nan,3.1500,-8.9000,179.946,0.547,0,0.1803,-0.053,0,0,0
595.0,,,,nan,3.1500,-8.9000,179.946,0.547,0,0.1803,-0.053,0,0,0
600.0,,,,nan,3.1500,-8.9000,179.946,0.552,0,0.1803,-0.053,0,0,0
605.0,,,,nan,3.1500,-8.9000,179.946,0.552,0,0.1803,-0.053,0,0,0
610.0,,,,nan,3.1500,-8.9000,179.946,0.510,0,0.1803,-0.053,0,0,0
615.0,,,,nan,3.1500,-8.9000,179.946,0.510,0,0.1803,-0.053,0,0,0
620.0,,,,nan,3.1500,-8.9000,179.946,0.536,0,0.1803,-0.053,0,0,0
625.0,,,,nan,3.1500,-8.9000,179.946,0.536,0,0.1803,-0.053,0,0,0
630.0,,,,nan,3.1500,-8.9000,179.946,0.554,0,0.1803,-0.053,0,0,0
635.0,,,,nan,3.1500,-8.9000,179.946,0.554,0,0.1803,-0.053,0,0,0
640.0,,,,nan,3.1500,-8.9000,179.946,0.548,0,0.1803,-0.053,0,0,0
645.0,,,,nan,3.1500,-8.9000,179.946,0.548,0,0.1803,-0.053,0,0,0
650.0,,,,nan,3.1500,-8.9000,179.946,0.490,0,0.1803,-0.053,0,0,0
655.0,,,,nan,3.1500,-8.9000,179.946,0.490,0,0.1803,-0.053,0,0,0
660.0,,,,nan,3.1500,-8.9000,179.946,0.490,0,0.1803,-0.053,0,0,0
665.0,,,,nan,3.1500,-8.9000,179.946,0.490,0,0.1803,-0.053,0,0,0
670.0,,,,nan,3.1500,-8.9000,179.946,0.589,0,0.1803,-0.053,0,0,0
675.0,,,,nan,3.1500,-8.9000,179.946,0.589,0,0.1803,-0.053,0,0,0
680.0,,,,nan,3.1500,-8.9000,179.946,0.512,0,0.1803,-0.053,0,0,0
685.0,,,,nan,3.1500,-8.9000,179.946,0.512,0,0.1803,-0.053,0,0,0
690.0,,,,nan,3.1500,-8.9000,179.946,0.518,0,0.1803,-0.053,0,0,0
695.0,,,,nan,3.1500,-8.9000,179.946,0.518,0,0.1803,-0.053,0,0,0
700.0,,,,nan,3.1500,-8.9000,179.946,0.559,0,0.1803,-0.053,0,0,0
705.0,,,,nan,3.1500,-8.9000,179.946,0.559,0,0.1803,-0.053,0,0,0
710.0,,,,nan,3.1500,-8.9000,179.946,0.586,0,0.1803,-0.053,0,0,0
715.0,,,,nan,3.1500,-8.9000,179.946,0.586,0,0.1803,-0.053,0,0,0
720.0,,,,nan,3.1500,-8.9000,179.946,0.589,0,0.1803,-0.053,0,0,0
725.0,,,,nan,3.1500,-8.9000,179.946,0.589,0,0.1803,-0.053,0,0,0
730.0,,,,nan,3.1500,-8.9000,179.946,0.592,0,0.1803,-0.053,0,0,0
735.0,,,,nan,3.1500,-8.9000,179.946,0.592,0,0.1803,-0.053,0,0,0
740.0,,,,nan,3.1500,-8.9000,179.946,0.593,0,0.1803,-0.053,0,0,0
745.0,,,,nan,3.1500,-8.9000,179.946,0.593,0,0.1803,-0.053,0,0,0
750.0,,,,nan,3.1500,-8.9000,179.946,0.594,0,0.1803,-0.053,0,0,0
755.0,,,,nan,3.1500,-8.9000,179.946,0.594,0,0.1803,-0.053,0,0,0
760.0,,,,nan,3.1500,-8.9000,179.946,0.595,0,0.1803,-0.053,0,0,0
765.0,,,,nan,3.1500,-8.9000,179.946,0.595,0,0.1803,-0.053,0,0,0
770.0,,,,nan,3.1500,-8.9000,179.946,0.596,0,0.1803,-0.053,0,0,0
