t,robot,x,y
156.0,leo2,0.702,0.008
158.0,leo2,0.702,0.008
160.0,leo2,0.702,0.008
162.0,leo2,0.724,-0.003
164.0,leo2,0.753,-0.055
166.0,leo2,0.721,-0.390
168.0,leo2,0.646,-0.549
170.0,leo2,0.642,-0.554
172.0,leo2,0.651,-0.535
174.0,leo2,0.461,-0.381
176.0,leo2,0.259,0.132
178.0,leo2,0.118,0.547
180.0,leo2,0.093,0.607
182.0,leo2,0.089,0.615
184.0,leo2,0.126,0.602
186.0,leo2,0.037,0.510
188.0,leo2,-0.001,0.136
190.0,leo2,-0.023,-0.463
192.0,leo2,-0.037,-0.997
194.0,leo2,-0.054,-1.270
196.0,leo2,-0.281,-1.484
198.0,leo2,-0.693,-1.764
200.0,leo2,-0.813,-1.850
202.0,leo2,-0.794,-1.842
204.0,leo2,-0.820,-1.825
206.0,leo2,-0.806,-1.866
208.0,leo2,-0.682,-1.678
210.0,leo2,-0.248,-1.361
212.0,leo2,0.269,-0.971
214.0,leo2,0.661,-0.644
216.0,leo2,1.080,-0.548
218.0,leo2,1.601,-0.550
220.0,leo2,2.103,-0.540
222.0,leo2,2.631,-0.554
224.0,leo2,3.158,-0.585
226.0,leo2,3.604,-0.637
228.0,leo2,3.981,-0.872
230.0,leo2,4.407,-1.128
232.0,leo2,4.707,-1.164
234.0,leo2,4.746,-1.240
236.0,leo2,4.755,-1.263
238.0,leo2,4.781,-1.340
240.0,leo2,4.956,-1.104
242.0,leo2,5.032,-0.764
244.0,leo2,5.349,-0.718
246.0,leo2,5.310,-0.756
248.0,leo2,5.236,-0.861
250.0,leo2,5.188,-0.919
252.0,leo2,5.147,-0.965
254.0,leo2,5.104,-1.010
256.0,leo2,5.074,-1.041
258.0,leo2,5.050,-1.065
260.0,leo2,5.032,-1.083
262.0,leo2,5.009,-1.105
264.0,leo2,4.992,-1.121
266.0,leo2,4.975,-1.136
268.0,leo2,4.955,-1.153
270.0,leo2,5.143,-1.460
272.0,leo2,5.132,-1.466
274.0,leo2,5.126,-1.470
276.0,leo2,5.091,-1.489
278.0,leo2,5.053,-1.508
280.0,leo2,5.019,-1.524
282.0,leo2,4.999,-1.534
284.0,leo2,5.077,-1.478
286.0,leo2,5.121,-1.198
288.0,leo2,5.119,-1.194
290.0,leo2,5.118,-1.191
292.0,leo2,5.106,-1.164
294.0,leo2,5.068,-1.085
296.0,leo2,5.023,-1.008
298.0,leo2,5.237,-1.055
300.0,leo2,5.191,-0.991
302.0,leo2,5.158,-0.948
304.0,leo2,5.180,-0.981
306.0,leo2,5.105,-0.925
308.0,leo2,5.111,-0.921
310.0,leo2,5.123,-0.913
312.0,leo2,5.151,-0.893
314.0,leo2,5.189,-0.857
316.0,leo2,5.220,-0.845
318.0,leo2,5.125,-0.787
320.0,leo2,4.915,-0.652
322.0,leo2,4.442,-0.668
324.0,leo2,3.929,-0.678
326.0,leo2,3.406,-0.684
328.0,leo2,2.882,-0.684
330.0,leo2,2.361,-0.681
332.0,leo2,1.853,-0.657
334.0,leo2,1.342,-0.565
336.0,leo2,1.057,-0.490
338.0,leo2,0.644,-0.169
340.0,leo2,0.335,-0.005
342.0,leo2,0.090,-0.060
344.0,leo2,-0.084,-0.250
346.0,leo2,-0.278,-0.729
348.0,leo2,-0.402,-1.243
350.0,leo2,-0.536,-1.751
352.0,leo2,-0.685,-2.239
354.0,leo2,-0.813,-2.724
356.0,leo2,-0.898,-2.811
358.0,leo2,-1.285,-2.925
360.0,leo2,-1.775,-3.136
362.0,leo2,-2.164,-3.446
364.0,leo2,-2.314,-3.858
366.0,leo2,-2.316,-3.877
368.0,leo2,-2.322,-3.777
370.0,leo2,-2.327,-3.673
372.0,leo2,-2.328,-3.642
374.0,leo2,-2.329,-3.640
376.0,leo2,-2.329,-3.640
378.0,leo2,-2.329,-3.640
380.0,leo2,-2.423,-3.649
382.0,leo2,-2.524,-3.659
384.0,leo2,-2.629,-3.670
386.0,leo2,-2.630,-3.670
388.0,leo2,-2.630,-3.670
390.0,leo2,-2.572,-3.699
392.0,leo2,-2.380,-3.954
394.0,leo2,-2.181,-4.436
396.0,leo2,-2.026,-4.879
398.0,leo2,-2.005,-4.892
400.0,leo2,-2.005,-4.892
402.0,leo2,-2.005,-4.892
404.0,leo2,-2.025,-4.914
406.0,leo2,-2.094,-4.989
408.0,leo2,-2.165,-5.065
410.0,leo2,-2.213,-5.118
412.0,leo2,-2.234,-5.118
414.0,leo2,-2.411,-4.936
416.0,leo2,-2.807,-4.737
418.0,leo2,-3.050,-4.816
420.0,leo2,-3.220,-4.932
422.0,leo2,-3.277,-5.409
424.0,leo2,-3.180,-5.727
426.0,leo2,-3.156,-5.746
428.0,leo2,-3.155,-5.745
430.0,leo2,-3.155,-5.745
432.0,leo2,-3.155,-5.745
434.0,leo2,-3.168,-5.763
436.0,leo2,-2.882,-5.988
438.0,leo2,-2.583,-6.374
440.0,leo2,-2.504,-6.884
442.0,leo2,-2.609,-7.391
444.0,leo2,-2.839,-7.824
446.0,leo2,-2.904,-7.885
448.0,leo2,-2.904,-7.885
450.0,leo2,-3.054,-8.052
452.0,leo2,-3.213,-8.512
454.0,leo2,-3.186,-8.861
456.0,leo2,-3.003,-9.024
458.0,leo2,-2.520,-9.215
