t,robot,x,y
156.0,leo1,1.020,0.022
158.0,leo1,1.051,0.011
160.0,leo1,1.112,-0.104
162.0,leo1,1.016,-0.557
164.0,leo1,0.922,-1.076
166.0,leo1,0.854,-1.308
168.0,leo1,0.854,-1.308
170.0,leo1,0.650,-1.573
172.0,leo1,0.290,-1.979
174.0,leo1,0.007,-2.219
176.0,leo1,-0.031,-2.248
178.0,leo1,-0.255,-2.315
180.0,leo1,-0.772,-2.277
182.0,leo1,-1.295,-2.235
184.0,leo1,-1.799,-2.147
186.0,leo1,-2.336,-2.161
188.0,leo1,-2.845,-2.128
190.0,leo1,-3.001,-2.106
192.0,leo1,-2.992,-2.131
194.0,leo1,-2.924,-1.995
196.0,leo1,-2.651,-1.783
198.0,leo1,-2.065,-1.459
200.0,leo1,-1.582,-1.246
202.0,leo1,-1.130,-1.002
204.0,leo1,-0.727,-0.700
206.0,leo1,-0.525,-0.351
208.0,leo1,-0.498,0.136
210.0,leo1,-0.638,0.652
212.0,leo1,-0.885,0.979
214.0,leo1,-1.326,1.185
216.0,leo1,-1.686,1.287
218.0,leo1,-1.983,1.323
220.0,leo1,-2.507,1.341
222.0,leo1,-2.889,1.339
224.0,leo1,-3.263,1.287
226.0,leo1,-3.520,1.193
228.0,leo1,-3.616,1.122
230.0,leo1,-3.632,1.108
232.0,leo1,-3.686,0.841
234.0,leo1,-3.548,0.334
236.0,leo1,-3.448,-0.187
238.0,leo1,-3.346,-0.679
240.0,leo1,-3.129,-1.165
242.0,leo1,-2.868,-1.630
244.0,leo1,-2.573,-2.042
246.0,leo1,-2.248,-2.461
248.0,leo1,-1.856,-2.795
250.0,leo1,-1.421,-3.113
252.0,leo1,-1.099,-3.487
254.0,leo1,-0.963,-3.948
256.0,leo1,-1.090,-4.405
258.0,leo1,-1.424,-4.820
260.0,leo1,-1.721,-5.161
262.0,leo1,-1.804,-5.236
264.0,leo1,-1.805,-5.231
266.0,leo1,-1.805,-5.231
268.0,leo1,-1.805,-5.231
270.0,leo1,-1.805,-5.231
272.0,leo1,-1.805,-5.231
274.0,leo1,-1.794,-5.256
276.0,leo1,-1.651,-5.330
278.0,leo1,-1.187,-5.316
280.0,leo1,-0.619,-5.234
282.0,leo1,-0.104,-5.157
284.0,leo1,0.415,-5.051
286.0,leo1,0.913,-4.938
288.0,leo1,1.299,-4.824
290.0,leo1,1.331,-4.811
292.0,leo1,1.331,-4.811
294.0,leo1,1.331,-4.811
296.0,leo1,1.331,-4.811
298.0,leo1,1.574,-4.776
300.0,leo1,2.099,-4.850
302.0,leo1,2.578,-4.969
304.0,leo1,2.881,-5.010
306.0,leo1,3.392,-5.098
308.0,leo1,3.922,-5.204
310.0,leo1,4.341,-5.309
312.0,leo1,4.462,-5.332
314.0,leo1,4.479,-5.341
316.0,leo1,4.465,-5.297
318.0,leo1,4.452,-5.341
320.0,leo1,4.113,-5.400
322.0,leo1,3.577,-5.381
324.0,leo1,2.956,-5.340
326.0,leo1,2.441,-5.337
328.0,leo1,1.918,-5.346
330.0,leo1,1.463,-5.551
332.0,leo1,1.198,-5.874
334.0,leo1,1.133,-6.304
336.0,leo1,1.313,-6.809
338.0,leo1,1.536,-7.220
340.0,leo1,1.776,-7.688
342.0,leo1,2.014,-8.150
344.0,leo1,2.286,-8.597
346.0,leo1,2.495,-9.065
348.0,leo1,2.579,-9.274
350.0,leo1,2.653,-9.358
352.0,leo1,2.974,-9.479
354.0,leo1,3.488,-9.625
356.0,leo1,3.912,-9.921
358.0,leo1,4.320,-10.209
360.0,leo1,4.473,-10.328
362.0,leo1,4.450,-10.318
364.0,leo1,4.469,-10.301
366.0,leo1,4.472,-10.206
368.0,leo1,4.410,-9.680
370.0,leo1,4.337,-9.059
372.0,leo1,4.273,-8.579
374.0,leo1,4.187,-8.281
376.0,leo1,4.095,-7.841
378.0,leo1,3.998,-7.611
380.0,leo1,3.883,-7.436
382.0,leo1,3.516,-7.183
384.0,leo1,3.098,-7.061
386.0,leo1,2.585,-7.045
388.0,leo1,2.066,-7.048
390.0,leo1,1.595,-6.919
392.0,leo1,1.269,-6.689
394.0,leo1,1.134,-6.222
396.0,leo1,1.158,-5.837
398.0,leo1,1.157,-5.833
400.0,leo1,1.153,-5.835
402.0,leo1,1.164,-5.867
404.0,leo1,1.164,-5.867
406.0,leo1,1.164,-5.867
408.0,leo1,1.232,-5.703
410.0,leo1,1.339,-5.592
412.0,leo1,1.257,-5.651
414.0,leo1,1.174,-5.710
