t,robot,x,y
156.0,leo1,1.015,0.022
158.0,leo1,1.015,0.022
160.0,leo1,1.015,0.022
162.0,leo1,1.015,0.022
164.0,leo1,1.015,0.022
166.0,leo1,1.015,0.022
168.0,leo1,1.015,0.022
170.0,leo1,1.015,0.022
172.0,leo1,1.015,0.022
174.0,leo1,1.015,0.022
176.0,leo1,1.015,0.022
178.0,leo1,1.015,0.022
180.0,leo1,1.015,0.022
182.0,leo1,1.015,0.022
184.0,leo1,1.015,0.022
186.0,leo1,1.015,0.022
188.0,leo1,1.015,0.022
190.0,leo1,1.015,0.022
192.0,leo1,1.015,0.022
194.0,leo1,1.015,0.022
196.0,leo1,1.015,0.022
198.0,leo1,1.015,0.022
200.0,leo1,1.015,0.022
202.0,leo1,1.015,0.022
204.0,leo1,1.015,0.022
206.0,leo1,1.015,0.022
208.0,leo1,1.015,0.022
210.0,leo1,1.015,0.022
212.0,leo1,1.015,0.022
214.0,leo1,1.015,0.022
216.0,leo1,1.015,0.022
218.0,leo1,1.015,0.022
220.0,leo1,1.015,0.022
222.0,leo1,1.015,0.022
224.0,leo1,1.015,0.022
226.0,leo1,1.015,0.022
228.0,leo1,1.015,0.022
230.0,leo1,1.015,0.022
232.0,leo1,1.015,0.022
234.0,leo1,1.015,0.022
236.0,leo1,1.015,0.022
238.0,leo1,1.015,0.022
240.0,leo1,1.015,0.022
242.0,leo1,1.015,0.022
244.0,leo1,1.015,0.022
246.0,leo1,1.015,0.022
248.0,leo1,1.015,0.022
250.0,leo1,1.015,0.022
252.0,leo1,1.015,0.022
254.0,leo1,1.015,0.022
256.0,leo1,1.015,0.022
258.0,leo1,1.015,0.022
260.0,leo1,1.015,0.022
262.0,leo1,1.015,0.022
264.0,leo1,1.015,0.022
266.0,leo1,1.015,0.022
268.0,leo1,1.015,0.022
270.0,leo1,1.015,0.022
272.0,leo1,1.015,0.022
274.0,leo1,1.015,0.022
276.0,leo1,1.015,0.022
278.0,leo1,1.015,0.022
280.0,leo1,1.015,0.022
282.0,leo1,1.015,0.022
284.0,leo1,1.015,0.022
286.0,leo1,1.015,0.022
288.0,leo1,1.015,0.022
290.0,leo1,1.015,0.022
292.0,leo1,1.015,0.022
294.0,leo1,1.015,0.022
296.0,leo1,1.015,0.022
298.0,leo1,1.015,0.022
300.0,leo1,1.015,0.022
302.0,leo1,1.015,0.022
304.0,leo1,1.015,0.022
306.0,leo1,1.015,0.022
308.0,leo1,1.015,0.022
310.0,leo1,1.015,0.022
312.0,leo1,1.015,0.022
314.0,leo1,1.015,0.022
316.0,leo1,1.015,0.022
318.0,leo1,1.015,0.022
320.0,leo1,1.015,0.022
322.0,leo1,1.015,0.022
324.0,leo1,1.015,0.022
326.0,leo1,1.015,0.022
328.0,leo1,1.015,0.022
330.0,leo1,1.015,0.022
332.0,leo1,1.015,0.022
334.0,leo1,1.015,0.022
336.0,leo1,1.015,0.022
338.0,leo1,1.015,0.022
340.0,leo1,1.015,0.022
342.0,leo1,1.015,0.022
344.0,leo1,1.015,0.022
346.0,leo1,1.015,0.022
348.0,leo1,1.015,0.022
350.0,leo1,1.015,0.022
352.0,leo1,1.015,0.022
354.0,leo1,1.015,0.022
356.0,leo1,1.015,0.022
358.0,leo1,1.015,0.022
360.0,leo1,1.015,0.022
362.0,leo1,1.015,0.022
364.0,leo1,1.015,0.022
366.0,leo1,1.015,0.022
368.0,leo1,1.015,0.022
370.0,leo1,1.015,0.022
372.0,leo1,1.015,0.022
374.0,leo1,1.015,0.022
376.0,leo1,1.015,0.022
378.0,leo1,1.015,0.022
380.0,leo1,1.015,0.022
382.0,leo1,1.015,0.022
384.0,leo1,1.015,0.022
386.0,leo1,1.015,0.022
388.0,leo1,1.015,0.022
390.0,leo1,1.015,0.022
392.0,leo1,1.015,0.022
394.0,leo1,1.015,0.022
396.0,leo1,1.015,0.022
398.0,leo1,1.015,0.022
400.0,leo1,1.015,0.022
402.0,leo1,1.015,0.022
404.0,leo1,1.015,0.022
406.0,leo1,1.015,0.022
408.0,leo1,1.015,0.022
410.0,leo1,1.015,0.022
412.0,leo1,1.015,0.022
414.0,leo1,1.015,0.022
416.0,leo1,1.015,0.022
418.0,leo1,1.015,0.022
420.0,leo1,1.015,0.022
422.0,leo1,1.015,0.022
424.0,leo1,1.015,0.022
426.0,leo1,1.015,0.022
428.0,leo1,1.015,0.022
