t,robot,x,y
156.0,leo2,1.179,0.013
158.0,leo2,1.179,0.013
160.0,leo2,1.179,0.013
162.0,leo2,1.179,0.013
164.0,leo2,1.179,0.013
166.0,leo2,1.179,0.013
168.0,leo2,1.179,0.013
170.0,leo2,1.179,0.013
172.0,leo2,1.179,0.013
174.0,leo2,1.179,0.013
176.0,leo2,1.179,0.013
178.0,leo2,1.179,0.013
180.0,leo2,1.179,0.013
182.0,leo2,1.179,0.013
184.0,leo2,1.179,0.013
186.0,leo2,1.179,0.013
188.0,leo2,1.179,0.013
190.0,leo2,1.179,0.013
192.0,leo2,1.179,0.013
194.0,leo2,1.179,0.013
196.0,leo2,1.179,0.013
198.0,leo2,1.179,0.013
200.0,leo2,1.179,0.013
202.0,leo2,1.179,0.013
204.0,leo2,1.179,0.013
206.0,leo2,1.179,0.013
208.0,leo2,1.179,0.013
210.0,leo2,1.179,0.013
212.0,leo2,1.179,0.013
214.0,leo2,1.179,0.013
216.0,leo2,1.179,0.013
218.0,leo2,1.179,0.013
220.0,leo2,1.179,0.013
222.0,leo2,1.179,0.013
224.0,leo2,1.179,0.013
226.0,leo2,1.179,0.013
228.0,leo2,1.179,0.013
230.0,leo2,1.179,0.013
232.0,leo2,1.179,0.013
234.0,leo2,1.179,0.013
236.0,leo2,1.179,0.013
238.0,leo2,1.179,0.013
240.0,leo2,1.179,0.013
242.0,leo2,1.179,0.013
244.0,leo2,1.179,0.013
246.0,leo2,1.179,0.013
248.0,leo2,1.179,0.013
250.0,leo2,1.179,0.013
252.0,leo2,1.179,0.013
254.0,leo2,1.179,0.013
256.0,leo2,1.179,0.013
258.0,leo2,1.179,0.013
260.0,leo2,1.179,0.013
262.0,leo2,1.179,0.013
264.0,leo2,1.179,0.013
266.0,leo2,1.179,0.013
268.0,leo2,1.179,0.013
270.0,leo2,1.179,0.013
272.0,leo2,1.179,0.013
274.0,leo2,1.179,0.013
276.0,leo2,1.179,0.013
278.0,leo2,1.179,0.013
280.0,leo2,1.179,0.013
282.0,leo2,1.179,0.013
284.0,leo2,1.179,0.013
286.0,leo2,1.179,0.013
288.0,leo2,1.179,0.013
290.0,leo2,1.179,0.013
292.0,leo2,1.179,0.013
294.0,leo2,1.179,0.013
296.0,leo2,1.179,0.013
298.0,leo2,1.179,0.013
300.0,leo2,1.179,0.013
302.0,leo2,1.179,0.013
304.0,leo2,1.179,0.013
306.0,leo2,1.179,0.013
308.0,leo2,1.179,0.013
310.0,leo2,1.179,0.013
312.0,leo2,1.179,0.013
314.0,leo2,1.179,0.013
316.0,leo2,1.179,0.013
318.0,leo2,1.179,0.013
320.0,leo2,1.179,0.013
322.0,leo2,1.179,0.013
324.0,leo2,1.179,0.013
326.0,leo2,1.179,0.013
328.0,leo2,1.179,0.013
330.0,leo2,1.179,0.013
332.0,leo2,1.179,0.013
334.0,leo2,1.179,0.013
336.0,leo2,1.179,0.013
338.0,leo2,1.179,0.013
340.0,leo2,1.179,0.013
342.0,leo2,1.179,0.013
344.0,leo2,1.179,0.013
346.0,leo2,1.179,0.013
348.0,leo2,1.179,0.013
350.0,leo2,1.179,0.013
352.0,leo2,1.179,0.013
354.0,leo2,1.179,0.013
356.0,leo2,1.179,0.013
358.0,leo2,1.179,0.013
360.0,leo2,1.179,0.013
362.0,leo2,1.179,0.013
364.0,leo2,1.179,0.013
366.0,leo2,1.179,0.013
368.0,leo2,1.179,0.013
370.0,leo2,1.179,0.013
372.0,leo2,1.179,0.013
374.0,leo2,1.179,0.013
376.0,leo2,1.179,0.013
378.0,leo2,1.179,0.013
380.0,leo2,1.179,0.013
382.0,leo2,1.179,0.013
384.0,leo2,1.179,0.013
386.0,leo2,1.179,0.013
388.0,leo2,1.179,0.013
390.0,leo2,1.179,0.013
392.0,leo2,1.179,0.013
394.0,leo2,1.179,0.013
396.0,leo2,1.179,0.013
398.0,leo2,1.179,0.013
400.0,leo2,1.179,0.013
402.0,leo2,1.179,0.013
404.0,leo2,1.179,0.013
406.0,leo2,1.179,0.013
408.0,leo2,1.179,0.013
410.0,leo2,1.179,0.013
412.0,leo2,1.179,0.013
414.0,leo2,1.179,0.013
416.0,leo2,1.179,0.013
418.0,leo2,1.179,0.013
420.0,leo2,1.179,0.013
422.0,leo2,1.179,0.013
424.0,leo2,1.179,0.013
426.0,leo2,1.179,0.013
428.0,leo2,1.179,0.013
430.0,leo2,1.179,0.013
432.0,leo2,1.179,0.013
434.0,leo2,1.179,0.013
436.0,leo2,1.179,0.013
438.0,leo2,1.179,0.013
440.0,leo2,1.179,0.013
442.0,leo2,1.179,0.013
444.0,leo2,1.179,0.013
446.0,leo2,1.179,0.013
448.0,leo2,1.179,0.013
450.0,leo2,1.179,0.013
452.0,leo2,1.179,0.013
454.0,leo2,1.179,0.013
456.0,leo2,1.179,0.013
458.0,leo2,1.179,0.013
