t,robot,x,y
156.0,leo1,1.012,0.023
158.0,leo1,1.012,0.023
160.0,leo1,1.012,0.023
162.0,leo1,1.046,0.010
164.0,leo1,1.105,-0.112
166.0,leo1,1.018,-0.587
168.0,leo1,0.911,-1.085
170.0,leo1,0.851,-1.257
172.0,leo1,0.851,-1.257
174.0,leo1,0.847,-1.264
176.0,leo1,0.853,-1.244
178.0,leo1,0.790,-1.164
180.0,leo1,0.754,-0.748
182.0,leo1,0.768,-0.132
184.0,leo1,0.767,0.386
186.0,leo1,0.754,0.594
188.0,leo1,0.767,0.591
190.0,leo1,0.638,0.532
192.0,leo1,0.263,0.107
194.0,leo1,-0.103,-0.279
196.0,leo1,-0.464,-0.651
198.0,leo1,-0.833,-1.014
200.0,leo1,-1.222,-1.377
202.0,leo1,-1.598,-1.747
204.0,leo1,-1.863,-2.109
206.0,leo1,-1.870,-2.129
208.0,leo1,-1.877,-2.109
210.0,leo1,-1.893,-2.058
212.0,leo1,-1.827,-1.725
214.0,leo1,-1.498,-1.294
216.0,leo1,-1.094,-0.962
218.0,leo1,-0.692,-0.651
220.0,leo1,-0.507,-0.305
222.0,leo1,-0.510,0.197
224.0,leo1,-0.624,0.677
226.0,leo1,-0.919,1.017
228.0,leo1,-1.326,1.178
230.0,leo1,-1.855,1.264
232.0,leo1,-2.342,1.404
234.0,leo1,-2.842,1.592
236.0,leo1,-3.181,1.759
238.0,leo1,-3.641,1.905
240.0,leo1,-3.961,2.023
242.0,leo1,-3.984,2.035
244.0,leo1,-3.984,2.035
246.0,leo1,-3.982,2.023
248.0,leo1,-4.031,1.949
250.0,leo1,-4.032,1.614
252.0,leo1,-3.875,1.056
254.0,leo1,-3.712,0.542
256.0,leo1,-3.531,0.060
258.0,leo1,-3.416,-0.425
260.0,leo1,-3.253,-0.938
262.0,leo1,-3.012,-1.403
264.0,leo1,-2.720,-1.850
266.0,leo1,-2.412,-2.246
268.0,leo1,-2.062,-2.619
270.0,leo1,-1.624,-2.942
272.0,leo1,-1.244,-3.261
274.0,leo1,-1.025,-3.667
276.0,leo1,-1.082,-4.181
278.0,leo1,-1.351,-4.636
280.0,leo1,-1.625,-5.000
282.0,leo1,-1.775,-5.123
284.0,leo1,-1.769,-5.111
286.0,leo1,-1.735,-5.150
288.0,leo1,-1.474,-5.252
290.0,leo1,-0.886,-5.256
292.0,leo1,-0.359,-5.322
294.0,leo1,0.128,-5.400
296.0,leo1,0.638,-5.554
298.0,leo1,0.939,-5.879
300.0,leo1,1.110,-6.329
302.0,leo1,1.313,-6.820
304.0,leo1,1.616,-7.226
306.0,leo1,1.939,-7.642
308.0,leo1,2.298,-8.023
