t,robot,x,y
146.0,leo2,2.115,0.020
148.0,leo2,2.115,0.020
150.0,leo2,2.115,0.020
152.0,leo2,2.115,0.020
154.0,leo2,2.115,0.020
156.0,leo2,2.115,0.020
158.0,leo2,2.124,0.018
160.0,leo2,2.137,0.014
162.0,leo2,2.094,-0.029
164.0,leo2,1.843,-0.228
166.0,leo2,1.294,-0.498
168.0,leo2,0.841,-0.783
170.0,leo2,0.471,-1.001
172.0,leo2,-0.029,-1.212
174.0,leo2,-0.486,-1.440
176.0,leo2,-0.889,-1.699
178.0,leo2,-0.968,-1.772
180.0,leo2,-0.968,-1.772
182.0,leo2,-1.111,-1.838
184.0,leo2,-1.625,-1.944
186.0,leo2,-2.111,-2.081
188.0,leo2,-2.611,-2.320
190.0,leo2,-3.041,-2.562
192.0,leo2,-3.474,-2.759
194.0,leo2,-3.607,-2.813
196.0,leo2,-3.607,-2.813
198.0,leo2,-3.771,-2.828
200.0,leo2,-4.260,-2.648
202.0,leo2,-4.719,-2.404
204.0,leo2,-5.166,-2.134
206.0,leo2,-5.586,-1.852
208.0,leo2,-5.876,-1.654
210.0,leo2,-5.877,-1.654
212.0,leo2,-5.854,-1.667
214.0,leo2,-5.877,-1.676
216.0,leo2,-5.526,-1.759
218.0,leo2,-4.967,-2.021
220.0,leo2,-4.501,-2.247
222.0,leo2,-4.153,-2.344
224.0,leo2,-3.656,-2.460
226.0,leo2,-3.164,-2.659
228.0,leo2,-2.690,-2.927
230.0,leo2,-2.304,-3.248
232.0,leo2,-2.068,-3.599
234.0,leo2,-2.064,-4.113
236.0,leo2,-2.207,-4.546
238.0,leo2,-2.411,-4.869
240.0,leo2,-2.763,-5.081
242.0,leo2,-3.219,-5.334
244.0,leo2,-3.401,-5.474
246.0,leo2,-3.473,-5.573
248.0,leo2,-3.795,-5.888
250.0,leo2,-3.938,-6.289
252.0,leo2,-4.127,-6.791
254.0,leo2,-4.461,-7.193
256.0,leo2,-4.814,-7.550
258.0,leo2,-5.008,-7.814
260.0,leo2,-5.235,-8.295
262.0,leo2,-5.514,-8.737
264.0,leo2,-5.780,-9.170
266.0,leo2,-5.933,-9.393
268.0,leo2,-5.933,-9.394
270.0,leo2,-5.924,-9.370
272.0,leo2,-5.911,-9.387
274.0,leo2,-5.910,-9.366
276.0,leo2,-5.694,-9.197
278.0,leo2,-5.390,-8.670
280.0,leo2,-5.160,-8.282
282.0,leo2,-4.841,-8.127
284.0,leo2,-4.327,-8.097
286.0,leo2,-3.803,-8.117
288.0,leo2,-3.263,-8.121
290.0,leo2,-2.758,-8.141
292.0,leo2,-2.240,-8.226
294.0,leo2,-2.083,-8.271
296.0,leo2,-2.043,-8.366
298.0,leo2,-2.140,-8.832
300.0,leo2,-2.197,-9.370
302.0,leo2,-2.299,-9.881
304.0,leo2,-2.364,-10.394
306.0,leo2,-2.480,-10.887
308.0,leo2,-2.645,-11.358
310.0,leo2,-2.705,-11.525
312.0,leo2,-2.666,-11.513
314.0,leo2,-2.734,-11.459
316.0,leo2,-2.794,-11.125
318.0,leo2,-2.793,-10.523
320.0,leo2,-2.804,-9.999
322.0,leo2,-2.808,-9.495
324.0,leo2,-2.876,-9.100
326.0,leo2,-2.890,-8.672
328.0,leo2,-2.919,-8.142
330.0,leo2,-2.932,-7.708
332.0,leo2,-2.934,-7.704
334.0,leo2,-3.017,-7.609
336.0,leo2,-3.215,-7.181
338.0,leo2,-3.567,-6.828
340.0,leo2,-3.852,-6.439
342.0,leo2,-3.855,-5.992
344.0,leo2,-3.783,-5.779
346.0,leo2,-3.783,-5.779
348.0,leo2,-3.783,-5.779
350.0,leo2,-3.738,-5.718
352.0,leo2,-3.812,-5.792
354.0,leo2,-3.884,-5.863
356.0,leo2,-3.923,-5.903
358.0,leo2,-3.929,-5.894
360.0,leo2,-3.929,-5.894
362.0,leo2,-3.929,-5.894
364.0,leo2,-3.929,-5.894
366.0,leo2,-4.246,-5.661
368.0,leo2,-4.693,-5.525
370.0,leo2,-5.216,-5.498
372.0,leo2,-5.719,-5.503
374.0,leo2,-6.230,-5.494
376.0,leo2,-6.764,-5.507
378.0,leo2,-6.958,-5.505
380.0,leo2,-6.964,-5.507
382.0,leo2,-6.942,-5.500
384.0,leo2,-6.767,-5.425
386.0,leo2,-6.152,-5.407
388.0,leo2,-5.617,-5.398
390.0,leo2,-5.118,-5.401
392.0,leo2,-4.592,-5.400
394.0,leo2,-4.051,-5.395
396.0,leo2,-3.546,-5.390
398.0,leo2,-3.031,-5.381
400.0,leo2,-2.510,-5.325
402.0,leo2,-1.984,-5.272
404.0,leo2,-1.476,-5.218
406.0,leo2,-0.949,-5.204
408.0,leo2,-0.442,-5.198
410.0,leo2,0.074,-5.183
412.0,leo2,0.611,-5.137
414.0,leo2,1.101,-5.099
416.0,leo2,1.627,-5.099
418.0,leo2,2.162,-5.104
420.0,leo2,2.696,-5.108
422.0,leo2,3.197,-5.109
424.0,leo2,3.709,-5.109
426.0,leo2,4.253,-5.109
428.0,leo2,4.767,-5.109
430.0,leo2,5.303,-5.110
432.0,leo2,5.818,-5.104
434.0,leo2,6.350,-5.097
436.0,leo2,6.840,-5.102
438.0,leo2,7.370,-5.107
440.0,leo2,7.912,-5.100
442.0,leo2,8.408,-5.088
444.0,leo2,8.924,-5.081
446.0,leo2,9.442,-5.016
448.0,leo2,9.971,-4.937
450.0,leo2,10.176,-4.902
452.0,leo2,10.165,-4.930
454.0,leo2,10.130,-4.898
456.0,leo2,9.824,-4.830
458.0,leo2,9.242,-4.840
460.0,leo2,8.664,-4.863
462.0,leo2,8.163,-4.864
464.0,leo2,7.639,-4.877
466.0,leo2,7.123,-4.885
468.0,leo2,6.611,-4.976
470.0,leo2,6.087,-5.091
472.0,leo2,5.593,-5.231
474.0,leo2,5.077,-5.342
