t,robot,x,y
52.0,leo1,1.089,-0.000
54.0,leo1,1.089,-0.000
56.0,leo1,1.089,-0.000
58.0,leo1,1.090,0.037
60.0,leo1,1.055,0.036
62.0,leo1,0.981,0.039
64.0,leo1,0.746,0.113
66.0,leo1,0.207,0.107
68.0,leo1,-0.313,0.108
70.0,leo1,-0.803,0.121
72.0,leo1,-1.309,0.114
74.0,leo1,-1.782,0.048
76.0,leo1,-2.301,0.072
78.0,leo1,-2.839,0.119
80.0,leo1,-3.358,0.139
82.0,leo1,-3.867,0.120
84.0,leo1,-4.264,0.101
86.0,leo1,-4.712,0.092
88.0,leo1,-5.250,0.087
90.0,leo1,-5.772,0.081
92.0,leo1,-6.291,0.051
94.0,leo1,-6.809,-0.012
96.0,leo1,-7.328,-0.031
98.0,leo1,-7.847,-0.075
100.0,leo1,-8.287,-0.197
102.0,leo1,-8.388,-0.237
104.0,leo1,-8.388,-0.237
106.0,leo1,-8.388,-0.253
108.0,leo1,-8.328,-0.252
110.0,leo1,-8.223,-0.302
112.0,leo1,-7.863,-0.329
114.0,leo1,-7.353,-0.327
116.0,leo1,-6.833,-0.327
118.0,leo1,-6.313,-0.327
120.0,leo1,-5.793,-0.327
122.0,leo1,-5.273,-0.327
124.0,leo1,-4.753,-0.333
126.0,leo1,-4.233,-0.328
128.0,leo1,-3.713,-0.323
130.0,leo1,-3.193,-0.326
132.0,leo1,-2.673,-0.326
134.0,leo1,-2.153,-0.327
136.0,leo1,-1.633,-0.327
138.0,leo1,-1.113,-0.327
140.0,leo1,-0.593,-0.327
142.0,leo1,-0.073,-0.327
144.0,leo1,0.447,-0.327
146.0,leo1,0.957,-0.327
148.0,leo1,1.477,-0.328
150.0,leo1,2.007,-0.327
152.0,leo1,2.527,-0.327
154.0,leo1,3.047,-0.321
156.0,leo1,3.557,-0.311
158.0,leo1,4.077,-0.306
160.0,leo1,4.586,-0.320
162.0,leo1,5.106,-0.317
164.0,leo1,5.646,-0.308
166.0,leo1,6.166,-0.291
168.0,leo1,6.685,-0.250
170.0,leo1,7.151,-0.213
172.0,leo1,7.151,-0.186
174.0,leo1,7.076,-0.187
176.0,leo1,6.957,-0.117
178.0,leo1,6.497,0.020
180.0,leo1,6.000,0.182
182.0,leo1,5.482,0.325
184.0,leo1,4.969,0.385
186.0,leo1,4.460,0.402
188.0,leo1,3.940,0.417
190.0,leo1,3.430,0.421
192.0,leo1,2.910,0.423
194.0,leo1,2.370,0.423
196.0,leo1,1.868,0.423
198.0,leo1,1.350,0.423
200.0,leo1,0.830,0.429
202.0,leo1,0.388,0.533
204.0,leo1,0.153,0.761
206.0,leo1,0.027,1.178
208.0,leo1,0.021,1.698
210.0,leo1,0.022,2.218
212.0,leo1,0.016,2.738
214.0,leo1,-0.011,3.258
216.0,leo1,-0.027,3.777
218.0,leo1,-0.020,4.069
220.0,leo1,0.065,4.127
222.0,leo1,0.448,4.250
224.0,leo1,0.923,4.382
226.0,leo1,1.376,4.463
228.0,leo1,1.838,4.709
230.0,leo1,2.280,4.985
232.0,leo1,2.592,5.201
234.0,leo1,2.608,5.193
236.0,leo1,2.610,5.132
238.0,leo1,2.560,5.073
240.0,leo1,2.383,4.699
242.0,leo1,2.096,4.265
244.0,leo1,1.787,3.846
246.0,leo1,1.483,3.425
248.0,leo1,1.175,3.005
250.0,leo1,0.866,2.587
252.0,leo1,0.546,2.177
254.0,leo1,0.233,1.763
256.0,leo1,0.027,1.287
258.0,leo1,-0.172,0.802
260.0,leo1,-0.419,0.528
262.0,leo1,-0.889,0.394
264.0,leo1,-1.330,0.351
266.0,leo1,-1.752,0.271
268.0,leo1,-2.201,0.194
270.0,leo1,-2.509,0.168
272.0,leo1,-2.994,0.012
274.0,leo1,-3.337,-0.045
276.0,leo1,-3.830,-0.207
278.0,leo1,-4.334,-0.363
280.0,leo1,-4.791,-0.395
282.0,leo1,-5.304,-0.461
284.0,leo1,-5.728,-0.664
286.0,leo1,-5.917,-0.980
288.0,leo1,-5.969,-1.484
290.0,leo1,-5.970,-2.004
292.0,leo1,-5.975,-2.524
294.0,leo1,-5.962,-2.789
296.0,leo1,-5.798,-2.974
298.0,leo1,-5.363,-3.256
300.0,leo1,-4.945,-3.566
302.0,leo1,-4.569,-3.925
304.0,leo1,-4.197,-4.289
306.0,leo1,-3.841,-4.616
308.0,leo1,-3.725,-4.696
310.0,leo1,-3.461,-4.912
312.0,leo1,-3.106,-5.230
314.0,leo1,-3.004,-5.329
316.0,leo1,-3.004,-5.329
