t,robot,x,y
52.0,leo1,1.059,-0.000
54.0,leo1,1.059,-0.000
56.0,leo1,1.059,-0.000
58.0,leo1,1.059,0.034
60.0,leo1,1.021,0.033
62.0,leo1,0.936,0.049
64.0,leo1,0.644,0.103
66.0,leo1,0.144,0.103
68.0,leo1,-0.376,0.107
70.0,leo1,-0.896,0.124
72.0,leo1,-1.413,0.086
74.0,leo1,-1.857,0.055
76.0,leo1,-2.377,0.038
78.0,leo1,-2.887,0.035
80.0,leo1,-3.407,0.021
82.0,leo1,-3.937,0.021
84.0,leo1,-4.334,0.022
86.0,leo1,-4.774,0.020
88.0,leo1,-5.274,0.020
90.0,leo1,-5.794,0.020
92.0,leo1,-6.334,0.020
94.0,leo1,-6.854,0.027
96.0,leo1,-7.363,0.032
98.0,leo1,-7.883,0.033
100.0,leo1,-8.354,0.034
102.0,leo1,-8.485,0.036
104.0,leo1,-8.485,0.036
106.0,leo1,-8.486,0.067
108.0,leo1,-8.457,0.069
110.0,leo1,-8.371,0.085
112.0,leo1,-8.117,0.145
114.0,leo1,-7.597,0.136
116.0,leo1,-7.077,0.135
118.0,leo1,-6.557,0.134
120.0,leo1,-6.037,0.134
122.0,leo1,-5.527,0.131
124.0,leo1,-4.997,0.128
126.0,leo1,-4.477,0.128
128.0,leo1,-3.957,0.128
130.0,leo1,-3.437,0.128
132.0,leo1,-2.917,0.128
134.0,leo1,-2.397,0.128
136.0,leo1,-1.887,0.128
138.0,leo1,-1.367,0.128
140.0,leo1,-0.837,0.128
142.0,leo1,-0.327,0.128
144.0,leo1,0.193,0.128
146.0,leo1,0.723,0.128
148.0,leo1,1.243,0.128
150.0,leo1,1.773,0.128
152.0,leo1,2.293,0.128
154.0,leo1,2.803,0.128
156.0,leo1,3.323,0.128
158.0,leo1,3.843,0.128
160.0,leo1,4.363,0.128
162.0,leo1,4.883,0.128
164.0,leo1,5.393,0.128
166.0,leo1,5.913,0.128
168.0,leo1,6.443,0.129
170.0,leo1,6.765,0.140
172.0,leo1,6.761,0.163
174.0,leo1,6.668,0.165
176.0,leo1,6.510,0.293
178.0,leo1,6.025,0.343
180.0,leo1,5.506,0.363
182.0,leo1,5.006,0.377
184.0,leo1,4.486,0.380
186.0,leo1,3.976,0.381
188.0,leo1,3.457,0.381
190.0,leo1,2.928,0.404
192.0,leo1,2.408,0.418
194.0,leo1,1.898,0.428
196.0,leo1,1.435,0.431
198.0,leo1,1.235,0.427
200.0,leo1,1.208,0.427
202.0,leo1,1.111,0.374
204.0,leo1,0.735,0.390
206.0,leo1,0.299,0.591
208.0,leo1,0.083,0.919
210.0,leo1,0.053,1.361
212.0,leo1,0.040,1.880
214.0,leo1,0.037,2.400
216.0,leo1,0.038,2.920
218.0,leo1,0.058,3.230
220.0,leo1,0.299,3.559
222.0,leo1,0.678,3.916
224.0,leo1,1.058,4.270
226.0,leo1,1.460,4.600
228.0,leo1,1.869,4.921
230.0,leo1,2.129,5.144
232.0,leo1,2.129,5.144
234.0,leo1,2.129,5.131
236.0,leo1,2.129,5.049
238.0,leo1,2.102,5.006
240.0,leo1,1.977,4.678
242.0,leo1,1.731,4.217
244.0,leo1,1.497,3.753
246.0,leo1,1.242,3.298
248.0,leo1,0.978,2.849
250.0,leo1,0.697,2.411
252.0,leo1,0.406,1.978
254.0,leo1,0.142,1.536
256.0,leo1,-0.039,1.049
258.0,leo1,-0.301,0.640
260.0,leo1,-0.656,0.460
262.0,leo1,-1.171,0.400
264.0,leo1,-1.693,0.323
266.0,leo1,-2.200,0.265
268.0,leo1,-2.700,0.179
270.0,leo1,-3.203,0.059
272.0,leo1,-3.713,-0.046
274.0,leo1,-4.219,-0.163
276.0,leo1,-4.738,-0.279
278.0,leo1,-5.246,-0.404
280.0,leo1,-5.696,-0.603
282.0,leo1,-5.891,-0.858
284.0,leo1,-6.033,-1.350
286.0,leo1,-6.246,-1.831
288.0,leo1,-6.519,-2.277
290.0,leo1,-6.809,-2.710
292.0,leo1,-7.010,-3.023
294.0,leo1,-7.021,-3.040
296.0,leo1,-7.021,-3.040
298.0,leo1,-7.129,-3.132
300.0,leo1,-7.555,-3.251
302.0,leo1,-8.053,-3.406
304.0,leo1,-8.544,-3.585
306.0,leo1,-9.034,-3.760
308.0,leo1,-9.513,-3.971
310.0,leo1,-9.921,-4.266
312.0,leo1,-10.080,-4.478
314.0,leo1,-10.082,-4.479
316.0,leo1,-10.082,-4.479
318.0,leo1,-10.081,-4.456
320.0,leo1,-10.082,-4.385
322.0,leo1,-10.022,-4.385
324.0,leo1,-9.878,-4.214
326.0,leo1,-9.518,-4.020
328.0,leo1,-9.052,-3.785
330.0,leo1,-8.613,-3.503
332.0,leo1,-8.210,-3.218
334.0,leo1,-7.845,-2.891
336.0,leo1,-7.439,-2.568
338.0,leo1,-7.018,-2.262
340.0,leo1,-6.605,-1.948
342.0,leo1,-6.236,-1.605
344.0,leo1,-6.042,-1.179
346.0,leo1,-6.088,-0.778
348.0,leo1,-6.432,-0.394
350.0,leo1,-6.827,-0.069
352.0,leo1,-7.238,0.250
354.0,leo1,-7.652,0.560
356.0,leo1,-7.932,0.907
358.0,leo1,-8.052,1.388
360.0,leo1,-8.261,1.863
362.0,leo1,-8.565,2.287
364.0,leo1,-8.895,2.689
366.0,leo1,-9.163,3.002
368.0,leo1,-9.187,3.045
370.0,leo1,-9.168,3.050
372.0,leo1,-9.039,3.205
374.0,leo1,-8.641,3.473
376.0,leo1,-8.204,3.757
378.0,leo1,-7.767,4.056
380.0,leo1,-7.361,4.381
382.0,leo1,-7.019,4.667
384.0,leo1,-6.945,4.727
386.0,leo1,-6.946,4.698
388.0,leo1,-6.930,4.619
390.0,leo1,-6.874,4.353
392.0,leo1,-6.889,3.834
394.0,leo1,-6.903,3.314
396.0,leo1,-6.929,2.794
398.0,leo1,-7.055,2.399
400.0,leo1,-7.412,2.024
402.0,leo1,-7.786,1.682
