t,robot,x,y
58.0,leo1,1.140,-0.000
58.0,leo2,3.107,-0.000
60.0,leo1,1.140,-0.000
60.0,leo2,3.107,-0.000
62.0,leo1,1.140,-0.000
62.0,leo2,3.107,-0.000
64.0,leo1,1.140,-0.000
64.0,leo2,3.107,-0.000
66.0,leo1,1.140,0.038
66.0,leo2,3.508,-0.015
68.0,leo1,1.117,0.039
68.0,leo2,3.827,-0.017
70.0,leo1,1.027,0.040
70.0,leo2,3.828,-0.054
72.0,leo1,0.884,0.108
72.0,leo2,3.807,-0.059
74.0,leo1,0.343,0.107
74.0,leo2,3.690,-0.112
76.0,leo1,-0.165,0.108
76.0,leo2,3.417,-0.299
78.0,leo1,-0.686,0.116
78.0,leo2,3.147,-0.500
80.0,leo1,-1.216,0.125
80.0,leo2,3.071,-0.598
82.0,leo1,-1.694,0.088
82.0,leo2,3.093,-0.598
84.0,leo1,-2.172,0.076
84.0,leo2,3.168,-0.598
86.0,leo1,-2.682,0.081
86.0,leo2,3.208,-0.559
88.0,leo1,-3.200,0.129
88.0,leo2,3.640,-0.454
90.0,leo1,-3.710,0.119
90.0,leo2,4.159,-0.430
92.0,leo1,-4.217,0.105
92.0,leo2,4.679,-0.419
94.0,leo1,-4.433,0.079
94.0,leo2,5.193,-0.446
96.0,leo1,-4.433,0.079
96.0,leo2,5.707,-0.405
98.0,leo1,-4.796,0.061
98.0,leo2,6.220,-0.368
100.0,leo1,-5.336,0.059
100.0,leo2,6.662,-0.340
102.0,leo1,-5.851,0.059
102.0,leo2,6.749,-0.319
104.0,leo1,-6.376,0.059
104.0,leo2,6.749,-0.319
106.0,leo1,-6.896,0.050
106.0,leo2,6.749,-0.319
108.0,leo1,-7.411,0.045
108.0,leo2,6.749,-0.319
110.0,leo1,-7.967,0.034
110.0,leo2,7.085,-0.286
112.0,leo1,-8.444,-0.020
112.0,leo2,7.613,-0.235
114.0,leo1,-8.947,-0.112
114.0,leo2,8.136,-0.178
116.0,leo1,-9.476,-0.114
116.0,leo2,8.177,-0.167
118.0,leo1,-9.981,-0.122
118.0,leo2,8.165,-0.167
120.0,leo1,-10.312,-0.154
120.0,leo2,8.165,-0.167
122.0,leo1,-10.312,-0.181
122.0,leo2,8.166,-0.167
124.0,leo1,-10.283,-0.182
124.0,leo2,8.222,-0.167
126.0,leo1,-10.198,-0.182
126.0,leo2,8.345,-0.124
128.0,leo1,-10.053,-0.224
128.0,leo2,8.830,-0.121
130.0,leo1,-9.556,-0.210
130.0,leo2,9.349,-0.091
132.0,leo1,-9.015,-0.208
132.0,leo2,9.864,-0.016
134.0,leo1,-8.505,-0.208
134.0,leo2,10.361,0.103
136.0,leo1,-7.964,-0.207
