t,robot,x,y
58.0,leo1,1.117,-0.000
58.0,leo2,3.061,-0.000
60.0,leo1,1.117,-0.000
60.0,leo2,3.061,-0.000
62.0,leo1,1.117,-0.000
62.0,leo2,3.061,-0.000
64.0,leo1,1.117,-0.000
64.0,leo2,3.061,-0.000
66.0,leo1,1.118,0.039
66.0,leo2,3.473,-0.014
68.0,leo1,1.092,0.040
68.0,leo2,3.838,-0.018
70.0,leo1,1.005,0.041
70.0,leo2,3.838,-0.054
72.0,leo1,0.870,0.092
72.0,leo2,3.817,-0.059
74.0,leo1,0.366,0.100
74.0,leo2,3.690,-0.146
76.0,leo1,-0.123,0.103
76.0,leo2,3.416,-0.355
78.0,leo1,-0.668,0.112
78.0,leo2,3.187,-0.548
80.0,leo1,-1.183,0.104
80.0,leo2,3.125,-0.646
82.0,leo1,-1.734,0.093
82.0,leo2,3.155,-0.646
84.0,leo1,-2.228,0.066
84.0,leo2,3.219,-0.646
86.0,leo1,-2.723,0.033
86.0,leo2,3.260,-0.588
88.0,leo1,-3.262,-0.013
88.0,leo2,3.699,-0.475
90.0,leo1,-3.436,-0.006
90.0,leo2,4.228,-0.449
92.0,leo1,-3.436,-0.006
92.0,leo2,4.748,-0.444
94.0,leo1,-3.436,-0.006
94.0,leo2,5.268,-0.425
96.0,leo1,-3.436,-0.006
96.0,leo2,5.527,-0.390
98.0,leo1,-3.739,-0.006
98.0,leo2,5.519,-0.391
100.0,leo1,-4.253,-0.025
100.0,leo2,5.599,-0.391
102.0,leo1,-4.753,-0.029
102.0,leo2,5.695,-0.335
104.0,leo1,-5.278,-0.033
104.0,leo2,6.062,-0.321
106.0,leo1,-5.829,-0.047
106.0,leo2,6.559,-0.325
108.0,leo1,-6.323,-0.050
108.0,leo2,6.736,-0.320
110.0,leo1,-6.869,-0.053
110.0,leo2,7.146,-0.319
112.0,leo1,-7.383,-0.060
112.0,leo2,7.666,-0.325
114.0,leo1,-7.903,-0.075
114.0,leo2,8.186,-0.326
116.0,leo1,-8.449,-0.078
116.0,leo2,8.726,-0.324
118.0,leo1,-8.941,-0.079
118.0,leo2,9.246,-0.316
120.0,leo1,-9.200,-0.094
120.0,leo2,9.745,-0.279
122.0,leo1,-9.200,-0.124
122.0,leo2,10.194,-0.198
124.0,leo1,-9.187,-0.129
124.0,leo2,10.274,-0.175
126.0,leo1,-9.089,-0.130
126.0,leo2,10.274,-0.175
128.0,leo1,-8.997,-0.169
128.0,leo2,10.274,-0.175
130.0,leo1,-8.533,-0.174
130.0,leo2,10.275,-0.151
132.0,leo1,-7.998,-0.178
132.0,leo2,10.244,-0.151
134.0,leo1,-7.473,-0.179
134.0,leo2,10.163,-0.150
136.0,leo1,-6.983,-0.179
136.0,leo2,9.933,-0.071
138.0,leo1,-6.458,-0.179
138.0,leo2,9.418,-0.076
140.0,leo1,-5.954,-0.184
140.0,leo2,8.898,-0.075
142.0,leo1,-5.377,-0.193
142.0,leo2,8.388,-0.077
144.0,leo1,-4.889,-0.196
144.0,leo2,7.875,-0.117
146.0,leo1,-4.368,-0.203
146.0,leo2,7.374,-0.268
148.0,leo1,-3.864,-0.198
148.0,leo2,6.859,-0.376
150.0,leo1,-3.499,-0.190
150.0,leo2,6.375,-0.576
152.0,leo1,-3.500,-0.157
152.0,leo2,6.138,-0.860
154.0,leo1,-3.587,-0.157
154.0,leo2,6.031,-1.294
156.0,leo1,-3.622,-0.156
156.0,leo2,5.749,-1.705
158.0,leo1,-3.880,-0.170
158.0,leo2,5.454,-1.927
160.0,leo1,-4.220,-0.241
160.0,leo2,5.452,-1.931
162.0,leo1,-4.693,-0.394
162.0,leo2,5.390,-2.008
164.0,leo1,-5.197,-0.442
164.0,leo2,5.368,-2.378
166.0,leo1,-5.653,-0.576
166.0,leo2,5.299,-2.895
168.0,leo1,-5.864,-0.834
168.0,leo2,5.212,-3.244
170.0,leo1,-5.959,-1.279
170.0,leo2,5.126,-3.416
172.0,leo1,-5.957,-1.799
172.0,leo2,4.998,-3.574
174.0,leo1,-5.958,-2.340
174.0,leo2,4.998,-3.574
176.0,leo1,-5.955,-2.818
176.0,leo2,4.996,-3.577
178.0,leo1,-5.900,-3.131
178.0,leo2,4.636,-3.952
180.0,leo1,-5.664,-3.358
180.0,leo2,4.255,-4.306
182.0,leo1,-5.261,-3.621
182.0,leo2,3.846,-4.626
184.0,leo1,-4.878,-3.928
184.0,leo2,3.440,-4.934
186.0,leo1,-4.494,-4.262
186.0,leo2,3.314,-5.040
188.0,leo1,-4.116,-4.580
188.0,leo2,3.384,-5.039
190.0,leo1,-3.814,-4.836
190.0,leo2,3.444,-5.050
192.0,leo1,-3.802,-4.847
192.0,leo2,3.670,-5.077
194.0,leo1,-3.695,-4.904
194.0,leo2,4.158,-4.929
196.0,leo1,-3.202,-4.909
196.0,leo2,4.642,-4.732
