[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-13-21-50-45-139071-18f95b0ea3a3-269
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [python3-1]: process started with pid [364]
[INFO] [static_transform_publisher-2]: process started with pid [366]
[INFO] [static_transform_publisher-3]: process started with pid [368]
[static_transform_publisher-2] [INFO] [1783979445.408738444] [map_to_leo1_map]: Spinning until stopped - publishing transform
[static_transform_publisher-2] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-2] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-2] from 'map' to 'leo1/map'
[static_transform_publisher-3] [INFO] [1783979445.421141953] [map_to_leo2_map]: Spinning until stopped - publishing transform
[static_transform_publisher-3] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-3] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-3] from 'map' to 'leo2/map'
[python3-1] [INFO] [1783979536.236211851] [map_compositor]: registered leo2: offset (-0.025, 0.025, -0.35deg) score=0.455
[python3-1] [INFO] [1783979572.545127486] [map_compositor]: registered leo2: offset (-0.010, 0.005, -0.05deg) score=0.463
[python3-1] [INFO] [1783979607.384753235] [map_compositor]: registered leo2: offset (-0.010, 0.010, -0.15deg) score=0.476
[python3-1] [INFO] [1783979642.593032559] [map_compositor]: registered leo2: offset (-0.010, 0.010, -0.25deg) score=0.464
[python3-1] [INFO] [1783979677.157839510] [map_compositor]: registered leo2: offset (-0.000, -0.005, -0.20deg) score=0.449
[python3-1] [INFO] [1783979711.987417353] [map_compositor]: registered leo2: offset (-0.010, -0.010, -0.15deg) score=0.517
[python3-1] [INFO] [1783979746.972336041] [map_compositor]: registered leo2: offset (-0.010, -0.010, -0.10deg) score=0.449
[python3-1] [INFO] [1783979781.526638193] [map_compositor]: registered leo2: offset (-0.005, -0.000, -0.30deg) score=0.489
[python3-1] [INFO] [1783979815.987521614] [map_compositor]: registered leo2: offset (-0.010, -0.015, -0.25deg) score=0.511
[python3-1] [INFO] [1783979850.663879425] [map_compositor]: registered leo2: offset (-0.015, -0.015, -0.20deg) score=0.515
[python3-1] [INFO] [1783979886.798361964] [map_compositor]: registered leo2: offset (-0.020, -0.015, -0.15deg) score=0.385
[python3-1] [INFO] [1783979921.292755708] [map_compositor]: registered leo2: offset (-0.010, 0.005, -0.25deg) score=0.361
[python3-1] [INFO] [1783979955.891589037] [map_compositor]: registered leo2: offset (-0.010, 0.000, -0.20deg) score=0.434
[python3-1] [INFO] [1783979990.417901561] [map_compositor]: registered leo2: offset (0.000, -0.005, -0.30deg) score=0.417
[python3-1] [INFO] [1783980025.048603559] [map_compositor]: registered leo2: offset (0.000, -0.005, -0.25deg) score=0.405
[python3-1] [INFO] [1783980059.489725868] [map_compositor]: registered leo2: offset (-0.005, -0.000, -0.20deg) score=0.478
[python3-1] [INFO] [1783980094.216151569] [map_compositor]: registered leo2: offset (0.000, -0.010, -0.30deg) score=0.476
[python3-1] [INFO] [1783980128.857863403] [map_compositor]: registered leo2: offset (0.000, -0.010, -0.25deg) score=0.405
[python3-1] [INFO] [1783980163.293671264] [map_compositor]: registered leo2: offset (0.000, -0.000, -0.20deg) score=0.403
[python3-1] [INFO] [1783980197.701435423] [map_compositor]: registered leo2: offset (0.000, -0.005, -0.30deg) score=0.457
[python3-1] [INFO] [1783980233.998212839] [map_compositor]: registered leo2: offset (0.000, -0.010, -0.25deg) score=0.458
[python3-1] [INFO] [1783980268.908819562] [map_compositor]: registered leo2: offset (0.000, -0.000, -0.20deg) score=0.466
[python3-1] [INFO] [1783980303.395531720] [map_compositor]: registered leo2: offset (0.000, -0.005, -0.30deg) score=0.494
[python3-1] [INFO] [1783980338.239813640] [map_compositor]: registered leo2: offset (-0.005, -0.010, -0.25deg) score=0.503
[python3-1] [INFO] [1783980373.226758612] [map_compositor]: registered leo2: offset (0.005, -0.005, -0.20deg) score=0.514
[python3-1] [INFO] [1783980407.731178559] [map_compositor]: registered leo2: offset (0.005, -0.000, -0.15deg) score=0.515
[python3-1] [INFO] [1783980442.536012093] [map_compositor]: registered leo2: offset (0.005, -0.010, -0.25deg) score=0.530
[python3-1] [INFO] [1783980477.358134520] [map_compositor]: registered leo2: offset (0.005, -0.005, -0.20deg) score=0.500
[python3-1] [INFO] [1783980512.148934182] [map_compositor]: registered leo2: offset (0.005, -0.000, -0.15deg) score=0.479
[python3-1] [INFO] [1783980546.720622683] [map_compositor]: registered leo2: offset (-0.005, 0.010, -0.10deg) score=0.487
[python3-1] [INFO] [1783980583.293401730] [map_compositor]: registered leo2: offset (0.005, -0.010, -0.30deg) score=0.505
[python3-1] [INFO] [1783980618.070684224] [map_compositor]: registered leo2: offset (0.005, -0.015, -0.25deg) score=0.535
[python3-1] [INFO] [1783980661.341590407] [map_compositor]: registered leo2: offset (0.005, -0.020, -0.20deg) score=0.536
[python3-1] [INFO] [1783980699.669963917] [map_compositor]: registered leo2: offset (0.005, -0.015, -0.30deg) score=0.540
