t,robot,x,y
58.0,leo1,1.100,-0.000
58.0,leo2,3.062,-0.000
60.0,leo1,1.100,-0.000
60.0,leo2,3.062,-0.000
62.0,leo1,1.100,-0.000
62.0,leo2,3.062,-0.000
64.0,leo1,1.100,-0.000
64.0,leo2,3.062,-0.000
66.0,leo1,1.100,0.037
66.0,leo2,3.062,-0.035
68.0,leo1,1.074,0.041
68.0,leo2,3.039,-0.038
70.0,leo1,0.987,0.041
70.0,leo2,2.953,-0.039
72.0,leo1,0.847,0.108
72.0,leo2,2.837,-0.069
74.0,leo1,0.323,0.106
74.0,leo2,2.327,-0.080
76.0,leo1,-0.204,0.108
76.0,leo2,1.815,-0.076
78.0,leo1,-0.729,0.117
78.0,leo2,1.295,-0.074
80.0,leo1,-1.202,0.125
80.0,leo2,0.775,-0.053
82.0,leo1,-1.666,0.104
82.0,leo2,0.246,-0.068
84.0,leo1,-2.185,0.104
84.0,leo2,-0.274,-0.073
86.0,leo1,-2.647,0.091
86.0,leo2,-0.784,-0.053
88.0,leo1,-3.195,0.015
88.0,leo2,-1.292,-0.052
90.0,leo1,-3.678,0.016
90.0,leo2,-1.741,-0.033
92.0,leo1,-3.900,0.016
92.0,leo2,-2.261,-0.035
94.0,leo1,-4.259,0.041
94.0,leo2,-2.791,-0.062
96.0,leo1,-4.824,0.168
96.0,leo2,-3.000,-0.030
98.0,leo1,-5.320,0.248
98.0,leo2,-3.340,0.004
100.0,leo1,-5.855,0.262
100.0,leo2,-3.860,0.014
102.0,leo1,-6.385,0.269
102.0,leo2,-4.380,0.001
104.0,leo1,-6.793,0.296
104.0,leo2,-4.900,-0.004
106.0,leo1,-6.862,0.316
106.0,leo2,-5.420,-0.012
108.0,leo1,-6.862,0.316
108.0,leo2,-5.940,-0.011
110.0,leo1,-6.863,0.345
110.0,leo2,-6.470,0.001
112.0,leo1,-7.104,0.438
112.0,leo2,-7.008,-0.005
114.0,leo1,-7.082,0.572
114.0,leo2,-7.310,0.018
116.0,leo1,-6.705,0.511
116.0,leo2,-7.309,0.042
118.0,leo1,-6.212,0.408
118.0,leo2,-7.216,0.042
120.0,leo1,-5.677,0.407
120.0,leo2,-7.119,0.093
122.0,leo1,-5.131,0.405
122.0,leo2,-6.715,0.096
124.0,leo1,-4.606,0.408
124.0,leo2,-6.185,0.087
126.0,leo1,-4.121,0.409
126.0,leo2,-5.665,0.084
128.0,leo1,-3.586,0.409
128.0,leo2,-5.165,0.084
130.0,leo1,-3.066,0.409
130.0,leo2,-4.645,0.083
132.0,leo1,-2.556,0.409
132.0,leo2,-4.115,0.084
134.0,leo1,-2.026,0.409
134.0,leo2,-3.595,0.083
136.0,leo1,-1.516,0.409
136.0,leo2,-3.075,0.083
138.0,leo1,-1.017,0.409
138.0,leo2,-2.555,0.083
140.0,leo1,-0.513,0.409
140.0,leo2,-2.035,0.083
142.0,leo1,0.054,0.409
142.0,leo2,-1.515,0.083
144.0,leo1,0.574,0.409
144.0,leo2,-0.995,0.083
146.0,leo1,1.094,0.408
146.0,leo2,-0.485,0.083
148.0,leo1,1.578,0.408
148.0,leo2,0.035,0.083
150.0,leo1,2.129,0.408
150.0,leo2,0.565,0.083
152.0,leo1,2.613,0.407
152.0,leo2,1.085,0.083
154.0,leo1,3.164,0.406
154.0,leo2,1.605,0.083
156.0,leo1,3.684,0.402
156.0,leo2,2.135,0.083
158.0,leo1,4.204,0.402
158.0,leo2,2.655,0.083
160.0,leo1,4.724,0.402
160.0,leo2,3.175,0.083
162.0,leo1,5.207,0.402
162.0,leo2,3.695,0.083
164.0,leo1,5.732,0.398
164.0,leo2,4.205,0.083
166.0,leo1,6.294,0.393
166.0,leo2,4.725,0.083
168.0,leo1,6.773,0.384
168.0,leo2,5.245,0.083
170.0,leo1,7.118,0.340
170.0,leo2,5.607,0.089
172.0,leo1,7.116,0.316
172.0,leo2,5.607,0.124
174.0,leo1,7.032,0.316
174.0,leo2,5.530,0.123
176.0,leo1,6.967,0.298
176.0,leo2,5.375,0.241
178.0,leo1,6.656,0.318
178.0,leo2,4.877,0.402
180.0,leo1,6.141,0.374
180.0,leo2,4.353,0.429
182.0,leo1,5.596,0.394
182.0,leo2,3.843,0.432
184.0,leo1,5.107,0.405
184.0,leo2,3.323,0.433
186.0,leo1,4.581,0.408
186.0,leo2,2.803,0.433
188.0,leo1,4.067,0.409
188.0,leo2,2.283,0.433
190.0,leo1,3.501,0.409
190.0,leo2,1.773,0.433
192.0,leo1,2.991,0.409
192.0,leo2,1.253,0.433
194.0,leo1,2.502,0.409
194.0,leo2,0.723,0.442
196.0,leo1,1.977,0.409
196.0,leo2,0.291,0.574
198.0,leo1,1.467,0.409
198.0,leo2,0.083,0.857
200.0,leo1,0.932,0.408
200.0,leo2,0.001,1.340
202.0,leo1,0.411,0.495
202.0,leo2,-0.004,1.859
204.0,leo1,0.142,0.709
204.0,leo2,-0.001,2.379
206.0,leo1,0.003,1.115
206.0,leo2,-0.001,2.899
208.0,leo1,0.000,1.645
208.0,leo2,-0.005,3.419
210.0,leo1,0.002,2.165
210.0,leo2,-0.009,3.939
212.0,leo1,0.002,2.638
212.0,leo2,-0.029,4.459
214.0,leo1,0.003,3.184
214.0,leo2,-0.074,4.737
216.0,leo1,0.003,3.699
216.0,leo2,-0.074,4.737
218.0,leo1,0.002,4.123
218.0,leo2,-0.092,4.979
220.0,leo1,-0.013,4.221
220.0,leo2,0.036,5.474
222.0,leo1,-0.036,4.221
222.0,leo2,0.227,5.941
224.0,leo1,-0.036,4.221
224.0,leo2,0.309,6.105
226.0,leo1,-0.037,4.221
226.0,leo2,0.316,6.106
228.0,leo1,0.034,4.233
228.0,leo2,0.316,6.057
