t,robot,x,y
58.0,leo1,1.116,-0.000
58.0,leo2,3.080,-0.000
60.0,leo1,1.116,-0.000
60.0,leo2,3.080,-0.000
62.0,leo1,1.116,-0.000
62.0,leo2,3.080,-0.000
64.0,leo1,1.116,-0.000
64.0,leo2,3.080,-0.000
66.0,leo1,1.116,0.039
66.0,leo2,3.080,0.037
68.0,leo1,1.096,0.044
68.0,leo2,3.059,0.041
70.0,leo1,1.005,0.044
70.0,leo2,2.971,0.041
72.0,leo1,0.873,0.098
72.0,leo2,2.814,0.101
74.0,leo1,0.371,0.109
74.0,leo2,2.313,0.081
76.0,leo1,-0.157,0.108
76.0,leo2,1.785,0.072
78.0,leo1,-0.662,0.114
78.0,leo2,1.275,0.065
80.0,leo1,-1.213,0.122
80.0,leo2,0.755,0.065
82.0,leo1,-1.697,0.116
82.0,leo2,0.215,0.070
84.0,leo1,-2.216,0.098
84.0,leo2,-0.305,0.069
86.0,leo1,-2.690,0.092
86.0,leo2,-0.805,0.065
88.0,leo1,-3.230,0.099
88.0,leo2,-1.325,0.068
90.0,leo1,-3.744,0.093
90.0,leo2,-1.855,0.069
92.0,leo1,-3.997,0.066
92.0,leo2,-2.375,0.060
94.0,leo1,-4.366,0.052
94.0,leo2,-2.714,0.026
96.0,leo1,-4.886,0.060
96.0,leo2,-2.731,0.019
98.0,leo1,-5.433,0.064
98.0,leo2,-2.731,-0.008
100.0,leo1,-5.916,0.062
100.0,leo2,-2.690,-0.007
102.0,leo1,-6.452,0.054
102.0,leo2,-2.616,-0.008
104.0,leo1,-6.966,0.034
104.0,leo2,-2.356,-0.074
106.0,leo1,-7.500,-0.009
106.0,leo2,-1.826,-0.070
108.0,leo1,-8.046,-0.005
108.0,leo2,-1.306,-0.070
110.0,leo1,-8.566,-0.010
110.0,leo2,-0.786,-0.073
112.0,leo1,-9.060,-0.027
112.0,leo2,-0.266,-0.061
114.0,leo1,-9.427,-0.085
114.0,leo2,0.254,-0.068
116.0,leo1,-9.439,-0.089
116.0,leo2,0.754,-0.077
118.0,leo1,-9.439,-0.110
