t,robot,x,y
56.0,leo1,1.104,0.000
56.0,leo2,3.182,-0.000
58.0,leo1,1.104,0.000
58.0,leo2,3.182,-0.000
60.0,leo1,1.104,0.000
60.0,leo2,3.182,-0.000
62.0,leo1,1.104,0.025
62.0,leo2,3.134,0.029
64.0,leo1,1.085,-0.003
64.0,leo2,3.112,0.037
66.0,leo1,1.061,-0.036
66.0,leo2,3.100,0.047
68.0,leo1,1.040,-0.068
68.0,leo2,3.102,0.077
70.0,leo1,1.023,-0.089
70.0,leo2,3.092,0.100
72.0,leo1,0.912,0.006
72.0,leo2,3.002,0.154
74.0,leo1,0.545,0.155
74.0,leo2,2.788,0.243
76.0,leo1,0.059,0.348
76.0,leo2,2.788,0.243
78.0,leo1,-0.255,0.504
78.0,leo2,2.788,0.243
80.0,leo1,-0.255,0.504
80.0,leo2,2.788,0.243
82.0,leo1,-0.255,0.504
82.0,leo2,2.788,0.243
84.0,leo1,-0.255,0.504
84.0,leo2,2.788,0.243
86.0,leo1,-0.254,0.467
86.0,leo2,3.133,0.104
88.0,leo1,-0.312,0.359
88.0,leo2,3.133,-0.030
90.0,leo1,-0.321,-0.093
90.0,leo2,3.133,-0.084
92.0,leo1,-0.308,-0.612
92.0,leo2,3.133,-0.084
94.0,leo1,-0.299,-1.122
94.0,leo2,3.133,-0.084
96.0,leo1,-0.311,-1.642
96.0,leo2,3.133,-0.084
98.0,leo1,-0.335,-1.975
98.0,leo2,3.105,-0.041
100.0,leo1,-0.461,-2.156
100.0,leo2,3.098,-0.048
102.0,leo1,-0.867,-2.432
102.0,leo2,3.098,-0.029
104.0,leo1,-1.075,-2.563
104.0,leo2,3.098,-0.029
106.0,leo1,-1.435,-2.846
106.0,leo2,3.098,-0.029
108.0,leo1,-1.717,-3.131
108.0,leo2,3.098,-0.029
110.0,leo1,-1.698,-3.131
110.0,leo2,3.100,0.225
112.0,leo1,-1.734,-3.193
112.0,leo2,3.100,0.486
114.0,leo1,-1.889,-3.537
114.0,leo2,3.100,0.592
116.0,leo1,-2.191,-3.955
116.0,leo2,3.100,0.592
118.0,leo1,-2.352,-4.142
118.0,leo2,3.100,0.592
120.0,leo1,-2.352,-4.142
120.0,leo2,3.100,0.592
122.0,leo1,-2.366,-4.123
122.0,leo2,3.074,0.591
124.0,leo1,-2.644,-4.032
124.0,leo2,2.992,0.609
126.0,leo1,-3.141,-3.884
126.0,leo2,2.712,0.653
128.0,leo1,-3.660,-3.917
128.0,leo2,2.227,0.639
130.0,leo1,-4.176,-3.987
130.0,leo2,2.067,0.644
132.0,leo1,-4.692,-4.062
132.0,leo2,2.067,0.644
134.0,leo1,-5.200,-4.184
134.0,leo2,2.058,0.615
136.0,leo1,-5.630,-4.335
136.0,leo2,1.954,0.395
138.0,leo1,-5.723,-4.384
138.0,leo2,1.813,-0.116
140.0,leo1,-5.723,-4.384
140.0,leo2,1.618,-0.602
142.0,leo1,-5.723,-4.395
142.0,leo2,1.453,-0.929
144.0,leo1,-5.756,-4.651
144.0,leo2,1.449,-0.937
146.0,leo1,-5.672,-5.166
146.0,leo2,1.296,-1.270
148.0,leo1,-5.534,-5.669
148.0,leo2,1.081,-1.744
150.0,leo1,-5.471,-5.931
150.0,leo2,0.974,-2.074
152.0,leo1,-5.471,-5.931
152.0,leo2,0.965,-2.114
154.0,leo1,-5.451,-5.931
154.0,leo2,0.875,-2.277
156.0,leo1,-5.452,-5.873
156.0,leo2,0.504,-2.595
158.0,leo1,-5.342,-5.736
158.0,leo2,0.120,-2.907
160.0,leo1,-5.149,-5.317
160.0,leo2,-0.205,-3.293
162.0,leo1,-4.976,-4.828
162.0,leo2,-0.359,-3.453
