t,robot,x,y
58.0,leo1,1.117,-0.000
58.0,leo2,3.089,-0.000
60.0,leo1,1.117,-0.000
60.0,leo2,3.089,-0.000
62.0,leo1,1.118,0.040
62.0,leo2,3.504,-0.015
64.0,leo1,1.097,0.041
64.0,leo2,3.830,-0.019
66.0,leo1,1.009,0.042
66.0,leo2,3.830,-0.054
68.0,leo1,0.809,0.115
68.0,leo2,3.807,-0.057
70.0,leo1,0.325,0.107
70.0,leo2,3.695,-0.102
72.0,leo1,-0.215,0.108
72.0,leo2,3.437,-0.205
74.0,leo1,-0.704,0.117
74.0,leo2,2.942,-0.373
76.0,leo1,-1.218,0.121
76.0,leo2,2.713,-0.540
78.0,leo1,-1.510,0.073
78.0,leo2,2.653,-0.620
80.0,leo1,-1.510,0.073
80.0,leo2,2.743,-0.620
82.0,leo1,-1.817,0.056
82.0,leo2,2.747,-0.597
84.0,leo1,-2.347,0.039
84.0,leo2,3.094,-0.515
86.0,leo1,-2.888,0.035
86.0,leo2,3.606,-0.460
88.0,leo1,-3.407,0.023
88.0,leo2,4.124,-0.406
90.0,leo1,-3.917,0.014
90.0,leo2,4.631,-0.354
92.0,leo1,-4.447,0.011
92.0,leo2,5.151,-0.366
94.0,leo1,-4.967,0.017
94.0,leo2,5.671,-0.369
96.0,leo1,-5.435,0.037
96.0,leo2,6.196,-0.357
98.0,leo1,-5.981,0.062
98.0,leo2,6.716,-0.350
100.0,leo1,-6.494,0.117
100.0,leo2,7.238,-0.347
102.0,leo1,-7.001,0.227
102.0,leo2,7.742,-0.347
104.0,leo1,-7.210,0.297
104.0,leo2,7.945,-0.346
106.0,leo1,-7.211,0.313
106.0,leo2,7.945,-0.314
108.0,leo1,-7.169,0.312
108.0,leo2,7.939,-0.308
110.0,leo1,-7.090,0.322
110.0,leo2,7.928,-0.308
112.0,leo1,-6.835,0.376
112.0,leo2,7.928,-0.308
114.0,leo1,-6.335,0.368
114.0,leo2,7.928,-0.308
116.0,leo1,-5.815,0.367
116.0,leo2,8.005,-0.355
118.0,leo1,-5.295,0.365
118.0,leo2,8.080,-0.408
120.0,leo1,-4.775,0.365
120.0,leo2,8.165,-0.460
122.0,leo1,-4.266,0.368
122.0,leo2,8.021,-0.432
124.0,leo1,-3.725,0.362
124.0,leo2,7.503,-0.443
126.0,leo1,-3.217,0.384
126.0,leo2,6.983,-0.445
128.0,leo1,-2.701,0.398
128.0,leo2,6.473,-0.436
130.0,leo1,-2.166,0.398
130.0,leo2,5.953,-0.444
132.0,leo1,-1.652,0.384
132.0,leo2,5.413,-0.446
134.0,leo1,-1.116,0.386
134.0,leo2,4.893,-0.446
136.0,leo1,-0.629,0.467
136.0,leo2,4.383,-0.452
138.0,leo1,-0.252,0.686
138.0,leo2,3.863,-0.448
140.0,leo1,-0.096,1.002
140.0,leo2,3.353,-0.448
142.0,leo1,-0.030,1.527
142.0,leo2,2.838,-0.436
144.0,leo1,0.091,2.013
144.0,leo2,2.293,-0.442
146.0,leo1,0.281,2.499
146.0,leo2,1.773,-0.448
148.0,leo1,0.448,2.860
148.0,leo2,1.253,-0.445
150.0,leo1,0.550,3.179
150.0,leo2,1.008,-0.419
152.0,leo1,0.613,3.344
152.0,leo2,1.011,-0.396
154.0,leo1,0.651,3.597
154.0,leo2,1.106,-0.396
156.0,leo1,0.640,4.091
156.0,leo2,1.188,-0.357
158.0,leo1,0.636,4.597
158.0,leo2,1.588,-0.352
160.0,leo1,0.641,4.711
160.0,leo2,2.108,-0.363
162.0,leo1,0.621,5.046
162.0,leo2,2.618,-0.371
164.0,leo1,0.468,5.458
164.0,leo2,3.138,-0.380
166.0,leo1,0.426,5.523
166.0,leo2,3.668,-0.380
168.0,leo1,0.426,5.523
168.0,leo2,4.188,-0.394
170.0,leo1,0.407,5.538
170.0,leo2,4.697,-0.384
172.0,leo1,0.115,5.585
172.0,leo2,5.211,-0.452
174.0,leo1,-0.389,5.567
174.0,leo2,5.646,-0.656
176.0,leo1,-0.883,5.564
176.0,leo2,5.870,-0.957
178.0,leo1,-1.403,5.563
178.0,leo2,6.004,-1.462
180.0,leo1,-1.928,5.553
180.0,leo2,6.130,-1.970
182.0,leo1,-2.338,5.523
182.0,leo2,6.213,-2.422
184.0,leo1,-2.347,5.481
184.0,leo2,6.123,-2.813
186.0,leo1,-2.378,5.174
186.0,leo2,5.912,-3.292
188.0,leo1,-2.294,4.662
188.0,leo2,5.677,-3.752
190.0,leo1,-2.171,4.201
190.0,leo2,5.438,-4.223
192.0,leo1,-2.112,3.728
192.0,leo2,5.202,-4.689
194.0,leo1,-1.987,3.223
194.0,leo2,5.062,-4.918
196.0,leo1,-1.694,2.786
196.0,leo2,4.932,-4.981
198.0,leo1,-1.416,2.556
198.0,leo2,4.468,-4.981
200.0,leo1,-1.044,2.334
200.0,leo2,3.949,-4.962
202.0,leo1,-0.758,2.167
202.0,leo2,3.429,-4.945
204.0,leo1,-0.351,1.803
204.0,leo2,2.915,-4.871
206.0,leo1,-0.096,1.403
206.0,leo2,2.463,-4.803
208.0,leo1,-0.006,0.991
208.0,leo2,2.383,-4.790
