t,robot,x,y
56.0,leo1,1.131,-0.000
56.0,leo2,4.548,-0.000
58.0,leo1,1.131,-0.000
58.0,leo2,4.548,-0.000
60.0,leo1,1.131,-0.000
60.0,leo2,4.548,-0.000
62.0,leo1,1.131,0.023
62.0,leo2,5.014,0.017
64.0,leo1,1.076,0.022
64.0,leo2,5.326,0.010
66.0,leo1,0.990,0.055
66.0,leo2,5.778,0.005
68.0,leo1,0.608,0.069
68.0,leo2,6.288,-0.003
70.0,leo1,0.078,0.057
70.0,leo2,6.808,-0.030
72.0,leo1,-0.442,0.055
72.0,leo2,6.972,-0.043
74.0,leo1,-0.952,0.053
74.0,leo2,7.433,-0.046
76.0,leo1,-1.472,0.050
76.0,leo2,7.953,-0.043
78.0,leo1,-2.002,0.041
78.0,leo2,8.473,-0.037
80.0,leo1,-2.531,0.025
80.0,leo2,8.887,-0.020
82.0,leo1,-3.050,0.029
82.0,leo2,8.982,-0.028
84.0,leo1,-3.336,0.038
84.0,leo2,9.003,-0.028
86.0,leo1,-3.336,0.038
86.0,leo2,9.055,0.015
88.0,leo1,-3.336,0.038
88.0,leo2,9.012,0.013
90.0,leo1,-3.337,0.066
90.0,leo2,8.964,0.011
92.0,leo1,-3.302,0.066
92.0,leo2,8.815,-0.044
94.0,leo1,-3.206,0.103
94.0,leo2,8.355,-0.242
96.0,leo1,-2.857,0.213
96.0,leo2,7.917,-0.526
98.0,leo1,-2.437,0.252
98.0,leo2,7.614,-0.858
100.0,leo1,-1.935,0.376
100.0,leo2,7.540,-1.315
102.0,leo1,-1.417,0.414
102.0,leo2,7.518,-1.829
104.0,leo1,-0.897,0.437
104.0,leo2,7.403,-2.333
106.0,leo1,-0.419,0.582
106.0,leo2,7.270,-2.836
108.0,leo1,-0.159,0.856
108.0,leo2,7.090,-3.328
110.0,leo1,-0.044,1.250
110.0,leo2,6.898,-3.801
112.0,leo1,-0.053,1.769
112.0,leo2,6.790,-4.028
114.0,leo1,-0.021,2.284
114.0,leo2,6.662,-4.164
116.0,leo1,0.133,2.783
116.0,leo2,6.217,-4.428
118.0,leo1,0.321,3.271
118.0,leo2,5.784,-4.721
120.0,leo1,0.541,3.741
120.0,leo2,5.394,-5.058
122.0,leo1,0.589,4.005
122.0,leo2,5.106,-5.370
124.0,leo1,0.589,4.005
124.0,leo2,5.012,-5.492
126.0,leo1,0.540,4.256
126.0,leo2,5.012,-5.492
128.0,leo1,0.250,4.684
128.0,leo2,5.012,-5.492
130.0,leo1,-0.070,5.096
130.0,leo2,5.054,-5.492
132.0,leo1,-0.311,5.537
132.0,leo2,5.086,-5.484
134.0,leo1,-0.418,5.716
134.0,leo2,5.087,-5.405
136.0,leo1,-0.418,5.716
136.0,leo2,5.154,-5.205
138.0,leo1,-0.418,5.703
138.0,leo2,5.170,-4.685
140.0,leo1,-0.418,5.630
140.0,leo2,5.225,-4.220
142.0,leo1,-0.469,5.386
142.0,leo2,5.293,-3.966
144.0,leo1,-0.465,4.866
144.0,leo2,5.333,-3.447
146.0,leo1,-0.466,4.346
146.0,leo2,5.379,-2.929
148.0,leo1,-0.465,3.826
148.0,leo2,5.512,-2.430
150.0,leo1,-0.465,3.306
150.0,leo2,5.714,-2.159
152.0,leo1,-0.447,2.786
152.0,leo2,6.078,-2.047
154.0,leo1,-0.378,2.269
154.0,leo2,6.596,-2.014
156.0,leo1,-0.229,1.767
156.0,leo2,7.077,-1.839
158.0,leo1,-0.040,1.284
158.0,leo2,7.350,-1.542
160.0,leo1,0.165,0.803
160.0,leo2,7.507,-1.176
162.0,leo1,0.395,0.533
162.0,leo2,7.349,-0.800
164.0,leo1,0.826,0.423
164.0,leo2,6.966,-0.532
166.0,leo1,1.366,0.416
166.0,leo2,6.494,-0.461
168.0,leo1,1.876,0.415
168.0,leo2,5.974,-0.443
170.0,leo1,2.396,0.416
170.0,leo2,5.444,-0.435
172.0,leo1,2.926,0.419
172.0,leo2,4.924,-0.433
174.0,leo1,3.446,0.417
174.0,leo2,4.414,-0.433
176.0,leo1,3.956,0.404
176.0,leo2,3.894,-0.433
178.0,leo1,4.476,0.404
178.0,leo2,3.364,-0.432
180.0,leo1,4.996,0.406
180.0,leo2,2.844,-0.431
182.0,leo1,5.516,0.404
182.0,leo2,2.324,-0.428
184.0,leo1,6.046,0.395
184.0,leo2,1.814,-0.423
186.0,leo1,6.576,0.408
186.0,leo2,1.294,-0.408
188.0,leo1,7.096,0.402
188.0,leo2,0.795,-0.413
190.0,leo1,7.596,0.397
190.0,leo2,0.275,-0.405
192.0,leo1,8.116,0.390
192.0,leo2,-0.254,-0.365
194.0,leo1,8.646,0.372
194.0,leo2,-0.772,-0.307
196.0,leo1,9.163,0.311
196.0,leo2,-1.291,-0.291
198.0,leo1,9.407,0.256
198.0,leo2,-1.821,-0.285
200.0,leo1,9.388,0.251
200.0,leo2,-2.341,-0.282
202.0,leo1,9.287,0.214
202.0,leo2,-2.861,-0.280
204.0,leo1,8.992,0.123
204.0,leo2,-3.381,-0.281
206.0,leo1,8.479,0.032
206.0,leo2,-3.901,-0.274
208.0,leo1,7.970,-0.074
208.0,leo2,-4.421,-0.267
210.0,leo1,7.466,-0.209
210.0,leo2,-4.598,-0.281
212.0,leo1,6.961,-0.334
212.0,leo2,-4.568,-0.281
214.0,leo1,6.459,-0.496
214.0,leo2,-4.503,-0.284
216.0,leo1,6.168,-0.773
216.0,leo2,-4.503,-0.284
218.0,leo1,6.033,-1.205
218.0,leo2,-4.503,-0.284
220.0,leo1,5.866,-1.701
220.0,leo2,-4.540,-0.250
222.0,leo1,5.629,-2.171
222.0,leo2,-4.613,-0.181
224.0,leo1,5.417,-2.453
224.0,leo2,-4.686,-0.113
226.0,leo1,5.415,-2.455
226.0,leo2,-4.652,-0.125
228.0,leo1,5.415,-2.455
228.0,leo2,-4.235,-0.137
230.0,leo1,5.235,-2.738
230.0,leo2,-3.705,-0.133
232.0,leo1,4.966,-3.185
232.0,leo2,-3.185,-0.132
234.0,leo1,4.644,-3.603
234.0,leo2,-2.665,-0.128
236.0,leo1,4.301,-3.993
236.0,leo2,-2.145,-0.131
238.0,leo1,3.994,-4.286
238.0,leo2,-1.625,-0.135
240.0,leo1,3.944,-4.335
240.0,leo2,-1.097,-0.133
242.0,leo1,3.677,-4.639
242.0,leo2,-0.575,-0.133
244.0,leo1,3.368,-5.048
244.0,leo2,-0.055,-0.132
246.0,leo1,3.196,-5.233
246.0,leo2,0.465,-0.133
248.0,leo1,3.196,-5.233
248.0,leo2,0.995,-0.127
250.0,leo1,3.111,-5.268
250.0,leo2,1.515,-0.131
252.0,leo1,2.748,-5.232
252.0,leo2,2.025,-0.119
254.0,leo1,2.351,-5.158
254.0,leo2,2.545,-0.115
256.0,leo1,1.906,-5.148
256.0,leo2,3.044,-0.067
258.0,leo1,1.812,-5.134
258.0,leo2,3.569,-0.009
260.0,leo1,1.812,-5.134
260.0,leo2,4.089,0.041
262.0,leo1,1.811,-5.109
262.0,leo2,4.597,0.102
264.0,leo1,1.811,-5.128
264.0,leo2,5.111,0.185
266.0,leo1,1.811,-5.128
266.0,leo2,5.625,0.268
268.0,leo1,1.811,-5.128
268.0,leo2,6.134,0.360
270.0,leo1,1.832,-5.106
270.0,leo2,6.652,0.392
272.0,leo1,1.901,-5.034
272.0,leo2,7.172,0.407
274.0,leo1,1.971,-4.963
274.0,leo2,7.504,0.415
276.0,leo1,2.023,-4.909
276.0,leo2,7.499,0.418
278.0,leo1,2.041,-4.908
278.0,leo2,7.499,0.418
280.0,leo1,2.041,-4.908
280.0,leo2,7.499,0.418
282.0,leo1,2.040,-4.873
282.0,leo2,7.503,0.347
284.0,leo1,2.216,-4.728
284.0,leo2,7.510,0.247
286.0,leo1,2.550,-4.377
286.0,leo2,7.516,0.147
288.0,leo1,2.893,-3.986
288.0,leo2,7.498,0.115
290.0,leo1,3.253,-3.610
290.0,leo2,7.473,0.116
292.0,leo1,3.626,-3.248
292.0,leo2,7.307,0.195
294.0,leo1,4.001,-2.888
294.0,leo2,6.820,0.334
296.0,leo1,4.388,-2.541
296.0,leo2,6.315,0.370
298.0,leo1,4.805,-2.233
298.0,leo2,5.806,0.394
300.0,leo1,5.252,-1.975
300.0,leo2,5.286,0.403
302.0,leo1,5.693,-1.702
302.0,leo2,4.747,0.410
304.0,leo1,5.984,-1.317
304.0,leo2,4.227,0.408
306.0,leo1,6.146,-0.819
306.0,leo2,3.717,0.413
308.0,leo1,6.408,-0.369
308.0,leo2,3.197,0.408
310.0,leo1,6.749,0.023
310.0,leo2,2.677,0.387
312.0,leo1,7.133,0.373
312.0,leo2,2.165,0.439
314.0,leo1,7.601,0.634
314.0,leo2,1.751,0.666
316.0,leo1,7.865,0.917
316.0,leo2,1.554,0.997
318.0,leo1,7.979,1.286
318.0,leo2,1.495,1.501
320.0,leo1,7.944,1.805
320.0,leo2,1.424,2.018
322.0,leo1,7.860,2.319
322.0,leo2,1.312,2.527
324.0,leo1,7.739,2.827
324.0,leo2,1.183,2.976
326.0,leo1,7.561,3.319
326.0,leo2,1.129,3.085
328.0,leo1,7.428,3.749
328.0,leo2,1.130,3.085
330.0,leo1,7.419,3.852
330.0,leo2,1.069,3.173
332.0,leo1,7.419,3.852
