t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
145.2,,,,nan,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,nan,0,,,0,0,0
160.0,,,,0.000,,,,nan,0,,,0,0,0
165.0,,,,0.000,,,,nan,0,,,0,1,0
170.0,,,,0.000,,,,nan,0,,,0,1,0
175.0,,,,0.000,,,,0.408,0,,,0,1,0
180.0,,,,0.000,,,,0.408,0,,,0,1,0
185.0,,,,0.000,,,,0.435,0,,,0,1,0
190.0,,,,0.000,4.5500,-1.3500,-89.000,0.437,0,7.8054,91.000,0,1,0
195.0,,,,0.000,4.5500,-1.3500,-89.054,0.531,0,7.8054,90.947,0,1,0
200.0,,,,0.000,4.5500,-1.3500,-89.054,0.521,0,7.8054,90.947,0,1,0
205.0,,,,0.000,4.5500,-1.3500,-89.054,0.523,0,7.8054,90.947,0,1,0
210.0,,,,0.000,4.5500,-1.3500,-89.054,0.524,0,7.8054,90.947,0,2,0
215.0,,,,0.000,4.5500,-1.3500,-89.054,0.529,0,7.8054,90.947,0,2,0
220.0,,,,0.000,4.5500,-1.3500,-89.054,0.541,0,7.8054,90.947,0,2,0
225.0,,,,0.000,4.5500,-1.3500,-89.054,0.541,0,7.8054,90.947,0,2,0
230.0,,,,0.000,4.5500,-1.3500,-89.054,0.495,0,7.8054,90.947,0,2,0
235.0,,,,0.000,4.5500,-1.3500,-89.054,0.405,0,7.8054,90.947,0,2,0
240.0,,,,0.000,4.5500,-1.3500,-89.054,0.428,0,7.8054,90.947,0,2,0
245.0,,,,0.000,4.5500,-1.3500,-89.054,0.428,0,7.8054,90.947,0,2,0
250.0,,,,0.000,4.5500,-1.3500,-89.054,0.336,0,7.8054,90.947,0,2,0
255.0,,,,0.000,4.5500,-1.3500,-89.054,0.388,0,7.8054,90.947,0,3,0
260.0,,,,0.000,4.5500,-1.3500,-89.054,0.344,0,7.8054,90.947,0,3,0
265.0,1.2283,-8.0235,-141.924,0.175,4.5500,-1.3500,-89.054,0.344,0,7.8054,90.947,1,3,1
270.0,1.1824,-8.2404,-141.583,0.175,4.5500,-1.3500,-89.054,0.387,0,7.8054,90.947,1,3,1
275.0,1.1824,-8.2404,-141.583,0.175,4.5500,-1.3500,-89.054,0.367,0,7.8054,90.947,1,4,1
280.0,1.1824,-8.2404,-141.583,0.175,4.5500,-1.3500,-89.054,0.405,0,7.8054,90.947,1,4,1
285.0,1.1824,-8.2404,-141.583,0.175,4.5500,-1.3500,-89.054,0.405,0,7.8054,90.947,1,4,1
290.0,1.1824,-8.2404,-141.583,0.175,4.5500,-1.3500,-89.054,0.334,0,7.8054,90.947,1,4,1
295.0,1.1824,-8.2404,-141.583,0.175,4.5500,-1.3500,-89.054,0.374,0,7.8054,90.947,1,4,1
300.0,1.1824,-8.2404,-141.583,0.175,4.5500,-1.3500,-89.054,0.361,0,7.8054,90.947,1,4,1
305.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.361,0,7.8054,90.947,2,4,2
310.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.409,0,7.8054,90.947,2,4,2
315.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.418,0,7.8054,90.947,2,4,2
320.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.448,0,7.8054,90.947,2,4,2
325.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.448,0,7.8054,90.947,2,4,2
330.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.440,0,7.8054,90.947,2,4,2
335.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.464,0,7.8054,90.947,2,4,2
340.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.461,0,7.8054,90.947,2,4,2
345.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.406,0,7.8054,90.947,2,4,2
350.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.406,0,7.8054,90.947,2,4,2
355.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.433,0,7.8054,90.947,2,4,2
360.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.416,0,7.8054,90.947,2,4,2
365.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.456,0,7.8054,90.947,2,4,2
370.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.456,0,7.8054,90.947,2,4,2
375.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.418,0,7.8054,90.947,2,4,2
380.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.425,0,7.8054,90.947,2,4,2
385.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.414,0,7.8054,90.947,2,4,2
390.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.414,0,7.8054,90.947,2,4,2
395.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.445,0,7.8054,90.947,2,4,2
400.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.464,0,7.8054,90.947,2,4,2
405.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.405,0,7.8054,90.947,2,4,2
410.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.406,0,7.8054,90.947,2,4,2
415.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.417,0,7.8054,90.947,2,4,2
420.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.446,0,7.8054,90.947,2,4,2
425.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.382,0,7.8054,90.947,2,4,2
430.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.382,0,7.8054,90.947,2,4,2
435.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.448,0,7.8054,90.947,2,4,2
440.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.403,0,7.8054,90.947,2,4,2
445.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.429,0,7.8054,90.947,2,4,2
450.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.427,0,7.8054,90.947,2,4,2
455.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.427,0,7.8054,90.947,3,4,2
460.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.404,0,7.8054,90.947,3,4,2
465.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.452,0,7.8054,90.947,3,4,2
470.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.410,0,7.8054,90.947,3,4,2
475.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.410,0,7.8054,90.947,3,4,2
480.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.401,0,7.8054,90.947,3,4,2
485.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.402,0,7.8054,90.947,3,4,2
490.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.420,0,7.8054,90.947,3,4,2
495.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.420,0,7.8054,90.947,3,4,2
500.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.414,0,7.8054,90.947,3,4,2
505.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.644,0,7.8054,90.947,3,4,2
510.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.616,0,7.8054,90.947,3,4,2
515.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.616,0,7.8054,90.947,3,4,2
520.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.404,0,7.8054,90.947,3,4,2
525.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.404,0,7.8054,90.947,3,4,2
530.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.404,0,7.8054,90.947,3,4,2
535.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.404,0,7.8054,90.947,3,4,2
540.0,1.1824,-8.2404,-141.583,0.350,4.5500,-1.3500,-89.054,0.404,0,7.8054,90.947,3,4,2
545.0,1.1824,-8.2404,-141.583,0.000,4.5500,-1.3500,-89.054,0.404,0,7.8054,90.947,0,0,0
550.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.000,0.624,0,0.2693,1.000,0,0,0
555.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.723,0,0.2693,0.947,0,0,0
560.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.693,0,0.2693,0.947,1,0,0
565.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.679,0,0.2693,0.947,1,1,0
570.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.722,0,0.2693,0.947,1,1,0
575.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.722,0,0.2693,0.947,1,1,0
580.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.693,0,0.2693,0.947,1,1,0
585.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.710,0,0.2693,0.947,1,1,0
590.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.685,0,0.2693,0.947,1,1,0
595.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.685,0,0.2693,0.947,1,1,0
600.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.688,0,0.2693,0.947,1,1,0
605.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.695,0,0.2693,0.947,1,1,0
610.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.702,0,0.2693,0.947,1,1,0
615.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.699,0,0.2693,0.947,1,1,0
620.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.699,0,0.2693,0.947,1,1,0
625.0,1.1824,-8.2404,-141.583,0.000,3.2500,-8.9000,-179.054,0.726,0,0.2693,0.947,1,1,0
