t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
162.094,4,4.3566,26.21,1.431,4.2830,-0.7937,-0.0768,-2.4297,-3.3841,0.1232
162.389,4,4.2918,26.94,0.333,4.2816,-0.2893,-0.0631,-2.4056,-3.3272,0.1369
163.383,4,4.4661,27.15,1.201,4.2166,1.4706,-0.0612,-2.6069,-3.4941,0.1388
175.062,4,4.0152,28.95,0.356,3.9927,0.4188,-0.0675,-2.8720,-3.3133,0.1325
185.686,4,4.3872,27.41,0.566,4.2684,-1.0087,-0.1030,-4.0010,-4.7283,0.0970
186.062,4,4.3437,27.46,0.484,4.2335,-0.9667,-0.1021,-4.0336,-4.7543,0.0979
186.383,4,4.2106,28.47,0.591,4.1102,-0.9084,-0.1026,-3.9978,-4.7215,0.0974
186.692,4,4.1535,29.65,1.284,4.0571,-0.8840,-0.1004,-4.0189,-4.7406,0.0996
187.046,4,4.0519,29.58,0.603,3.9574,-0.8638,-0.1022,-4.0073,-4.7311,0.0978
187.394,4,3.9200,30.61,0.619,3.8267,-0.8437,-0.1020,-3.9725,-4.6957,0.0980
187.689,4,3.8486,32.05,1.374,3.7531,-0.8462,-0.1000,-3.9830,-4.7061,0.1000
188.050,4,3.7114,32.78,0.857,3.6146,-0.8358,-0.1014,-3.9439,-4.6730,0.0986
188.395,4,3.8690,32.73,1.572,3.7623,-0.8959,-0.1073,-4.1269,-4.8305,0.0927
188.684,4,3.5535,33.82,0.586,3.4508,-0.8419,-0.1012,-3.9555,-4.6836,0.0988
189.050,4,3.6376,34.82,1.566,3.5254,-0.8904,-0.1067,-4.0958,-4.7717,0.0933
189.379,4,3.4963,36.59,1.730,3.3641,-0.9465,-0.1060,-4.0510,-4.7306,0.0940
189.689,4,3.3137,37.88,1.499,3.1205,-1.1100,-0.1053,-3.9668,-4.6634,0.0947
190.053,4,3.0776,39.89,0.083,2.8542,-1.1470,-0.0977,-3.8396,-4.5724,0.1023
190.390,4,3.0138,40.89,0.103,2.7827,-1.1532,-0.0978,-3.8537,-4.5852,0.1022
190.690,4,2.9056,43.14,0.180,2.6726,-1.1359,-0.0978,-3.8575,-4.5518,0.1022
191.042,4,2.8465,43.89,0.200,2.5887,-1.1797,-0.0979,-3.8778,-4.5741,0.1021
191.384,4,2.7328,47.16,0.274,2.4676,-1.1706,-0.0952,-3.8533,-4.5562,0.1048
191.695,4,2.6548,48.94,0.414,2.3895,-1.1529,-0.0960,-3.8562,-4.5643,0.1040
192.036,4,2.5530,49.88,0.157,2.2951,-1.1143,-0.0940,-3.8392,-4.5570,0.1060
192.380,4,2.4766,52.16,0.205,2.2252,-1.0831,-0.0942,-3.8420,-4.5624,0.1058
192.688,4,2.3823,54.18,0.082,2.1341,-1.0545,-0.0944,-3.8283,-4.5579,0.1056
193.052,4,2.3108,56.01,0.081,2.0588,-1.0451,-0.0946,-3.8337,-4.5641,0.1054
193.373,4,2.2396,57.88,0.198,1.9880,-1.0268,-0.0948,-3.8406,-4.5690,0.1052
206.685,6,4.4103,25.82,0.180,4.3818,0.4964,-0.0620,1.8209,0.8884,0.1380
207.362,6,4.2736,26.94,0.253,4.2538,0.4062,-0.0631,1.8426,0.9200,0.1369
207.681,6,4.2983,26.94,0.372,4.2808,0.3821,-0.0630,1.9187,1.0085,0.1370
207.985,6,4.2050,26.79,0.123,4.1894,0.3570,-0.0638,1.9150,1.0025,0.1362
208.987,6,4.0358,27.92,0.013,4.0302,0.2024,-0.0653,1.9829,1.0782,0.1347
210.362,6,4.4645,28.93,2.093,4.4557,0.2692,-0.0783,2.4589,1.6558,0.1217
210.989,6,4.3329,29.42,3.801,4.3296,0.1485,-0.0807,2.4783,1.6974,0.1193
211.683,6,4.2934,26.44,2.483,4.2921,0.0449,-0.0935,2.5571,1.8037,0.1065
211.994,6,4.3258,25.85,1.534,4.3247,0.0212,-0.0934,2.6352,1.9014,0.1066
214.994,6,4.2140,28.46,0.981,4.1968,-0.3691,-0.0907,3.0424,2.4050,0.1093
215.365,6,4.3738,26.08,0.263,4.3617,-0.3081,-0.1022,3.2027,2.5920,0.0978
215.696,6,4.2695,27.04,0.472,4.2660,-0.1394,-0.1023,3.1660,2.6034,0.0977
215.993,6,4.2001,27.41,0.398,4.1980,0.0873,-0.1028,3.1712,2.6229,0.0972
216.365,6,4.1583,28.21,0.655,4.1382,0.3959,-0.1026,3.1969,2.6451,0.0974
216.693,6,4.0461,29.33,0.616,3.9772,0.7368,-0.1026,3.1802,2.5905,0.0974
216.993,6,4.0216,30.46,1.369,3.8706,1.0872,-0.0983,3.1869,2.6168,0.1017
217.355,6,3.9924,33.04,1.660,3.7236,1.4363,-0.1053,3.1995,2.6383,0.0947
217.686,6,3.6349,34.89,0.077,3.2800,1.5636,-0.0978,3.0188,2.4176,0.1022
250.292,3,4.4570,28.49,0.078,3.9787,-2.0063,-0.0987,1.1222,-4.5760,0.1013
250.654,3,4.4391,29.90,0.106,3.9317,-2.0585,-0.0980,1.0647,-4.6019,0.1020
250.988,3,4.2902,30.90,0.085,3.7873,-2.0133,-0.0976,1.1306,-4.5757,0.1024
251.278,3,4.2816,31.54,0.075,3.7871,-1.9950,-0.0976,1.0630,-4.6058,0.1024
251.648,3,4.1479,31.90,0.064,3.6629,-1.9438,-0.0977,1.1091,-4.5757,0.1023
269.295,1,4.1606,32.18,1.198,3.6975,1.9063,-0.0694,2.9373,-10.4240,0.1306
269.580,1,4.4179,32.12,2.100,3.9402,1.9965,-0.0827,2.9899,-10.7579,0.1173
269.962,1,4.2668,33.22,2.130,3.7920,1.9545,-0.0816,2.9780,-10.6832,0.1184
282.588,1,3.2951,34.87,0.086,3.1807,0.8553,-0.0974,3.0567,-11.4023,0.1026
282.951,1,3.2305,34.87,0.036,3.2290,0.0011,-0.0974,3.0810,-11.3552,0.1026
283.286,1,3.2489,35.36,0.223,3.2162,-0.4494,-0.0973,3.0974,-11.4096,0.1027
283.589,1,3.1956,36.88,0.194,3.0938,-0.7942,-0.0974,3.0832,-11.3919,0.1026
283.958,1,3.1507,37.88,0.188,2.9688,-1.0505,-0.0976,3.0729,-11.3752,0.1024
284.281,1,3.1564,39.87,0.109,2.8641,-1.3230,-0.0977,3.0880,-11.4096,0.1023
294.592,1,1.9316,63.93,0.146,1.8239,-0.6288,-0.0951,3.1076,-11.3477,0.1049
294.941,1,1.9280,58.94,0.104,1.9020,-0.3007,-0.0950,3.1209,-11.3389,0.1050
295.280,1,1.9201,57.93,0.026,1.9158,0.0881,-0.0950,3.1401,-11.3153,0.1050
295.598,1,1.9438,64.91,0.070,1.8061,0.7123,-0.0953,3.1570,-11.3402,0.1047
377.851,3,4.1215,32.69,0.859,3.6637,1.8851,-0.1017,0.9826,-4.2978,0.0983
378.188,3,3.9643,32.98,0.811,3.6210,1.6105,-0.1021,1.0243,-4.3559,0.0979
378.490,3,3.8876,31.58,0.342,3.6742,1.2663,-0.1015,1.0223,-4.3491,0.0985
378.863,3,3.7763,31.56,0.356,3.6744,0.8656,-0.1015,1.0633,-4.3648,0.0985
379.182,3,3.7186,31.51,0.392,3.6833,0.5008,-0.1020,1.0443,-4.3537,0.0980
