t,robot,x,y
146.0,leo2,0.696,0.005
148.0,leo2,0.696,0.005
150.0,leo2,0.696,0.005
152.0,leo2,0.696,0.005
154.0,leo2,0.696,0.005
156.0,leo2,0.696,0.005
158.0,leo2,0.701,0.003
160.0,leo2,0.720,-0.004
162.0,leo2,0.696,-0.008
164.0,leo2,0.520,-0.111
166.0,leo2,0.128,-0.072
168.0,leo2,-0.185,0.017
170.0,leo2,-0.186,0.017
172.0,leo2,-0.186,0.017
174.0,leo2,-0.185,0.014
176.0,leo2,-0.253,-0.075
178.0,leo2,-0.341,-0.493
180.0,leo2,-0.407,-1.024
182.0,leo2,-0.565,-1.346
184.0,leo2,-0.576,-1.363
186.0,leo2,-0.725,-1.594
188.0,leo2,-1.025,-2.018
190.0,leo2,-1.321,-2.446
192.0,leo2,-1.601,-2.924
194.0,leo2,-1.860,-3.343
196.0,leo2,-1.954,-3.474
198.0,leo2,-1.947,-3.456
200.0,leo2,-1.929,-3.482
202.0,leo2,-1.969,-3.467
204.0,leo2,-1.673,-3.283
206.0,leo2,-1.329,-2.945
208.0,leo2,-0.829,-2.435
210.0,leo2,-0.504,-2.057
212.0,leo2,-0.184,-1.676
214.0,leo2,0.118,-1.294
216.0,leo2,0.445,-0.830
218.0,leo2,0.797,-0.586
220.0,leo2,1.288,-0.481
222.0,leo2,1.782,-0.361
224.0,leo2,2.237,-0.234
226.0,leo2,2.799,-0.076
228.0,leo2,3.276,0.127
230.0,leo2,3.511,0.237
232.0,leo2,3.667,0.194
234.0,leo2,4.023,-0.170
236.0,leo2,4.420,-0.519
238.0,leo2,4.797,-0.851
240.0,leo2,5.214,-1.208
242.0,leo2,5.538,-1.604
244.0,leo2,5.789,-1.904
246.0,leo2,5.782,-1.884
248.0,leo2,5.712,-2.032
250.0,leo2,5.322,-2.443
252.0,leo2,4.984,-2.872
254.0,leo2,4.652,-3.252
256.0,leo2,4.302,-3.678
258.0,leo2,3.987,-4.056
260.0,leo2,3.647,-4.450
262.0,leo2,3.291,-4.825
264.0,leo2,2.917,-5.175
