t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
136.3,,,,nan,,,,nan,0,,,0,0,0
140.0,,,,0.000,,,,nan,0,,,0,0,0
145.0,,,,0.000,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,nan,0,,,0,1,0
160.0,,,,0.000,,,,nan,0,,,0,1,0
165.0,,,,0.000,,,,0.398,0,,,1,1,0
170.0,,,,0.000,,,,0.398,0,,,1,1,0
175.0,,,,0.000,,,,0.402,0,,,2,1,0
180.0,,,,0.000,,,,0.387,0,,,2,1,0
185.0,,,,0.000,,,,0.393,0,,,2,1,0
190.0,,,,0.000,,,,0.393,0,,,2,1,0
195.0,,,,0.000,,,,0.443,0,,,2,1,0
200.0,,,,0.000,,,,0.453,0,,,2,1,0
205.0,,,,0.000,,,,0.471,0,,,2,1,0
210.0,,,,0.000,,,,0.471,0,,,2,1,0
215.0,,,,0.000,,,,0.491,0,,,2,1,0
220.0,,,,0.000,,,,0.491,0,,,2,1,0
225.0,,,,0.000,,,,0.441,0,,,2,3,0
230.0,,,,0.000,,,,0.441,0,,,2,3,0
235.0,,,,0.000,,,,0.442,0,,,2,3,0
240.0,,,,0.000,,,,0.461,0,,,2,3,0
245.0,,,,0.000,,,,0.469,0,,,2,3,0
250.0,,,,0.000,,,,0.469,0,,,2,3,0
255.0,,,,0.000,,,,0.435,0,,,2,3,0
260.0,,,,0.000,,,,0.480,0,,,2,3,0
265.0,,,,0.000,,,,0.422,0,,,2,3,0
270.0,-2.4349,-3.4803,58.750,0.175,,,,0.422,0,7.7463,-121.250,2,3,0
275.0,-2.5056,-3.7549,62.620,0.175,,,,0.364,0,7.6041,-117.380,2,4,1
280.0,-2.5056,-3.7549,62.620,0.175,,,,0.349,0,7.6041,-117.380,2,4,1
285.0,-2.5056,-3.7549,62.620,0.175,,,,0.409,0,7.6041,-117.380,2,4,1
290.0,-2.5056,-3.7549,62.620,0.175,,,,0.377,0,7.6041,-117.380,2,4,1
295.0,-2.5056,-3.7549,62.620,0.175,,,,0.377,0,7.6041,-117.380,2,4,1
300.0,-2.5056,-3.7549,62.620,0.175,,,,0.370,0,7.6041,-117.380,2,4,1
305.0,-2.5056,-3.7549,62.620,0.175,,,,0.479,0,7.6041,-117.380,2,4,1
310.0,-2.5056,-3.7549,62.620,0.175,,,,0.425,0,7.6041,-117.380,2,4,1
315.0,-2.5056,-3.7549,62.620,0.175,,,,0.426,0,7.6041,-117.380,2,4,1
320.0,-2.5056,-3.7549,62.620,0.175,,,,0.426,0,7.6041,-117.380,2,4,1
325.0,-2.5056,-3.7549,62.620,0.175,,,,0.426,0,7.6041,-117.380,2,4,1
330.0,-2.5056,-3.7549,62.620,0.175,,,,0.427,0,7.6041,-117.380,2,4,1
335.0,-2.5056,-3.7549,62.620,0.175,,,,0.427,0,7.6041,-117.380,2,4,1
340.0,-2.5056,-3.7549,62.620,0.175,,,,0.427,0,7.6041,-117.380,2,4,1
345.0,-2.5056,-3.7549,62.620,0.175,,,,0.427,0,7.6041,-117.380,2,4,1
350.0,-2.5056,-3.7549,62.620,0.175,,,,0.427,0,7.6041,-117.380,2,4,1
355.0,-2.5056,-3.7549,62.620,0.175,,,,0.427,0,7.6041,-117.380,2,4,1
360.0,-2.5056,-3.7549,62.620,0.175,,,,0.427,0,7.6041,-117.380,2,4,1
365.0,2.9909,-9.2270,176.674,0.350,,,,0.427,0,0.2272,-3.325,2,5,2
370.0,2.9937,-9.2198,176.733,0.350,,,,0.603,0,0.2199,-3.266,2,5,2
375.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.645,1,0.2566,0.680,2,5,2
380.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.678,1,0.2566,0.680,2,5,2
385.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.678,1,0.2566,0.680,2,5,2
390.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.678,1,0.2566,0.680,2,5,2
395.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.678,1,0.2566,0.680,2,5,2
400.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.678,1,0.2566,0.680,2,5,2
405.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
410.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
415.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
420.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
425.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
430.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
435.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
440.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
445.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
450.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
455.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
460.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
465.0,3.0084,-9.2114,176.934,0.350,3.2437,-8.9198,-179.320,0.679,1,0.2566,0.680,2,5,2
470.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.702,1,0.2264,0.881,2,5,2
475.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.726,1,0.2264,0.881,2,5,2
480.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.727,1,0.2264,0.881,2,5,2
485.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.695,1,0.2264,0.881,2,5,2
490.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.695,1,0.2264,0.881,2,5,2
495.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.695,1,0.2264,0.881,2,5,2
500.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.722,1,0.2264,0.881,2,5,2
505.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.722,1,0.2264,0.881,2,5,2
510.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.722,1,0.2264,0.881,2,5,2
515.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.725,1,0.2264,0.881,2,5,2
520.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.725,1,0.2264,0.881,2,5,2
525.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.725,1,0.2264,0.881,2,5,2
530.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.725,1,0.2264,0.881,2,5,2
535.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.725,1,0.2264,0.881,2,5,2
540.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.725,1,0.2264,0.881,2,5,2
545.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.725,1,0.2264,0.881,2,5,2
550.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.738,1,0.2264,0.881,2,5,2
555.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.727,1,0.2264,0.881,2,5,2
560.0,3.0084,-9.2114,176.934,0.350,3.2084,-8.9114,-179.120,0.727,1,0.2264,0.881,2,5,2
565.0,2.9975,-9.2112,176.884,0.350,3.2084,-8.9114,-179.120,0.727,1,0.2264,0.881,2,5,2
570.0,2.9638,-9.2030,176.739,0.350,3.2084,-8.9114,-179.120,0.708,1,0.2264,0.881,2,5,2
575.0,2.9638,-9.2030,176.739,0.350,3.2084,-8.9114,-179.120,0.746,1,0.2264,0.881,2,5,2
580.0,2.9572,-9.2001,176.712,0.350,3.2084,-8.9114,-179.120,0.746,1,0.2264,0.881,2,5,2
585.0,2.9447,-9.1944,176.663,0.350,3.2084,-8.9114,-179.120,0.740,1,0.2264,0.881,2,5,2
590.0,2.9447,-9.1944,176.663,0.350,3.2084,-8.9114,-179.120,0.680,1,0.2264,0.881,2,5,2
595.0,2.9326,-9.1893,176.614,0.350,3.2084,-8.9114,-179.120,0.681,1,0.2264,0.881,2,5,2
600.0,2.8687,-9.1826,176.329,0.350,3.2084,-8.9114,-179.120,0.678,1,0.2264,0.881,2,5,2
605.0,2.8271,-9.1653,176.161,0.350,3.2084,-8.9114,-179.120,0.712,1,0.2264,0.881,2,5,2
610.0,2.8241,-9.1629,176.150,0.350,3.2084,-8.9114,-179.120,0.733,1,0.2264,0.881,2,5,2
615.0,2.8241,-9.1629,176.150,0.350,3.2084,-8.9114,-179.120,0.734,1,0.2264,0.881,2,5,2
620.0,2.8241,-9.1629,176.150,0.350,3.2084,-8.9114,-179.120,0.743,1,0.2264,0.881,2,5,2
625.0,2.8241,-9.1629,176.150,0.350,3.2084,-8.9114,-179.120,0.724,1,0.2264,0.881,2,5,2
630.0,2.8241,-9.1629,176.150,0.350,3.2084,-8.9114,-179.120,0.719,1,0.2264,0.881,2,5,2
635.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.755,1,0.2627,1.097,2,5,2
640.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.759,1,0.2627,1.097,2,5,2
645.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.725,1,0.2627,1.097,2,5,2
650.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.718,1,0.2627,1.097,2,5,2
655.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.724,1,0.2627,1.097,2,5,2
660.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.724,1,0.2627,1.097,2,5,2
665.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.745,1,0.2627,1.097,2,5,2
670.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.744,1,0.2627,1.097,2,5,2
675.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.753,1,0.2627,1.097,2,6,2
680.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.753,1,0.2627,1.097,2,6,2
685.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.761,1,0.2627,1.097,2,6,2
690.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.769,1,0.2627,1.097,2,6,2
695.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.758,1,0.2627,1.097,2,6,2
700.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.758,1,0.2627,1.097,2,6,2
705.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.735,1,0.2627,1.097,2,6,2
710.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.744,1,0.2627,1.097,2,6,2
715.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.747,1,0.2627,1.097,2,6,2
720.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.753,1,0.2627,1.097,2,6,2
725.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.753,1,0.2627,1.097,2,6,2
730.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.757,1,0.2627,1.097,2,6,2
735.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.752,1,0.2627,1.097,2,6,2
740.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.744,1,0.2627,1.097,2,6,2
745.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.744,1,0.2627,1.097,2,6,2
750.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.738,1,0.2627,1.097,2,6,2
755.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.754,1,0.2627,1.097,2,6,2
760.0,2.8241,-9.1629,176.150,0.350,3.2241,-8.8629,-178.903,0.754,1,0.2627,1.097,2,6,2
