t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
150.081,4,4.2320,27.91,0.197,4.1099,-1.0071,-0.0647,-2.4107,-3.2209,0.1353
150.392,4,4.3625,26.93,0.453,4.3311,-0.5186,-0.0648,-2.5171,-3.3131,0.1352
150.756,4,4.2804,26.93,0.338,4.2800,-0.0036,-0.0632,-2.4677,-3.2584,0.1368
151.082,4,4.4164,26.17,1.316,4.3800,0.5606,-0.0770,-2.5875,-3.3767,0.1230
151.399,4,4.2495,27.93,0.347,4.1107,1.0753,-0.0647,-2.5023,-3.2632,0.1353
174.047,4,4.4156,27.45,0.565,4.2651,-1.1385,-0.1028,-4.0251,-4.7034,0.0972
174.383,4,4.3649,27.50,0.483,4.2316,-1.0654,-0.1019,-4.0557,-4.7272,0.0981
174.693,4,4.1955,28.40,0.444,4.0870,-0.9424,-0.1023,-3.9935,-4.6739,0.0977
175.067,4,4.1995,28.52,0.581,4.1025,-0.8918,-0.1025,-4.0569,-4.7392,0.0975
175.389,4,4.0264,29.54,0.466,3.9336,-0.8537,-0.1017,-3.9951,-4.6804,0.0983
175.691,4,3.8880,30.99,0.687,3.8017,-0.8083,-0.1020,-3.9546,-4.6444,0.0980
176.071,4,3.8987,30.65,0.604,3.8185,-0.7802,-0.1019,-4.0286,-4.7169,0.0981
176.385,4,3.7492,31.71,0.614,3.6859,-0.6783,-0.1016,-3.9877,-4.6704,0.0984
176.686,4,3.6581,33.11,1.095,3.6116,-0.5729,-0.1010,-3.9860,-4.6625,0.0990
177.059,4,3.6075,32.69,0.605,3.5726,-0.4899,-0.1017,-4.0024,-4.6723,0.0983
177.395,4,3.6866,33.77,1.493,3.6299,-0.6352,-0.1071,-4.1155,-4.7351,0.0929
177.693,4,3.4559,35.16,1.669,3.3889,-0.6686,-0.1058,-3.9793,-4.6124,0.0942
178.055,4,3.5827,34.83,1.497,3.5077,-0.7215,-0.1067,-4.1053,-4.7269,0.0933
178.394,4,3.5074,36.22,1.892,3.4304,-0.7231,-0.1061,-4.0718,-4.7056,0.0939
178.693,4,3.5077,36.22,1.894,3.4307,-0.7232,-0.1061,-4.0711,-4.7069,0.0939
179.053,4,3.5077,36.22,1.894,3.4307,-0.7232,-0.1061,-4.0707,-4.7074,0.0939
179.399,4,3.5077,36.22,1.894,3.4307,-0.7232,-0.1061,-4.0695,-4.7087,0.0939
179.696,4,3.5077,36.22,1.894,3.4307,-0.7232,-0.1061,-4.0690,-4.7093,0.0939
180.070,4,3.5077,36.22,1.894,3.4307,-0.7232,-0.1061,-4.0683,-4.7101,0.0939
180.395,4,3.5077,36.22,1.894,3.4307,-0.7232,-0.1061,-4.0672,-4.7114,0.0939
180.696,4,3.5077,36.22,1.894,3.4307,-0.7232,-0.1061,-4.0664,-4.7122,0.0939
181.067,4,3.4999,36.08,1.677,3.4180,-0.7453,-0.1064,-4.0446,-4.7275,0.0936
181.390,4,3.2867,36.88,0.217,3.1214,-1.0244,-0.0975,-3.9175,-4.5924,0.1025
181.691,4,3.2114,38.88,0.061,2.9315,-1.3077,-0.0977,-3.8802,-4.5582,0.1023
213.979,2,4.4666,26.77,1.544,4.1932,1.5373,-0.0692,-0.4603,0.2749,0.1308
215.679,2,4.4675,27.90,0.438,4.1246,1.7152,-0.0670,-0.3244,0.6652,0.1330
220.348,6,4.3406,26.19,0.238,4.3235,-0.3792,-0.0627,1.9305,0.8751,0.1373
220.686,6,4.2801,26.93,0.328,4.2583,-0.4264,-0.0632,1.9587,0.8734,0.1368
221.349,2,4.2273,32.66,2.003,3.9128,1.5979,-0.0836,-0.0389,1.7438,0.1164
221.686,6,4.1051,27.91,0.235,4.0650,-0.5683,-0.0635,1.9795,0.9630,0.1365
221.983,2,4.4058,30.15,1.364,4.0346,1.7674,-0.0968,-0.0300,2.0824,0.1032
222.987,2,4.1625,30.79,1.092,3.7984,1.6998,-0.0965,0.0030,2.0869,0.1035
223.349,2,4.4740,29.55,0.238,4.0899,1.8110,-0.0978,0.0292,2.4814,0.1022
223.673,2,4.3409,30.64,0.064,3.9537,1.7896,-0.0966,0.0232,2.4202,0.1034
223.673,6,4.3283,29.88,3.425,4.2635,-0.7415,-0.0830,2.4248,1.5631,0.1170
223.990,2,4.2426,31.72,0.119,3.8524,1.7747,-0.0958,0.0065,2.3908,0.1042
224.336,2,4.1913,31.73,0.117,3.8162,1.7305,-0.0965,0.0059,2.4225,0.1035
224.682,6,4.3513,26.78,1.486,4.2690,-0.8375,-0.0921,2.5622,1.7982,0.1079
224.682,2,4.1399,32.72,0.092,3.7500,1.7514,-0.0968,0.0040,2.4514,0.1032
224.994,2,4.0524,33.76,0.086,3.6465,1.7650,-0.0971,0.0017,2.4436,0.1029
225.339,2,3.9285,35.83,0.088,3.4869,1.8070,-0.0963,-0.0094,2.3929,0.1037
228.666,6,4.3392,26.93,0.559,4.3095,-0.4962,-0.1030,3.1833,2.6252,0.0970
228.995,6,4.3043,26.97,0.602,4.2999,-0.1661,-0.1033,3.2164,2.6689,0.0967
229.334,6,4.0973,28.64,0.705,4.0944,0.1159,-0.1028,3.1314,2.5843,0.0972
229.676,6,4.1436,28.36,1.342,4.1145,0.4806,-0.0986,3.1882,2.6759,0.1014
229.986,6,4.0565,29.36,1.321,3.9719,0.8183,-0.0984,3.1766,2.6685,0.1016
230.343,6,3.8990,31.95,1.090,3.7327,1.1222,-0.1009,3.1300,2.5976,0.0991
230.983,6,3.6661,34.90,0.203,3.2297,1.7320,-0.0976,3.0315,2.4395,0.1024
267.592,3,4.3928,32.88,1.432,3.9939,-1.8269,-0.0899,1.1568,-4.6162,0.1101
267.985,3,4.3116,29.01,0.199,3.9354,-1.7586,-0.0980,1.1549,-4.6139,0.1020
268.288,3,3.9082,33.87,1.503,3.5857,-1.5523,-0.0869,1.4524,-4.4994,0.1131
268.596,3,4.1649,30.54,0.104,3.7891,-1.7261,-0.0977,1.1391,-4.6330,0.1023
268.974,3,4.0962,31.01,0.265,3.7082,-1.7373,-0.0979,1.1301,-4.6390,0.1021
269.296,3,4.0206,31.54,0.065,3.6615,-1.6580,-0.0976,1.1208,-4.6367,0.1024
269.601,3,3.9521,31.76,0.281,3.6131,-1.5983,-0.0974,1.1060,-4.6443,0.1026
269.977,3,3.8891,32.90,0.053,3.5401,-1.6072,-0.0975,1.0611,-4.5512,0.1025
270.292,3,3.7614,35.88,0.242,3.3609,-1.6862,-0.0971,1.1135,-4.5122,0.1029
360.187,1,4.2358,29.90,0.931,3.9618,1.4952,-0.1025,3.6267,-11.2726,0.0975
360.529,1,4.3628,27.00,0.615,4.3266,0.5512,-0.1035,3.7511,-11.2654,0.0965
360.871,1,4.2468,27.83,0.673,4.2151,0.5080,-0.1008,3.7302,-11.1015,0.0992
361.165,1,4.3164,27.00,0.235,4.2099,0.9473,-0.1026,3.7945,-11.1220,0.0974
361.536,1,4.3581,27.00,0.552,4.2973,0.7181,-0.1024,3.8112,-11.1186,0.0976
361.849,1,4.2311,27.84,0.598,4.2120,-0.3886,-0.1008,3.6921,-11.0478,0.0992
362.181,1,4.2532,29.10,1.152,4.1360,-0.9864,-0.0997,3.6767,-11.0563,0.1003
362.523,1,4.2902,30.15,1.089,4.0123,-1.5156,-0.1021,3.6718,-11.0744,0.0979
362.860,1,4.4980,30.88,1.519,4.0220,-2.0109,-0.1068,3.8025,-11.2063,0.0932
366.519,1,4.3398,30.36,0.833,3.9334,-1.8308,-0.1023,3.6758,-11.1439,0.0977
366.857,1,4.2913,29.86,0.973,4.0225,-1.4916,-0.1021,3.6295,-11.1460,0.0979
367.174,1,4.3074,28.79,0.771,4.1208,-1.2499,-0.1025,3.6356,-11.1555,0.0975
367.477,1,4.3530,27.89,0.809,4.2669,-0.8554,-0.1025,3.6528,-11.1832,0.0975
367.865,1,4.3075,27.49,0.705,4.2897,-0.3775,-0.1019,3.5944,-11.1533,0.0981
368.478,1,4.3620,26.81,0.589,4.3500,0.3075,-0.1019,3.6035,-11.1850,0.0981
368.859,1,4.3355,26.80,0.448,4.3063,0.4923,-0.1010,3.5711,-11.1699,0.0990
369.180,1,4.3575,26.77,0.442,4.3068,0.6553,-0.1009,3.5807,-11.1798,0.0991
369.476,1,4.3775,26.84,0.473,4.3010,0.8090,-0.1008,3.5889,-11.1869,0.0992
369.850,1,4.4136,27.43,0.847,4.3084,0.9525,-0.1028,3.6078,-11.2066,0.0972
370.178,1,3.9848,29.61,0.569,3.8671,0.9568,-0.0936,3.2657,-10.9333,0.1064
370.485,1,4.4209,27.79,0.923,4.2581,1.1843,-0.1022,3.5989,-11.2021,0.0978
370.855,1,4.4732,27.76,1.267,4.2796,1.2977,-0.0998,3.6327,-11.2309,0.1002
371.165,1,4.4231,27.82,0.692,4.1944,1.4003,-0.1024,3.5939,-11.1881,0.0976
371.472,1,4.3992,28.80,0.936,4.1037,1.5817,-0.1023,3.5639,-11.1695,0.0977
371.820,1,4.4256,28.88,0.744,4.0382,1.8080,-0.1018,3.5754,-11.1789,0.0982
372.169,1,4.3827,29.88,0.713,3.8846,2.0268,-0.1019,3.5263,-11.1442,0.0981
563.979,3,4.2370,30.53,0.574,3.8116,-1.8476,-0.1023,0.9549,-4.3310,0.0977
565.668,3,4.3769,26.35,0.114,4.2171,-1.1668,-0.1060,0.9011,-4.2307,0.0940
565.973,3,4.1416,29.01,0.464,4.0103,-1.0297,-0.1014,1.0642,-4.4123,0.0986
566.682,3,4.3969,25.79,0.106,4.3404,-0.6946,-0.1045,0.9516,-4.2009,0.0955
568.282,3,4.4094,25.26,0.156,4.3905,-0.3935,-0.1063,0.9523,-4.1892,0.0937
574.642,3,4.3964,25.26,0.169,4.3948,-0.0509,-0.1062,0.9292,-4.2246,0.0938
581.627,3,4.3964,25.26,0.167,4.3951,-0.0192,-0.1062,0.9062,-4.2404,0.0938
583.964,3,4.3963,25.26,0.165,4.3950,-0.0113,-0.1062,0.8945,-4.2483,0.0938
589.265,3,4.3963,25.26,0.166,4.3950,0.0125,-0.1062,0.8686,-4.2657,0.0938
590.956,3,4.3963,25.26,0.165,4.3950,0.0204,-0.1062,0.8612,-4.2708,0.0938
596.264,3,4.4173,25.33,0.163,4.3843,0.5286,-0.1060,0.7854,-4.2638,0.0940
596.958,3,4.4064,27.05,1.138,4.1324,1.5259,-0.1019,0.7449,-4.2216,0.0981
598.643,3,3.7876,35.00,0.593,3.3712,1.7236,-0.1009,0.9264,-4.4619,0.0991
598.974,3,3.8667,33.71,1.140,3.5943,1.4219,-0.1014,0.8273,-4.3246,0.0986
599.284,3,3.6222,33.84,0.618,3.4838,0.9863,-0.1013,1.0117,-4.4187,0.0987
599.642,3,3.6103,32.64,0.366,3.5525,0.6350,-0.1012,1.0405,-4.3613,0.0988
599.976,3,3.5701,32.62,0.407,3.5571,0.2866,-0.1015,1.0346,-4.3572,0.0985
600.287,3,3.4809,33.87,0.697,3.4792,-0.0404,-0.1012,1.0572,-4.3907,0.0988
600.585,3,3.4668,33.53,0.389,3.4481,-0.3442,-0.1016,1.0273,-4.3526,0.0984
600.969,3,3.3420,35.70,0.673,3.2822,-0.6210,-0.1011,1.0589,-4.3930,0.0989
601.290,3,3.2595,36.68,0.416,3.1472,-0.8420,-0.1010,1.0568,-4.3922,0.0990
601.583,3,3.1794,39.24,0.999,3.0188,-0.9927,-0.1013,1.0734,-4.4029,0.0987
601.966,3,3.0909,39.83,0.439,2.8953,-1.0774,-0.1006,1.0693,-4.4124,0.0994
602.285,3,2.9783,42.26,0.758,2.7680,-1.0947,-0.1004,1.0782,-4.4420,0.0996
