t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
148.5,,,,nan,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,nan,0,,,0,0,0
160.0,,,,0.000,,,,nan,0,,,0,0,0
165.0,,,,0.000,,,,nan,0,,,0,0,0
170.0,,,,0.000,,,,nan,0,,,0,0,0
175.0,,,,0.000,,,,nan,0,,,0,0,0
180.0,,,,0.000,,,,0.435,0,,,0,1,0
185.0,,,,0.000,,,,0.381,0,,,0,1,0
190.0,,,,0.000,,,,0.390,0,,,0,1,0
195.0,,,,0.000,,,,0.390,0,,,0,2,0
200.0,,,,0.000,,,,0.411,0,,,0,2,0
205.0,,,,0.000,,,,0.480,0,,,0,2,0
210.0,,,,0.000,,,,0.470,0,,,0,2,0
215.0,,,,0.000,,,,0.470,0,,,0,2,0
220.0,,,,0.000,,,,0.459,0,,,1,2,0
225.0,,,,0.000,,,,0.413,0,,,1,2,0
230.0,,,,0.000,,,,0.447,0,,,2,2,0
235.0,,,,0.000,,,,0.447,0,,,2,2,0
240.0,,,,0.000,,,,0.442,0,,,2,2,0
245.0,,,,0.000,,,,0.454,0,,,2,2,0
250.0,,,,0.000,,,,0.440,0,,,2,2,0
255.0,,,,0.000,,,,0.440,0,,,2,2,0
260.0,,,,0.000,,,,0.485,0,,,2,2,0
265.0,,,,0.000,,,,0.526,0,,,2,2,0
270.0,,,,0.000,,,,0.551,0,,,2,2,0
275.0,,,,0.000,,,,0.551,0,,,2,2,0
280.0,,,,0.000,,,,0.538,0,,,2,2,0
285.0,,,,0.000,,,,0.560,0,,,3,2,0
290.0,2.2028,-8.6720,-175.334,0.175,,,,0.548,0,0.8620,4.666,3,3,1
295.0,1.8539,-8.1369,-158.835,0.175,,,,0.604,0,1.4347,21.166,3,3,1
300.0,1.8834,-7.6492,-156.437,0.175,,,,0.661,0,1.7526,23.563,3,3,1
305.0,1.8834,-7.6492,-156.437,0.175,,,,0.659,0,1.7526,23.563,3,3,1
310.0,1.8834,-7.6492,-156.437,0.175,,,,0.683,0,1.7526,23.563,3,3,1
315.0,1.8834,-7.6492,-156.437,0.175,,,,0.683,0,1.7526,23.563,3,3,1
320.0,1.8834,-7.6492,-156.437,0.175,,,,0.686,0,1.7526,23.563,3,3,1
325.0,1.8834,-7.6492,-156.437,0.175,,,,0.692,0,1.7526,23.563,3,3,1
330.0,1.8834,-7.6492,-156.437,0.175,,,,0.692,0,1.7526,23.563,3,3,1
335.0,1.8834,-7.6492,-156.437,0.175,,,,0.693,0,1.7526,23.563,3,3,1
340.0,1.8834,-7.6492,-156.437,0.175,,,,0.693,0,1.7526,23.563,3,3,1
345.0,1.8834,-7.6492,-156.437,0.175,,,,0.693,0,1.7526,23.563,3,3,1
350.0,1.8834,-7.6492,-156.437,0.175,,,,0.693,0,1.7526,23.563,3,3,1
355.0,1.8834,-7.6492,-156.437,0.175,,,,0.693,0,1.7526,23.563,3,3,1
360.0,1.8834,-7.6492,-156.437,0.175,,,,0.694,0,1.7526,23.563,3,3,1
365.0,1.8834,-7.6492,-156.437,0.175,,,,0.694,0,1.7526,23.563,3,3,1
370.0,1.8834,-7.6492,-156.437,0.175,,,,0.694,0,1.7526,23.563,3,3,1
375.0,1.8834,-7.6492,-156.437,0.175,,,,0.694,0,1.7526,23.563,3,3,1
380.0,1.8834,-7.6492,-156.437,0.175,,,,0.701,0,1.7526,23.563,3,3,1
385.0,3.0538,-8.9316,171.854,0.350,,,,0.701,0,0.0870,-8.146,4,3,2
390.0,3.0543,-8.9325,171.838,0.350,3.2538,-8.8316,-179.200,0.724,1,0.3046,0.801,4,3,2
395.0,3.0548,-8.9331,171.832,0.350,3.2538,-8.8316,-179.200,0.774,1,0.3046,0.801,4,3,2
400.0,3.0552,-8.9334,171.831,0.350,3.2548,-8.8331,-179.222,0.780,1,0.3046,0.778,4,3,2
405.0,3.0556,-8.9336,171.831,0.350,3.2548,-8.8331,-179.222,0.781,1,0.3046,0.778,4,3,2
410.0,3.0559,-8.9338,171.835,0.350,3.2548,-8.8331,-179.222,0.782,1,0.3046,0.778,4,3,2
415.0,3.0562,-8.9338,171.839,0.350,3.2548,-8.8331,-179.222,0.782,1,0.3046,0.778,4,3,2
420.0,3.0565,-8.9337,171.844,0.350,3.2548,-8.8331,-179.222,0.783,1,0.3046,0.778,4,3,2
425.0,3.0567,-8.9337,171.851,0.350,3.2548,-8.8331,-179.222,0.782,1,0.3046,0.778,4,3,2
430.0,3.0570,-8.9335,171.858,0.350,3.2548,-8.8331,-179.222,0.786,1,0.3046,0.778,4,3,2
435.0,3.0572,-8.9334,171.866,0.350,3.2548,-8.8331,-179.222,0.785,1,0.3046,0.778,4,3,2
440.0,3.0574,-8.9332,171.874,0.350,3.2548,-8.8331,-179.222,0.785,1,0.3046,0.778,4,3,2
445.0,3.0576,-8.9330,171.884,0.350,3.2548,-8.8331,-179.222,0.785,1,0.3046,0.778,4,3,2
450.0,3.0578,-8.9328,171.892,0.350,3.2548,-8.8331,-179.222,0.785,1,0.3046,0.778,4,3,2
455.0,3.0580,-8.9327,171.899,0.350,3.2548,-8.8331,-179.222,0.781,1,0.3046,0.778,4,3,2
460.0,3.0580,-8.9327,171.899,0.350,3.2548,-8.8331,-179.222,0.781,1,0.3046,0.778,4,3,2
465.0,3.0580,-8.9327,171.899,0.350,3.2548,-8.8331,-179.222,0.781,1,0.3046,0.778,4,3,2
470.0,3.0580,-8.9327,171.899,0.350,3.2548,-8.8331,-179.222,0.781,1,0.3046,0.778,4,3,2
475.0,3.0774,-8.6070,176.718,0.692,3.2548,-8.8331,-179.222,0.781,1,0.3046,0.778,5,3,3
480.0,3.0639,-8.6208,176.744,0.731,3.2548,-8.8331,-179.222,0.825,1,0.3046,0.778,5,3,3
