t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
161.735,4,4.3643,26.93,0.449,4.3300,-0.5419,-0.0648,-2.5804,-3.2428,0.1352
162.375,4,4.4222,26.18,1.316,4.3806,0.6002,-0.0770,-2.6728,-3.3220,0.1230
174.065,4,4.4907,30.54,0.977,3.9236,2.1829,-0.0823,-3.2019,-3.6799,0.1177
175.381,4,4.0694,28.18,1.215,4.0636,-0.2096,-0.0628,-2.9903,-3.4551,0.1372
186.385,4,4.3750,26.46,0.925,4.2843,0.8808,-0.0982,-3.8649,-4.5903,0.1018
190.377,2,3.3828,40.89,0.174,2.9988,-1.5623,-0.0975,-0.0420,2.3602,0.1025
190.686,2,3.3051,37.89,0.111,3.0850,-1.1819,-0.0975,-0.0488,2.3376,0.1025
191.030,2,3.2524,35.88,0.007,3.1349,-0.8609,-0.0975,-0.0015,2.3466,0.1025
191.361,2,3.1674,35.89,0.002,3.0901,-0.6884,-0.0976,-0.0055,2.3549,0.1024
191.658,2,3.0515,36.88,0.000,3.0061,-0.5151,-0.0976,-0.0048,2.3383,0.1024
192.038,2,2.9576,37.88,0.084,2.9279,-0.4071,-0.0977,-0.0094,2.3375,0.1023
192.370,2,2.8683,38.88,0.101,2.8528,-0.2810,-0.0977,-0.0385,2.4003,0.1023
192.682,2,2.7869,39.88,0.128,2.7816,-0.1411,-0.0977,-0.0446,2.4097,0.1023
193.027,2,2.7156,40.88,0.160,2.7137,-0.0228,-0.0978,-0.0460,2.4298,0.1022
193.360,2,2.6148,42.88,0.101,2.6122,0.0629,-0.0979,-0.0517,2.4180,0.1021
193.681,2,2.5341,43.88,0.049,2.5303,0.0980,-0.0979,-0.0552,2.4291,0.1021
194.039,2,2.4200,46.89,0.379,2.4181,-0.0037,-0.0958,-0.0553,2.4013,0.1042
194.374,2,2.2989,48.80,0.022,2.2936,-0.1250,-0.0940,-0.0717,2.3655,0.1060
194.686,2,2.2340,49.88,0.237,2.2245,-0.1835,-0.0942,-0.0653,2.3818,0.1058
195.044,2,2.1316,53.14,0.117,2.1115,-0.2763,-0.0945,-0.0658,2.3664,0.1055
195.371,2,2.0575,54.89,0.147,2.0215,-0.3714,-0.0947,-0.0608,2.3700,0.1053
195.694,2,1.9716,57.89,0.044,1.9159,-0.4554,-0.0950,-0.0578,2.3681,0.1050
196.024,2,1.9006,60.88,0.003,1.8211,-0.5354,-0.0953,-0.0213,2.3673,0.1047
196.368,2,1.8247,65.45,0.046,1.7084,-0.6338,-0.0956,-0.0215,2.3705,0.1044
196.689,2,1.7515,70.88,0.157,1.6083,-0.6871,-0.0958,-0.0156,2.3721,0.1042
197.029,2,1.6790,75.88,0.233,1.5194,-0.7078,-0.0960,-0.0139,2.3768,0.1040
210.996,4,4.4781,29.89,0.995,4.0275,-1.9552,-0.1016,-4.0052,-4.7453,0.0984
211.363,4,4.3907,29.73,0.583,3.9556,-1.9028,-0.1017,-3.9997,-4.7503,0.0983
211.705,4,4.2451,30.95,0.821,3.8547,-1.7754,-0.1018,-3.9542,-4.7040,0.0982
211.989,4,4.1709,30.70,0.555,3.8222,-1.6663,-0.1018,-3.9568,-4.7142,0.0982
212.364,4,4.1427,30.64,0.564,3.8285,-1.5792,-0.1020,-3.9975,-4.7473,0.0980
212.684,4,4.2217,31.77,1.347,3.8681,-1.6879,-0.1076,-4.1237,-4.8477,0.0924
213.004,4,3.9713,32.74,1.395,3.6258,-1.6166,-0.1069,-4.0020,-4.7169,0.0931
213.360,4,3.9904,33.79,1.554,3.5452,-1.8287,-0.1063,-4.0671,-4.6543,0.0937
229.343,2,3.7148,33.15,1.554,3.5271,1.1625,-0.0879,-0.2287,2.0268,0.1121
229.673,2,4.1973,26.68,0.162,4.1946,-0.1149,-0.0975,-0.0454,2.4864,0.1025
229.980,2,4.1639,31.78,0.082,3.7200,-1.8681,-0.0973,-0.0070,2.4120,0.1027
236.660,4,3.8336,35.81,1.717,3.4079,1.7525,-0.1063,-4.0751,-4.7086,0.0937
236.983,4,3.7007,32.71,0.846,3.5919,0.8850,-0.1014,-4.0090,-4.6414,0.0986
237.282,4,3.6047,32.65,0.670,3.5780,0.4256,-0.1018,-3.9482,-4.5780,0.0982
237.662,4,3.6726,32.78,1.321,3.6712,-0.0141,-0.1007,-4.0060,-4.6312,0.0993
237.985,4,3.6052,32.68,0.577,3.5733,-0.4673,-0.1017,-3.9810,-4.6073,0.0983
238.289,4,3.6803,35.07,1.803,3.5561,-0.9420,-0.1065,-4.0531,-4.6762,0.0935
238.652,4,3.5724,35.86,1.522,3.3186,-1.3182,-0.1059,-4.0038,-4.6065,0.0941
238.980,4,3.6251,39.27,2.057,3.1990,-1.7019,-0.1054,-4.0688,-4.6530,0.0946
267.585,4,2.8792,43.13,0.610,2.7399,0.8791,-0.0996,-3.9612,-4.5537,0.1004
267.951,4,2.7638,47.70,0.582,2.4831,1.2098,-0.0960,-3.9271,-4.6379,0.1040
280.960,2,4.3875,26.20,1.645,4.2053,1.2491,-0.0697,-0.4199,0.2420,0.1303
281.274,2,4.4146,25.80,1.548,4.2206,1.2924,-0.0698,-0.4113,0.3547,0.1302
282.586,2,4.4733,26.73,0.185,4.2191,1.4850,-0.0661,-0.3024,0.7345,0.1339
283.575,2,4.4510,26.83,1.401,4.1954,1.4845,-0.0795,-0.2673,0.9657,0.1205
284.283,2,4.4098,26.89,0.428,4.1579,1.4676,-0.0703,-0.2591,1.0882,0.1297
286.264,6,4.4987,25.94,0.480,4.4743,-0.4634,-0.0627,1.8721,0.8802,0.1373
286.566,6,4.3933,25.79,0.120,4.3535,-0.5867,-0.0623,1.8596,0.8607,0.1377
286.947,2,4.4384,26.70,0.379,4.1699,1.5183,-0.0812,-0.1155,1.7405,0.1188
286.947,6,4.3015,26.97,0.387,4.2540,-0.6341,-0.0632,1.8516,0.8625,0.1368
287.286,2,4.2943,32.04,2.247,4.0266,1.4902,-0.0814,-0.1161,1.6788,0.1186
287.286,6,4.2634,26.93,0.240,4.2148,-0.6385,-0.0621,1.8761,0.9052,0.1379
287.580,6,4.1583,26.95,0.151,4.1161,-0.5874,-0.0630,1.8615,0.8968,0.1370
287.948,6,4.2272,26.79,0.118,4.1922,-0.5385,-0.0639,1.9481,1.0271,0.1361
289.280,2,4.2554,29.78,1.134,3.9355,1.6158,-0.0960,-0.0126,2.1029,0.1040
289.947,2,4.4524,29.65,0.124,4.0867,1.7646,-0.0970,0.0115,2.4650,0.1030
290.272,2,4.2421,31.73,0.140,3.8494,1.7802,-0.0942,0.0013,2.3360,0.1058
290.587,2,4.2147,32.74,0.146,3.7723,1.8771,-0.0956,0.0041,2.3929,0.1044
290.587,6,4.2925,29.86,2.829,4.2478,-0.6127,-0.0787,2.4180,1.6194,0.1213
290.933,2,4.0915,34.85,0.194,3.6061,1.9307,-0.0948,-0.0001,2.3466,0.1052
